0	Reuters	2
0	The	6
0	Communications	2
0	expected	2
0	2015	5
0	net	6
0	neutrality	7
0	rules	10
0	internet	13
0	Pai	10
0	FCC	11
0	President	2
0	Internet	3
0	said	10
0	comment	2
0	approved	2
0	early	2
0	could	2
0	meeting	2
0	providers	4
0	access	2
0	others	2
0	service	2
0	like	2
0	T	2
0	Inc	5
0	N	2
0	O	5
0	make	2
0	group	2
0	open	4
0	regulatory	2
0	Congress	2
0	adopt	2
0	legislation	2
0	Thursday	2
0	framework	2
1	Reuters	2
1	Clinton	10
1	release	5
1	transcripts	3
1	paid	4
1	speeches	6
1	gave	2
1	Goldman	3
1	Sachs	3
1	banks	3
1	would	4
1	hold	1
1	Sanders	6
1	rivals	2
1	U	4
1	S	4
1	Democratic	2
1	Wall	3
1	Street	3
1	said	5
1	Friday	2
1	told	1
1	issue	1
1	others	1
1	financial	2
1	industry	1
1	I	2
1	everybody	2
1	including	2
1	groups	1
1	Thursday	1
1	event	2
1	Nevada	2
1	state	2
1	vote	1
1	earned	3
1	since	2
1	according	3
1	000	2
1	investment	1
1	senator	2
1	last	1
1	speech	2
1	disclosures	2
1	open	1
1	public	1
1	He	2
1	Briggs	2
1	The	1
1	make	1
1	control	1
1	It	2
1	SAP	2
1	editorial	2
2	WASHINGTON	1
2	Reuters	2
2	President	2
2	Donald	1
2	Trump	11
2	chair	2
2	U	1
2	S	1
2	Federal	1
2	Fed	7
2	Governor	2
2	Powell	5
2	Taylor	5
2	Politico	4
2	Thursday	1
2	cited	2
2	source	4
2	saying	3
2	another	2
2	said	6
2	considering	3
2	also	3
2	liked	2
2	Yellen	4
2	much	1
2	unnamed	2
2	talks	2
2	regularly	2
2	senior	2
2	process	2
2	nominate	2
2	top	4
2	central	2
2	bank	2
2	A	2
2	White	2
2	House	2
2	official	2
2	told	2
2	list	2
2	post	2
2	Cohn	2
2	former	2
2	Warsh	3
2	Wednesday	2
2	Congress	1
2	job	2
2	according	1
2	reported	1
2	I	3
2	meeting	1
2	held	1
2	Fox	2
2	week	1
2	would	2
2	Democratic	1
2	Barack	1
2	Obama	1
2	since	1
2	early	1
2	Her	1
2	Senate	1
2	The	1
2	Republican	1
2	president	1
2	announce	1
2	nominee	1
2	leaving	1
2	give	1
3	WASHINGTON	1
3	Reuters	1
3	U	1
3	S	1
3	House	1
3	Ryan	2
