WASHINGTON	317
Reuters	1369
The	2725
head	116
U	1964
S	1857
Federal	53
Communications	5
Commission	68
expected	163
unveil	6
strategy	83
week	375
overturn	9
landmark	9
2015	144
net	13
neutrality	9
rules	124
move	170
new	428
battle	43
future	105
internet	45
Ajit	2
Pai	12
named	46
chair	23
FCC	13
President	875
Donald	485
Trump	2537
January	80
deliver	26
speech	123
titled	5
Future	2
Internet	16
Wednesday	382
Washington	286
said	4676
Sources	3
announce	27
begin	60
process	122
taking	86
public	236
comment	193
repeal	69
approved	55
Barack	153
Obama	454
early	110
could	606
hold	102
initial	21
vote	332
proposal	60
May	169
18	53
meeting	211
sources	101
office	248
declined	118
prohibit	4
broadband	5
providers	16
giving	42
selling	8
access	75
speedy	2
essentially	9
fast	16
lane	5
certain	38
services	53
others	92
reclassified	2
service	51
much	162
like	257
utilities	12
A	500
federal	231
appeals	35
court	297
upheld	17
last	585
year	544
AT	21
T	21
Inc	98
N	189
Verizon	4
VZ	2
Comcast	4
Corp	45
CMCSA	2
O	42
argued	32
make	223
harder	17
manage	12
traffic	14
investment	67
additional	54
capacity	10
less	82
likely	158
Advocacy	3
group	288
Free	35
Press	18
Chief	27
Executive	16
Aaron	3
Monday	297
wants	91
hand	46
control	126
matter	48
cost	62
economy	150
democracy	33
opposed	47
repeatedly	47
backs	8
free	106
open	128
different	64
regulatory	31
scheme	13
Some	125
analysts	35
action	112
roll	14
back	256
put	153
pressure	94
Congress	279
adopt	10
legislation	191
extent	12
authority	40
regulate	6
Commissioner	10
Mike	53
Thursday	377
resolve	29
issue	151
determine	16
whether	219
Websites	2
worry	17
without	144
might	104
lose	40
customers	23
Democrats	241
privacy	20
advocates	25
crucial	22
keeping	16
news	225
outlets	15
reported	142
April	61
moving	39
quickly	35
replace	49
told	668
reporters	228
major	143
companies	165
trade	235
groups	219
discuss	71
ways	31
protecting	22
There	130
common	36
ground	47
room	33
agreement	124
Going	4
forward	77
want	183
sure	47
light	26
touch	9
framework	5
It	499
clear	143
alternative	20
legal	137
may	185
endorse	13
guarantee	12
Association	33
representing	12
Facebook	53
FB	3
Amazon	5
com	11
AMZN	2
Alphabet	8
GOOGL	3
met	79
month	230
industry	90
uniform	2
belief	5
consumer	18
experience	24
competition	7
innovation	4
online	51
according	236
letter	93
filed	43
NEW	49
YORK	44
Hillary	107
Clinton	404
continued	37
resist	4
calls	64
release	110
transcripts	3
paid	53
speeches	17
gave	61
Goldman	10
Sachs	10
banks	29
saying	268
would	1452
onto	13
Bernie	31
Sanders	116
rivals	27
presidency	71
released	118
populist	15
rival	79
Democratic	410
presidential	359
nomination	85
surged	10
polls	74
furious	5
rebukes	3
Wall	52
Street	51
role	115
2008	39
recession	7
Friday	310
none	9
give	100
reluctance	4
reveal	6
privately	14
organizations	29
become	103
increasingly	26
heated	8
ahead	125
election	534
November	71
fights	8
suggestions	2
party	461
liberal	36
wing	13
cozy	2
financial	90
I	808
happy	14
anything	40
whenever	3
everybody	10
else	13
race	94
including	376
Senator	205
given	86
private	118
night	73
televised	15
town	86
hall	14
event	57
voters	146
Nevada	18
third	79
state	600
Party	233
nominee	134
caucuses	7
held	130
Saturday	124
earned	10
20	104
million	268
since	331
leaving	45
job	74
secretary	109
2013	74
records	25
disclosed	11
campaign	470
000	270
three	224
closed	50
-door	5
New	316
York	189
-based	90
bank	41
Her	27
husband	25
Bill	43
even	194
stepped	27
president	450
2001	9
She	110
says	139
income	31
influence	54
policies	82
increase	60
regulation	37
senator	64
Vermont	19
2004	12
Senate	482
disclosures	11
spoke	55
social	89
activism	7
California	75
Institute	33
Technology	4
He	477
2	180
On	144
spokesman	219
accepts	6
challenge	53
Michael	36
Briggs	2
statement	331
That	148
easy	12
fact	34
hoped	32
sufficient	21
standard	15
speaker	16
contract	19
stipulated	3
host	18
transcript	7
remain	73
respond	96
questions	66
remained	37
unclear	44
Republican	804
meet	92
demands	31
Reporting	12
Jonathan	14
Allen	9
Editing	15
Andrew	10
Hay	2
This	186
article	29
funded	19
part	245
SAP	27
independently	30
created	56
editorial	29
staff	91
involvement	26
creation	16
production	26
search	25
next	244
Reserve	13
come	149
Fed	7
Governor	60
Jerome	2
Powell	11
Stanford	4
University	68
economist	4
John	100
Taylor	6
Politico	19
cited	37
one	563
source	88
another	157
caution	10
considering	44
also	693
liked	10
current	73
Chair	4
Janet	4
Yellen	6
unnamed	14
talks	212
regularly	18
finalists	2
Another	33
senior	191
described	85
close	130
safe	35
assume	4
nominate	31
top	184
spot	5
central	60
changes	74
mind	19
every	84
day	142
White	344
House	688
official	294
No	60
final	67
decision	200
made	278
short	59
list	67
post	69
