We	we	We
all	all	all
know	know	know
Trump	trump	Trump
is	is	is
vindictive	vindict	vindictive
.	.	.
If	if	If
he	he	he
wasn	wasn	wasn
t	t	t
,	,	,
he	he	he
wouldn	wouldn	wouldn
t	t	t
be	be	be
threatening	threaten	threatening
lawsuits	lawsuit	lawsuit
against	against	against
everyone	everyon	everyone
under	under	under
the	the	the
sun	sun	sun
,	,	,
and	and	and
promising	promis	promising
to	to	to
change	chang	change
libel	libel	libel
laws	law	law
so	so	so
it	it	it
s	s	s
easier	easier	easier
to	to	to
sue	sue	sue
media	media	medium
outlets	outlet	outlet
that	that	that
dare	dare	dare
to	to	to
report	report	report
bad	bad	bad
things	thing	thing
about	about	about
him	him	him
even	even	even
if	if	if
they	they	they
re	re	re
true	true	true
.	.	.
At	at	At
a	a	a
private	privat	private
lunch	lunch	lunch
,	,	,
years	year	year
ago	ago	ago
,	,	,
when	when	when
Richard	richard	Richard
Branson	branson	Branson
was	was	wa
expecting	expect	expecting
to	to	to
just	just	just
talk	talk	talk
with	with	with
Trump	trump	Trump
about	about	about
whatever	whatev	whatever
over	over	over
lunch	lunch	lunch
,	,	,
it	it	it
turned	turn	turned
out	out	out
that	that	that
all	all	all
Trump	trump	Trump
could	could	could
talk	talk	talk
about	about	about
was	was	wa
his	his	his
bankrupt	bankrupt	bankrupt
companies	compani	company
and	and	and
the	the	the
people	peopl	people
who	who	who
d	d	d
refused	refus	refused
to	to	to
help	help	help
him	him	him
financially	financi	financially
.	.	.
In	in	In
an	an	an
interview	interview	interview
on	on	on
CNN	cnn	CNN
,	,	,
Branson	branson	Branson
flat	flat	flat
-out	-out	-out
said	said	said
It	it	It
was	was	wa
just	just	just
the	the	the
two	two	two
of	of	of
us	us	u
.	.	.
I	i	I
was	was	wa
expecting	expect	expecting
an	an	an
interesting	interest	interesting
lunch	lunch	lunch
talking	talk	talking
about	about	about
various	various	various
things	thing	thing
in	in	in
the	the	the
world	world	world
.	.	.
And	and	And
instead	instead	instead
I	i	I
got	got	got
a	a	a
lunch	lunch	lunch
where	where	where
all	all	all
he	he	he
talked	talk	talked
about	about	about
was	was	wa
his	his	his
bankrupt	bankrupt	bankrupt
companies	compani	company
.	.	.
Then	then	Then
Trump	trump	Trump
said	said	said
that	that	that
he	he	he
d	d	d
tried	tri	tried
to	to	to
get	get	get
help	help	help
from	from	from
five	five	five
different	differ	different
people	peopl	people
,	,	,
all	all	all
of	of	of
whom	whom	whom
had	had	had
told	told	told
him	him	him
,	,	,
more	more	more
or	or	or
less	less	le
,	,	,
to	to	to
go	go	go
fuck	fuck	fuck
himself	himself	himself
.	.	.
Branson	branson	Branson
then	then	then
said	said	said
what	what	what
Trump	trump	Trump
had	had	had
planned	plan	planned
for	for	for
those	those	those
people	peopl	people
And	and	And
then	then	then
he	he	he
spent	spent	spent
the	the	the
rest	rest	rest
of	of	of
this	this	this
lunch	lunch	lunch
telling	tell	telling
me	me	me
how	how	how
he	he	he
was	was	wa
going	go	going
to	to	to
spend	spend	spend
the	the	the
rest	rest	rest
of	of	of
his	his	his
life	life	life
destroying	destroy	destroying
those	those	those
five	five	five
people	peopl	people
.	.	.
He	he	He
s	s	s
also	also	also
hell	hell	hell
bent	bent	bent
on	on	on
destroying	destroy	destroying
any	ani	any
press	press	press
outlets	outlet	outlet
,	,	,
like	like	like
The	the	The
New	new	New
York	york	York
Times	time	Times
,	,	,
that	that	that
won	won	won
t	t	t
make	make	make
him	him	him
look	look	look
good	good	good
.	.	.
And	and	And
he	he	he
s	s	s
obsessed	obsess	obsessed
with	with	with
destroying	destroy	destroying
the	the	the
women	women	woman
who	who	who
have	have	have
accused	accus	accused
him	him	him
of	of	of
sexual	sexual	sexual
assault	assault	assault
,	,	,
because	becaus	because
they	they	they
aren	aren	aren
t	t	t
helping	help	helping
him	him	him
either	either	either
.	.	.
Maybe	mayb	Maybe
Trump	trump	Trump
had	had	had
lunch	lunch	lunch
with	with	with
Branson	branson	Branson
because	becaus	because
he	he	he
was	was	wa
hoping	hope	hoping
Branson	branson	Branson
would	would	would
help	help	help
him	him	him
out	out	out
financially	financi	financially
?	?	?
Branson	branson	Branson
is	is	is
only	onli	only
the	the	the
288th	288th	288th
wealthiest	wealthiest	wealthiest
person	person	person
in	in	in
the	the	the
world	world	world
,	,	,
but	but	but
Trump	trump	Trump
is	is	is
335th	335th	335th
,	,	,
according	accord	according
to	to	to
Forbes	forb	Forbes
.	.	.
That	that	That
s	s	s
this	this	this
year	year	year
.	.	.
Several	sever	Several
years	year	year
ago	ago	ago
,	,	,
when	when	when
this	this	this
lunch	lunch	lunch
took	took	took
place	place	place
,	,	,
Trump	trump	Trump
may	may	may
have	have	have
been	been	been
in	in	in
considerably	consider	considerably
worse	wors	worse
shape	shape	shape
.	.	.
Certainly	certain	Certainly
his	his	his
companies	compani	company
were	were	were
in	in	in
terrible	terribl	terrible
shape	shape	shape
.	.	.
Branson	branson	Branson
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
Trump	trump	Trump
s	s	s
vindictive	vindict	vindictive
nature	natur	nature
is	is	is
dangerous	danger	dangerous
for	for	for
America	america	America
.	.	.
In	in	In
fact	fact	fact
,	,	,
he	he	he
couldn	couldn	couldn
t	t	t
believe	believ	believe
that	that	that
such	such	such
a	a	a
vengeful	veng	vengeful
and	and	and
petty	petti	petty
man	man	man
would	would	would
even	even	even
get	get	get
this	this	this
far	far	far
in	in	in
a	a	a
presidential	presidenti	presidential
election	elect	election
.	.	.
He	he	He
s	s	s
hoping	hope	hoping
he	he	he
can	can	can
get	get	get
through	through	through
to	to	to
people	peopl	people
who	who	who
think	think	think
Trump	trump	Trump
is	is	is
wonderful	wonder	wonderful
,	,	,
and	and	and
will	will	will
be	be	be
good	good	good
for	for	for
America	america	America
and	and	and
the	the	the
world	world	world
.	.	.
Trump	trump	Trump
is	is	is
not	not	not
a	a	a
good	good	good
man	man	man
.	.	.
Photo	photo	Photo
of	of	of
Richard	richard	Richard
Branson	branson	Branson
by	by	by
Mike	mike	Mike
Coppola	coppola	Coppola
via	via	via
Getty	getti	Getty
Images	imag	Images
for	for	for
Tribeca	tribeca	Tribeca
Film	film	Film
Festival	festiv	Festival
.	.	.
Photo	photo	Photo
of	of	of
Trump	trump	Trump
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
via	via	via
Getty	getti	Getty
Images	imag	Images
