Clearly	clear	Clearly
riding	ride	riding
the	the	the
high	high	high
off	off	off
of	of	of
his	his	his
New	new	New
Hampshire	hampshir	Hampshire
victory	victori	victory
,	,	,
Republican	republican	Republican
front	front	front
runner	runner	runner
Donald	donald	Donald
Trump	trump	Trump
announced	announc	announced
that	that	that
he	he	he
would	would	would
be	be	be
releasing	releas	releasing
his	his	his
tax	tax	tax
returns	return	return
in	in	in
the	the	the
next	next	next
few	few	few
months	month	month
,	,	,
foolishly	foolish	foolishly
admitting	admit	admitting
that	that	that
he	he	he
fights	fight	fight
like	like	like
hell	hell	hell
to	to	to
avoid	avoid	avoid
paying	pay	paying
his	his	his
dues	due	due
to	to	to
the	the	the
government	govern	government
like	like	like
the	the	the
rest	rest	rest
of	of	of
America	america	America
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
NBC	nbc	NBC
s	s	s
Matt	matt	Matt
Lauer	lauer	Lauer
and	and	and
Savannah	savannah	Savannah
Guthrie	guthri	Guthrie
,	,	,
Trump	trump	Trump
bragged	brag	bragged
that	that	that
although	although	although
they	they	they
were	were	were
being	be	being
worked	work	worked
on	on	on
,	,	,
his	his	his
tax	tax	tax
returns	return	return
were	were	were
taking	take	taking
longer	longer	longer
than	than	than
usual	usual	usual
because	becaus	because
they	they	they
are	are	are
the	the	the
biggest	biggest	biggest
ever	ever	ever
in	in	in
the	the	the
history	histori	history
of	of	of
what	what	what
we	we	we
are	are	are
doing	do	doing
.	.	.
The	the	The
real	real	real
estate	estat	estate
mogul	mogul	mogul
also	also	also
said	said	said
that	that	that
once	onc	once
his	his	his
very	veri	very
big	big	big
tax	tax	tax
returns	return	return
finally	final	finally
make	make	make
their	their	their
public	public	public
debut	debut	debut
,	,	,
people	peopl	people
will	will	will
probably	probabl	probably
be	be	be
shocked	shock	shocked
at	at	at
how	how	how
little	littl	little
he	he	he
pays	pay	pay
.	.	.
He	he	He
boasted	boast	boasted
I	i	I
fight	fight	fight
like	like	like
hell	hell	hell
not	not	not
to	to	to
pay	pay	pay
taxes	tax	tax
.	.	.
I	i	I
hate	hate	hate
the	the	the
way	way	way
the	the	the
government	govern	government
spends	spend	spends
my	my	my
money	money	money
.	.	.
Trump	trump	Trump
didn	didn	didn
t	t	t
seem	seem	seem
