Every	everi	Every
single	singl	single
day	day	day
,	,	,
liberals	liber	liberal
provide	provid	provide
more	more	more
and	and	and
more	more	more
evidence	evid	evidence
that	that	that
Donald	donald	Donald
Trump	trump	Trump
Derangement	derang	Derangement
Syndrome	syndrom	Syndrome
is	is	is
a	a	a
real	real	real
thing	thing	thing
.	.	.
After	after	After
the	the	the
treatment	treatment	treatment
liberal	liber	liberal
Harvard	harvard	Harvard
Law	law	Law
School	school	School
professor	professor	professor
emeritus	emeritus	emeritus
Alan	alan	Alan
Dershowitz	dershowitz	Dershowitz
received	receiv	received
from	from	from
his	his	his
leftist	leftist	leftist
friends	friend	friend
for	for	for
defending	defend	defending
the	the	the
law	law	law
,	,	,
and	and	and
in	in	in
the	the	the
process	process	process
defending	defend	defending
President	presid	President
Trump	trump	Trump
,	,	,
will	will	will
he	he	he
ever	ever	ever
be	be	be
able	abl	able
to	to	to
embrace	embrac	embrace
the	the	the
people	peopl	people
he	he	he
used	use	used
to	to	to
believe	believ	believe
were	were	were
tolerant	toler	tolerant
and	and	and
open	open	open
-minded	-mind	-minded
?	?	?
WFB	wfb	WFB
Harvard	harvard	Harvard
Law	law	Law
School	school	School
professor	professor	professor
emeritus	emeritus	emeritus
Alan	alan	Alan
Dershowitz	dershowitz	Dershowitz
said	said	said
Friday	friday	Friday
that	that	that
he	he	he
has	has	ha
lost	lost	lost
seven	seven	seven
pounds	pound	pound
because	becaus	because
his	his	his
liberal	liber	liberal
friends	friend	friend
have	have	have
stopped	stop	stopped
inviting	invit	inviting
him	him	him
to	to	to
dinner	dinner	dinner
parties	parti	party
for	for	for
defending	defend	defending
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
against	against	against
Democrats	democrat	Democrats
calling	call	calling
for	for	for
him	him	him
to	to	to
be	be	be
charged	charg	charged
with	with	with
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
.	.	.
Fox	fox	Fox
and	and	and
Friends	friend	Friends
co	co	co
-host	-host	-host
Ainsley	ainsley	Ainsley
Earhardt	earhardt	Earhardt
asked	ask	asked
Dershowitz	dershowitz	Dershowitz
,	,	,
a	a	a
lifelong	lifelong	lifelong
liberal	liber	liberal
who	who	who
has	has	ha
donated	donat	donated
thousands	thousand	thousand
of	of	of
dollars	dollar	dollar
to	to	to
Democrats	democrat	Democrats
,	,	,
about	about	about
liberals	liber	liberal
shunning	shun	shunning
him	him	him
,	,	,
noting	note	noting
that	that	that
he	he	he
usually	usual	usually
agrees	agre	agrees
with	with	with
liberals	liber	liberal
when	when	when
he	he	he
appears	appear	appears
on	on	on
the	the	the
show	show	show
.	.	.
Well	well	Well
,	,	,
I	i	I
call	call	call
it	it	it
the	the	the
Donald	donald	Donald
Trump	trump	Trump
diet	diet	diet
,	,	,
Dershowitz	dershowitz	Dershowitz
said	said	said
with	with	with
a	a	a
smile	smile	smile
.	.	.
I	i	I
ve	ve	ve
lost	lost	lost
seven	seven	seven
pounds	pound	pound
because	becaus	because
my	my	my
liberal	liber	liberal
friends	friend	friend
have	have	have
stopped	stop	stopped
inviting	invit	inviting
me	me	me
to	to	to
dinner	dinner	dinner
