Looking	look	Looking
back	back	back
on	on	on
the	the	the
2016	2016	2016
Presidential	presidenti	Presidential
election	elect	election
,	,	,
there	there	there
was	was	wa
a	a	a
non	non	non
-stop	-stop	-stop
chorus	chorus	chorus
on	on	on
denials	denial	denial
by	by	by
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
her	her	her
campaign	campaign	campaign
surrogates	surrog	surrogate
,	,	,
and	and	and
the	the	the
mainstream	mainstream	mainstream
media	media	medium
that	that	that
had	had	had
not	not	not
allowed	allow	allowed
any	ani	any
classified	classifi	classified
emails	email	email
to	to	to
float	float	float
around	around	around
her	her	her
home	home	home
-brew	-brew	-brew
server	server	server
,	,	,
or	or	or
onto	onto	onto
the	the	the
family	famili	family
of	of	of
her	her	her
close	close	close
aids	aid	aid
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
lying	lie	lying
.	.	.
A	a	A
new	new	new
batch	batch	batch
of	of	of
emails	email	email
released	releas	released
by	by	by
the	the	the
US	us	US
State	state	State
Department	depart	Department
clearly	clear	clearly
show	show	show
that	that	that
Anthony	anthoni	Anthony
Weiner	weiner	Weiner
,	,	,
convicted	convict	convicted
sex	sex	sex
criminal	crimin	criminal
and	and	and
husband	husband	husband
of	of	of
Clinton	clinton	Clinton
s	s	s
chief	chief	chief
aid	aid	aid
Huma	huma	Huma
Abedin	abedin	Abedin
,	,	,
had	had	had
kept	kept	kept
classified	classifi	classified
emails	email	email
pertaining	pertain	pertaining
to	to	to
official	offici	official
US	us	US
State	state	State
Department	depart	Department
business	busi	business
during	dure	during
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
tenure	tenur	tenure
as	as	a
Secretary	secretari	Secretary
of	of	of
State	state	State
kept	kept	kept
on	on	on
the	the	the
same	same	same
laptop	laptop	laptop
which	which	which
Weiner	weiner	Weiner
used	use	used
to	to	to
target	target	target
an	an	an
underage	underag	underage
girl	girl	girl
and	and	and
where	where	where
he	he	he
also	also	also
kept	kept	kept
child	child	child
pornography	pornographi	pornography
.	.	.
Among	among	Among
the	the	the
released	releas	released
emails	email	email
were	were	were
exchanges	exchang	exchange
which	which	which
clearly	clear	clearly
show	show	show
Hillary	hillari	Hillary
Clinton	clinton	Clinton
conspiracy	conspiraci	conspiracy
with	with	with
authoritarian	authoritarian	authoritarian
Saudi	saudi	Saudi
Arabia	arabia	Arabia
to	to	to
stop	stop	stop
Wikileaks	wikileak	Wikileaks
.	.	.
The	the	The
reopening	reopen	reopening
of	of	of
this	this	this
old	old	old
Clinton	clinton	Clinton
gaping	gape	gaping
wound	wound	wound
is	is	is
another	anoth	another
devastating	devast	devastating
blow	blow	blow
for	for	for
the	the	the
mainstream	mainstream	mainstream
media	media	medium
and	and	and
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
s	s	s
resistance	resist	resistance
movement	movement	movement
,	,	,
whose	whose	whose
mission	mission	mission
is	is	is
to	to	to
remove	remov	remove
Donald	donald	Donald
Trump	trump	Trump
for	for	for
office	offic	office
.	.	.
RT	rt	RT
International	intern	International
reports	report	report
At	at	At
least	least	least
five	five	five
of	of	of
the	the	the
2	2	2
,	,	,
800	800	800
emails	email	email
stored	store	stored
on	on	on
a	a	a
laptop	laptop	laptop
belonging	belong	belonging
to	to	to
former	former	former
Democratic	democrat	Democratic
congressman	congressman	congressman
Anthony	anthoni	Anthony
Weiner	weiner	Weiner
were	were	were
marked	mark	marked
confidential	confidenti	confidential
and	and	and
involved	involv	involved
delicate	delic	delicate
talks	talk	talk
with	with	with
Middle	middl	Middle
Eastern	eastern	Eastern
leaders	leader	leader
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
top	top	top
aide	aid	aide
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
the	the	the
State	state	State
Department	depart	Department
released	releas	released
a	a	a
batch	batch	batch
of	of	of
around	around	around
2	2	2
,	,	,
800	800	800
work	work	work
-related	-relat	-related
documents	document	document
from	from	from
the	the	the
email	email	email
account	account	account
of	of	of
Huma	huma	Huma
Abedin	abedin	Abedin
,	,	,
who	who	who
served	serv	served
as	as	a
the	the	the
deputy	deputi	deputy
chief	chief	chief
of	of	of
staff	staff	staff
to	to	to
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
At	at	At
least	least	least
five	five	five
of	of	of
the	the	the
emails	email	email
found	found	found
on	on	on
Abedin	abedin	Abedin
s	s	s
ex	ex	ex
-husband	-husband	-husband
s	s	s
laptop	laptop	laptop
were	were	were
heavily	heavili	heavily
redacted	redact	redacted
and	and	and
marked	mark	marked
classified	classifi	classified
and	and	and
at	at	at
confidential	confidenti	confidential
level	level	level
,	,	,
the	the	the
third	third	third
more	more	more
sensitive	sensit	sensitive
class	class	class
the	the	the
US	us	US
government	govern	government
uses	use	us
below	below	below
secret	secret	secret
and	and	and
top	top	top
secret	secret	secret
.	.	.
The	the	The
State	state	State
Department	depart	Department
applies	appli	applies
the	the	the
confidential	confidenti	confidential
classification	classif	classification
level	level	level
to	to	to
information	inform	information
that	that	that
the	the	the
