Warning	warn	Warning
Graphic	graphic	Graphic
photo	photo	photo
and	and	and
videoThank	videothank	videoThank
goodness	good	goodness
Israeli	isra	Israeli
s	s	s
are	are	are
able	abl	able
to	to	to
use	use	use
guns	gun	gun
to	to	to
defend	defend	defend
themselves	themselv	themselves
against	against	against
the	the	the
religion	religion	religion
of	of	of
peace	peac	peace
with	with	with
knives	knive	knife
The	the	The
latest	latest	latest
developments	develop	development
in	in	in
ongoing	ongo	ongoing
violence	violenc	violence
between	between	between
Palestinians	palestinian	Palestinians
and	and	and
Israelis	isra	Israelis
all	all	all
times	time	time
local	local	local
4	4	4
00	00	00
p	p	p
.	.	.
m	m	m
.	.	.
Israeli	isra	Israeli
police	polic	police
say	say	say
that	that	that
in	in	in
the	the	the
latest	latest	latest
Palestinian	palestinian	Palestinian
attack	attack	attack
in	in	in
Jerusalem	jerusalem	Jerusalem
an	an	an
Israeli	isra	Israeli
teen	teen	teen
was	was	wa
stabbed	stab	stabbed
while	while	while
riding	ride	riding
a	a	a
bicycle	bicycl	bicycle
.	.	.
Spokesman	spokesman	Spokesman
Micky	micki	Micky
Rosenfeld	rosenfeld	Rosenfeld
said	said	said
two	two	two
Palestinians	palestinian	Palestinians
stabbed	stab	stabbed
a	a	a
20	20	20
-year-old	-year-old	-year-old
as	as	a
he	he	he
walked	walk	walked
down	down	down
a	a	a
street	street	street
.	.	.
They	they	They
then	then	then
stabbed	stab	stabbed
a	a	a
14	14	14
-year-old	-year-old	-year-old
Israeli	isra	Israeli
riding	ride	riding
his	his	his
bicycle	bicycl	bicycle
,	,	,
wounding	wound	wounding
him	him	him
critically	critic	critically
.	.	.
Police	polic	Police
say	say	say
an	an	an
Israeli	isra	Israeli
civilian	civilian	civilian
chased	chase	chased
the	the	the
two	two	two
Palestinian	palestinian	Palestinian
attackers	attack	attacker
.	.	.
One	one	One
of	of	of
the	the	the
attackers	attack	attacker
was	was	wa
apparently	appar	apparently
hit	hit	hit
by	by	by
a	a	a
car	car	car
and	and	and
wounded	wound	wounded
.	.	.
Police	polic	Police
say	say	say
they	they	they
shot	shot	shot
the	the	the
other	other	other
attacker	attack	attacker
and	and	and
killed	kill	killed
him	him	him
when	when	when
he	he	he
ran	ran	ran
at	at	at
officers	offic	officer
with	with	with
a	a	a
knife	knife	knife
raised	rais	raised
and	and	and
ignored	ignor	ignored
calls	call	call
to	to	to
stop	stop	stop
.	.	.
The	the	The
attack	attack	attack
took	took	took
place	place	place
in	in	in
Pisgat	pisgat	Pisgat
Zeev	zeev	Zeev
,	,	,
a	a	a
Jewish	jewish	Jewish
settlement	settlement	settlement
in	in	in
traditionally	tradit	traditionally
Arab	arab	Arab
east	east	east
Jerusalem	jerusalem	Jerusalem
,	,	,
which	which	which
Israel	israel	Israel
seized	seiz	seized
in	in	in
the	the	the
1967	1967	1967
war	war	war
and	and	and
annexed	annex	annexed
shortly	short	shortly
thereafter	thereaft	thereafter
.	.	.
Palestinians	palestinian	Palestinians
want	want	want
east	east	east
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
their	their	their
future	futur	future
state	state	state
.	.	.
Israeli	isra	Israeli
media	media	medium
had	had	had
previously	previous	previously
reported	report	reported
different	differ	different
ages	age	age
for	for	for
the	the	the
teen	teen	teen
who	who	who
was	was	wa
stabbed	stab	stabbed
.	.	.
__3	__3	__3
20	20	20
p	p	p
.	.	.
m	m	m
.	.	.
Israeli	isra	Israeli
police	polic	police
say	say	say
two	two	two
Palestinians	palestinian	Palestinians
stabbed	stab	stabbed
two	two	two
Israeli	isra	Israeli
teens	teen	teen
in	in	in
Jerusalem	jerusalem	Jerusalem
in	in	in
the	the	the
latest	latest	latest
such	such	such
assault	assault	assault
in	in	in
over	over	over
a	a	a
week	week	week
of	of	of
bloody	bloodi	bloody
attacks	attack	attack
.	.	.
Spokeswoman	spokeswoman	Spokeswoman
Luba	luba	Luba
Samri	samri	Samri
said	said	said
one	one	one
of	of	of
the	the	the
Palestinian	palestinian	Palestinian
attackers	attack	attacker
was	was	wa
neutralized	neutral	neutralized
