Filmmaker	filmmak	Filmmaker
and	and	and
activist	activist	activist
Michael	michael	Michael
Moore	moor	Moore
said	said	said
there	there	there
is	is	is
no	no	no
doubt	doubt	doubt
in	in	in
his	his	his
mind	mind	mind
that	that	that
Donald	donald	Donald
Trump	trump	Trump
will	will	will
go	go	go
through	through	through
with	with	with
banning	ban	banning
Muslims	muslim	Muslims
from	from	from
the	the	the
United	unit	United
States	state	States
,	,	,
just	just	just
like	like	like
he	he	he
said	said	said
he	he	he
would	would	would
.	.	.
Speaking	speak	Speaking
to	to	to
Variety	varieti	Variety
,	,	,
Moore	moor	Moore
said	said	said
that	that	that
he	he	he
has	has	ha
already	alreadi	already
done	done	done
his	his	his
grieving	griev	grieving
over	over	over
Trump	trump	Trump
s	s	s
win	win	win
,	,	,
which	which	which
he	he	he
saw	saw	saw
coming	come	coming
long	long	long
before	befor	before
it	it	it
became	becam	became
a	a	a
reality	realiti	reality
.	.	.

I	i	I
went	went	went
through	through	through
my	my	my
five	five	five
stages	stage	stage
of	of	of
grief	grief	grief
months	month	month
and	and	and
months	month	month
ago	ago	ago
when	when	when
I	i	I
realized	realiz	realized
he	he	he
was	was	wa
going	go	going
to	to	to
win	win	win
,	,	,
he	he	he
said	said	said
.	.	.
Moore	moor	Moore
said	said	said
that	that	that
he	he	he
has	has	ha
taken	taken	taken
him	him	him
literally	liter	literally
and	and	and
seriously	serious	seriously
since	sinc	since
day	day	day
one	one	one
,	,	,
which	which	which
is	is	is
why	whi	why
he	he	he
fully	fulli	fully
expects	expect	expects
Trump	trump	Trump
to	to	to
do	do	do
all	all	all
the	the	the
horrible	horribl	horrible
things	thing	thing
he	he	he
said	said	said
he	he	he
would	would	would
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
,	,	,
like	like	like
building	build	building
a	a	a
wall	wall	wall
along	along	along
our	our	our
southern	southern	southern
border	border	border
to	to	to
keep	keep	keep
out	out	out
all	all	all
the	the	the
rapey	rapey	rapey
Mexicans	mexican	Mexicans
.	.	.

You	you	You
do	do	do
have	have	have
to	to	to
take	take	take
Trump	trump	Trump
at	at	at
his	his	his
word	word	word
,	,	,
Moore	moor	Moore
said	said	said
.	.	.

I	i	I
still	still	still
hear	hear	hear
people	peopl	people
say	say	say
,	,	,
Oh	oh	Oh
,	,	,
he	he	he
s	s	s
not	not	not
really	realli	really
going	go	going
to	to	to
build	build	build
the	the	the
wall	wall	wall
.	.	.

Oh	oh	Oh
,	,	,
he	he	he
is	is	is
going	go	going
to	to	to
build	build	build
it	it	it
.	.	.

He	he	He
knows	know	know
that	that	that
he	he	he
s	s	s
got	got	got
to	to	to
deliver	deliv	deliver
at	at	at
least	least	least
a	a	a
version	version	version
of	of	of
the	the	the
wall	wall	wall
.	.	.

This	this	This
,	,	,
Moore	moor	Moore
explained	explain	explained
,	,	,
is	is	is
why	whi	why
he	he	he
absolutely	absolut	absolutely
believes	believ	belief
Trump	trump	Trump
will	will	will
go	go	go
through	through	through
with	with	with
enacting	enact	enacting
his	his	his
Muslim	muslim	Muslim
ban	ban	ban
.	.	.

He	he	He
s	s	s
shown	shown	shown
how	how	how
he	he	he
s	s	s
going	go	going
to	to	to
do	do	do
it	it	it
,	,	,
Moore	moor	Moore
said	said	said
.	.	.

He	he	He
s	s	s
going	go	going
to	to	to
get	get	get
away	away	away
with	with	with
it	it	it
by	by	by
making	make	making
it	it	it
a	a	a
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
who	who	who
come	come	come
from	from	from
the	the	the
following	follow	following
countries	countri	country
.	.	.

He	he	He
needs	need	need
just	just	just
enough	enough	enough
cover	cover	cover
for	for	for
his	his	his
crowd	crowd	crowd
to	to	to
say	say	say
,	,	,
Oh	oh	Oh
,	,	,
he	he	he
s	s	s
being	be	being
reasonable	reason	reasonable
there	there	there
.	.	.

He	he	He
s	s	s
not	not	not
banning	ban	banning
all	all	all
Muslims	muslim	Muslims
.	.	.

Moore	moor	Moore
also	also	also
said	said	said
that	that	that
he	he	he
was	was	wa
profoundly	profound	profoundly
affected	affect	affected
by	by	by
Meryl	meryl	Meryl
Streep	streep	Streep
s	s	s
powerful	power	powerful
speech	speech	speech
denouncing	denounc	denouncing
Trump	trump	Trump
at	at	at
the	the	the
Golden	golden	Golden
Globes	globe	Globes
.	.	.

I	i	I
had	had	had
tears	tear	tear
in	in	in
my	my	my
eyes	eye	eye
,	,	,
Moore	moor	Moore
said	said	said
.	.	.

It	it	It
was	was	wa
so	so	so
powerfully	power	powerfully
delivered	deliv	delivered
by	by	by
the	the	the
perfect	perfect	perfect
person	person	person
.	.	.

She	she	She
was	was	wa
talking	talk	talking
about	about	about
human	human	human
empathy	empathi	empathy
.	.	.

It	it	It
was	was	wa
not	not	not
about	about	about
being	be	being
a	a	a
Republican	republican	Republican
or	or	or
a	a	a
Democrat	democrat	Democrat
.	.	.

It	it	It
was	was	wa
about	about	about
Have	have	Have
you	you	you
no	no	no
decency	decenc	decency
,	,	,
sir	sir	sir
?	?	?

Trump	trump	Trump
s	s	s
supporters	support	supporter
like	like	like
to	to	to
say	say	say
that	that	that
they	they	they
don	don	don
t	t	t
take	take	take
what	what	what
he	he	he
says	say	say
literally	liter	literally
.	.	.

But	but	But
that	that	that
is	is	is
a	a	a
mistake	mistak	mistake
.	.	.

As	as	As
Maya	maya	Maya
Angelou	angelou	Angelou
said	said	said
,	,	,
When	when	When
someone	someon	someone
shows	show	show
you	you	you
who	who	who
they	they	they
are	are	are
,	,	,
believe	believ	believe
them	them	them
the	the	the
first	first	first
time	time	time
.	.	.

We	we	We
know	know	know
who	who	who
Trump	trump	Trump
is	is	is
.	.	.

And	and	And
we	we	we
also	also	also
know	know	know
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
long	long	long
four	four	four
years	year	year
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Kevin	kevin	Kevin
