Well	well	Well
,	,	,
this	this	this
is	is	is
rich	rich	rich
Hillary	hillari	Hillary
Clinton	clinton	Clinton
had	had	had
her	her	her
housekeeper	housekeep	housekeeper
print	print	print
out	out	out
sensitive	sensit	sensitive
government	govern	government
e	e	e
-mails	-mail	-mails
and	and	and
documents	document	document
!	!	!
The	the	The
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
lectured	lectur	lectured
her	her	her
employees	employe	employee
to	to	to
remind	remind	remind
them	them	them
of	of	of
how	how	how
to	to	to
keep	keep	keep
information	inform	information
secure	secur	secure
video	video	video
below	below	below
yet	yet	yet
she	she	she
s	s	s
playing	play	playing
loose	loos	loose
and	and	and
free	free	free
with	with	with
top	top	top
secret	secret	secret
documents	document	document
!	!	!
What	what	What
if	if	if
Marina	marina	Marina
Santos	santo	Santos
was	was	wa
a	a	a
spy	spi	spy
for	for	for
a	a	a
foreign	foreign	foreign
government	govern	government
that	that	that
was	was	wa
hostile	hostil	hostile
to	to	to
the	the	the
US	us	US
?	?	?
Ms	ms	Ms
.	.	.
Santos	santo	Santos
is	is	is
now	now	now
in	in	in
hot	hot	hot
water	water	water
and	and	and
should	should	should
be	be	be
called	call	called
upon	upon	upon
to	to	to
testify	testifi	testify
.	.	.
The	the	The
big	big	big
question	question	question
you	you	you
re	re	re
probably	probabl	probably
asking	ask	asking
about	about	about
now	now	now
is	is	is
why	whi	why
the	the	the
heck	heck	heck
Santos	santo	Santos
wasn	wasn	wasn
t	t	t
subpoenaed	subpoena	subpoenaed
?	?	?
Marina	marina	Marina
Santos	santo	Santos
could	could	could
hold	hold	hold
the	the	the
secrets	secret	secret
to	to	to
Emailgate	emailg	Emailgate
!	!	!
You	you	You
REALLY	realli	REALLY
can	can	can
t	t	t
make	make	make
this	this	this
stuff	stuff	stuff
up	up	up
!	!	!
As	as	As
secretary	secretari	secretary
of	of	of
state	state	state
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
routinely	routin	routinely
asked	ask	asked
her	her	her
maid	maid	maid
to	to	to
print	print	print
out	out	out
sensitive	sensit	sensitive
government	govern	government
e	e	e
-mails	-mail	-mails
and	and	and
documents	document	document
including	includ	including
ones	one	one
containing	contain	containing
classified	classifi	classified
information	inform	information
from	from	from
her	her	her
house	hous	house
in	in	in
Washington	washington	Washington
,	,	,
DC	dc	DC
,	,	,
e	e	e
-mails	-mail	-mails
and	and	and
FBI	fbi	FBI
memos	memo	memo
show	show	show
.	.	.
But	but	But
the	the	the
housekeeper	housekeep	housekeeper
lacked	lack	lacked
the	the	the
security	secur	security
clearance	clearanc	clearance
to	to	to
handle	handl	handle
such	such	such
material	materi	material
.	.	.
In	in	In
fact	fact	fact
,	,	,
Marina	marina	Marina
Santos	santo	Santos
was	was	wa
called	call	called
on	on	on
so	so	so
frequently	frequent	frequently
to	to	to
receive	receiv	receive
e	e	e
-mails	-mail	-mails
that	that	that
she	she	she
may	may	may
hold	hold	hold
the	the	the
secrets	secret	secret
to	to	to
E	e	E
-mailgate	-mailgat	-mailgate
if	if	if
only	onli	only
the	the	the
FBI	fbi	FBI
and	and	and
Congress	congress	Congress
would	would	would
subpoena	subpoena	subpoena
her	her	her
and	and	and
the	the	the
equipment	equip	equipment
she	she	she
used	use	used
.	.	.
Clinton	clinton	Clinton
entrusted	entrust	entrusted
far	far	far
more	more	more
