Hollywood	hollywood	Hollywood
stars	star	star
took	took	took
to	to	to
social	social	social
media	media	medium
Wednesday	wednesday	Wednesday
to	to	to
express	express	express
outrage	outrag	outrage
over	over	over
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
announcement	announc	announcement
that	that	that
transgender	transgend	transgender
people	peopl	people
will	will	will
not	not	not
be	be	be
allowed	allow	allowed
to	to	to
serve	serv	serve
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
,	,	,
reversing	revers	reversing
former	former	former
President	presid	President
Obama	obama	Obama
s	s	s
decision	decis	decision
last	last	last
year	year	year
allowing	allow	allowing
them	them	them
to	to	to
do	do	do
so	so	so
.	.	.

After	after	After
consultation	consult	consultation
with	with	with
my	my	my
Generals	general	Generals
and	and	and
military	militari	military
experts	expert	expert
,	,	,
please	pleas	please
be	be	be
advised	advis	advised
that	that	that
the	the	the
United	unit	United
States	state	States
Government	govern	Government
will	will	will
not	not	not
accept	accept	accept
or	or	or
allow	allow	allow
Transgender	transgend	Transgender
individuals	individu	individual
to	to	to
serve	serv	serve
in	in	in
any	ani	any
capacity	capac	capacity
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Military	militari	Military
,	,	,
President	presid	President
Trump	trump	Trump
tweeted	tweet	tweeted
Wednesday	wednesday	Wednesday
morning	morn	morning
.	.	.

Our	our	Our
military	militari	military
must	must	must
be	be	be
focused	focus	focused
on	on	on
decisive	decis	decisive
and	and	and
overwhelming	overwhelm	overwhelming
victory	victori	victory
and	and	and
cannot	cannot	cannot
be	be	be
burdened	burden	burdened
with	with	with
the	the	the
tremendous	tremend	tremendous
medical	medic	medical
cost	cost	cost
and	and	and
disruption	disrupt	disruption
that	that	that
transgender	transgend	transgender
in	in	in
the	the	the
military	militari	military
would	would	would
entail	entail	entail
.	.	.

Thank	thank	Thank
you	you	you
.	.	.

After	after	After
consultation	consult	consultation
with	with	with
my	my	my
Generals	general	Generals
and	and	and
military	militari	military
experts	expert	expert
,	,	,
please	pleas	please
be	be	be
advised	advis	advised
that	that	that
the	the	the
United	unit	United
States	state	States
Government	govern	Government
will	will	will
not	not	not
accept	accept	accept
or	or	or
allow	allow	allow
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
26	26	26
,	,	,
2017	2017	2017
.	.	.
Transgender	transgend	Transgender
individuals	individu	individual
to	to	to
serve	serv	serve
in	in	in
any	ani	any
capacity	capac	capacity
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Military	militari	Military
.	.	.

Our	our	Our
military	militari	military
must	must	must
be	be	be
focused	focus	focused
on	on	on
decisive	decis	decisive
and	and	and
overwhelming	overwhelm	overwhelming
.	.	.
.	.	.

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
