These	these	These
grifters	grifter	grifter
have	have	have
no	no	no
shame	shame	shame
.	.	.
How	how	How
much	much	much
more	more	more
evidence	evid	evidence
do	do	do
Americans	american	Americans
need	need	need
to	to	to
see	see	see
before	befor	before
they	they	they
understand	understand	understand
Hillary	hillari	Hillary
has	has	ha
no	no	no
interest	interest	interest
in	in	in
our	our	our
nation	nation	nation
s	s	s
security	secur	security
?	?	?
How	how	How
much	much	much
more	more	more
evidence	evid	evidence
do	do	do
we	we	we
need	need	need
before	befor	before
the	the	the
Everyday	everyday	Everyday
American	american	American
Queen	queen	Queen
of	of	of
the	the	the
Clinton	clinton	Clinton
Crime	crime	Crime
Syndicate	syndic	Syndicate
is	is	is
sent	sent	sent
to	to	to
prison	prison	prison
?	?	?
Judicial	judici	Judicial
Watch	watch	Watch
today	today	today
released	releas	released
nearly	near	nearly
70	70	70
pages	page	page
of	of	of
State	state	State
Department	depart	Department
records	record	record
that	that	that
show	show	show
that	that	that
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
her	her	her
top	top	top
aides	aid	aide
,	,	,
Deputy	deputi	Deputy
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
Huma	huma	Huma
Abedin	abedin	Abedin
and	and	and
Jake	jake	Jake
Sullivan	sullivan	Sullivan
,	,	,
received	receiv	received
and	and	and
sent	sent	sent
classified	classifi	classified
information	inform	information
on	on	on
their	their	their
non	non	non
-state	-state	-state
.	.	.
gov	gov	gov
email	email	email
accounts	account	account
.	.	.
The	the	The
documents	document	document
,	,	,
also	also	also
available	avail	available
on	on	on
the	the	the
State	state	State
Department	depart	Department
website	websit	website
,	,	,
were	were	were
obtained	obtain	obtained
in	in	in
response	respons	response
to	to	to
a	a	a
court	court	court
order	order	order
from	from	from
a	a	a
May	may	May
5	5	5
,	,	,
2015	2015	2015
,	,	,
lawsuit	lawsuit	lawsuit
filed	file	filed
against	against	against
the	the	the
State	state	State
Department	depart	Department
Judicial	judici	Judicial
Watch	watch	Watch
,	,	,
Inc	inc	Inc
.	.	.
v	v	v
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
State	state	State
