Sean	sean	Sean
Hannity	hanniti	Hannity
is	is	is
a	a	a
dick	dick	dick
and	and	and
Twitter	twitter	Twitter
let	let	let
him	him	him
know	know	know
it	it	it
.	.	.
During	dure	During
his	his	his
radio	radio	radio
show	show	show
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
the	the	the
Fox	fox	Fox
News	news	News
host	host	host
and	and	and
Trump	trump	Trump
propagandist	propagandist	propagandist
had	had	had
a	a	a
meltdown	meltdown	meltdown
because	becaus	because
the	the	the
White	white	White
House	hous	House
ignored	ignor	ignored
a	a	a
fake	fake	fake
story	stori	story
about	about	about
President	presid	President
Obama	obama	Obama
saying	say	saying
he	he	he
would	would	would
move	move	move
to	to	to
Canada	canada	Canada
if	if	if
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
wins	win	win
the	the	the
election	elect	election
on	on	on
November	novemb	November
8th	8th	8th
.	.	.
And	and	And
so	so	so
,	,	,
Hannity	hanniti	Hannity
accused	accus	accused
Obama	obama	Obama
of	of	of
not	not	not
making	make	making
an	an	an
effort	effort	effort
to	to	to
unite	unit	unite
behind	behind	behind
Trump	trump	Trump
if	if	if
he	he	he
becomes	becom	becomes
president	presid	president
and	and	and
retaliated	retali	retaliated
by	by	by
offering	offer	offering
to	to	to
send	send	send
Obama	obama	Obama
and	and	and
his	his	his
family	famili	family
to	to	to
Africa	africa	Africa
on	on	on
condition	condit	condition
that	that	that
they	they	they
can	can	can
never	never	never
come	come	come
back	back	back
to	to	to
America	america	America
.	.	.

I	i	I
ll	ll	ll
pay	pay	pay
hang	hang	hang
on	on	on
a	a	a
second	second	second
,	,	,
I	i	I
m	m	m
offering	offer	offering
I	i	I
ll	ll	ll
even	even	even
rent	rent	rent
a	a	a
plane	plane	plane
as	as	a
big	big	big
as	as	a
Air	air	Air
Force	forc	Force
One	one	One
.	.	.

I	i	I
have	have	have
an	an	an
offer	offer	offer
for	for	for
the	the	the
president	presid	president
.	.	.

I	i	I
will	will	will
charter	charter	charter
a	a	a
plane	plane	plane
for	for	for
you	you	you
and	and	and
your	your	your
family	famili	family
.	.	.

I	i	I
will	will	will
make	make	make
sure	sure	sure
it	it	it
s	s	s
as	as	a
big	big	big
a	a	a
plane	plane	plane
as	as	a
Air	air	Air
Force	forc	Force
One	one	One
,	,	,
what	what	what
you	you	you
have	have	have
grown	grown	grown
accustomed	accustom	accustomed
to	to	to
,	,	,
in	in	in
other	other	other
words	word	word
.	.	.

Taxpayer	taxpay	Taxpayer
-funded	-fund	-funded
plane	plane	plane
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
where	where	where
I	i	I
m	m	m
going	go	going
to	to	to
get	get	get
Maybe	mayb	Maybe
I	i	I
ll	ll	ll
just	just	just
Maybe	mayb	Maybe
I	i	I
ll	ll	ll
ask	ask	ask
Trump	trump	Trump
if	if	if
I	i	I
can	can	can
charter	charter	charter
his	his	his
plane	plane	plane
for	for	for
Obama	obama	Obama
.	.	.

That	that	That
s	s	s
what	what	what
I	i	I
will	will	will
charter	charter	charter
Donald	donald	Donald
Trump	trump	Trump
s	s	s
plane	plane	plane
if	if	if
he	he	he
ll	ll	ll
let	let	let
me	me	me
,	,	,
and	and	and
I	i	I
will	will	will
charter	charter	charter
it	it	it
to	to	to
the	the	the
country	countri	country
of	of	of
your	your	your
choice	choic	choice
.	.	.

You	you	You
want	want	want
to	to	to
go	go	go
to	to	to
Canada	canada	Canada
?	?	?

I	i	I
ll	ll	ll
pay	pay	pay
for	for	for
you	you	you
to	to	to
go	go	go
to	to	to
Canada	canada	Canada
.	.	.

You	you	You
want	want	want
to	to	to
go	go	go
to	to	to
Kenya	kenya	Kenya
?	?	?

I	i	I
ll	ll	ll
pay	pay	pay
for	for	for
you	you	you
to	to	to
go	go	go
to	to	to
Kenya	kenya	Kenya
.	.	.

Jakarta	jakarta	Jakarta
,	,	,
where	where	where
you	you	you
went	went	went
to	to	to
school	school	school
back	back	back
in	in	in
the	the	the
day	day	day
,	,	,
you	you	you
can	can	can
go	go	go
back	back	back
there	there	there
.	.	.

Anywhere	anywher	Anywhere
you	you	you
want	want	want
to	to	to
go	go	go
.	.	.

I	i	I
m	m	m
gonna	gonna	gonna
I	i	I
ll	ll	ll
put	put	put
the	the	the
finest	finest	finest
food	food	food
,	,	,
caviar	caviar	caviar
,	,	,
champagne	champagn	champagne
,	,	,
you	you	you
name	name	name
it	it	it
.	.	.

I	i	I
have	have	have
one	one	one
stipulation	stipul	stipulation
you	you	you
can	can	can
t	t	t
come	come	come
back	back	back
.	.	.

That	that	That
s	s	s
fair	fair	fair
.	.	.

Sending	send	Sending
black	black	black
people	peopl	people
back	back	back
to	to	to
Africa	africa	Africa
is	is	is
a	a	a
racist	racist	racist
wet	wet	wet
dream	dream	dream
and	and	and
Hannity	hanniti	Hannity
just	just	just
endorsed	endors	endorsed
it	it	it
.	.	.
Naturally	natur	Naturally
,	,	,
people	peopl	people
were	were	were
pretty	pretti	pretty
pissed	piss	pissed
off	off	off
at	at	at
Hannity	hanniti	Hannity
for	for	for
his	his	his
level	level	level
of	of	of
disrespect	disrespect	disrespect
toward	toward	toward
President	presid	President
Obama	obama	Obama
.	.	.
What	what	What
a	a	a
vile	vile	vile
human	human	human
being	be	being
@seanhannity	@seanhann	@seanhannity
is	is	is
.	.	.

Someone	someon	Someone
should	should	should
pay	pay	pay
him	him	him
to	to	to
