He	he	He
was	was	wa
given	given	given
the	the	the
option	option	option
to	to	to
kneel	kneel	kneel
in	in	in
protest	protest	protest
before	befor	before
the	the	the
game	game	game
,	,	,
but	but	but
it	it	it
was	was	wa
more	more	more
important	import	important
for	for	for
him	him	him
to	to	to
take	take	take
a	a	a
stand	stand	stand
against	against	against
our	our	our
President	presid	President
for	for	for
bravely	brave	bravely
taking	take	taking
a	a	a
public	public	public
stance	stanc	stance
in	in	in
defense	defens	defense
of	of	of
our	our	our
flag	flag	flag
and	and	and
for	for	for
our	our	our
veterans	veteran	veteran
A	a	A
liberal	liber	liberal
arts	art	art
college	colleg	college
in	in	in
eastern	eastern	eastern
Pennsylvania	pennsylvania	Pennsylvania
cut	cut	cut
its	it	it
backup	backup	backup
quarterback	quarterback	quarterback
after	after	after
he	he	he
knelt	knelt	knelt
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.
Albright	albright	Albright
College	colleg	College
in	in	in
Reading	read	Reading
cut	cut	cut
Gyree	gyre	Gyree
Durante	durant	Durante
from	from	from
its	it	it
team	team	team
after	after	after
he	he	he
took	took	took
a	a	a
knee	knee	knee
during	dure	during
the	the	the
Star	star	Star
-Spangled	-spangl	-Spangled
Banner	banner	Banner
,	,	,
according	accord	according
to	to	to
the	the	the
Philadelphia	philadelphia	Philadelphia
Inquirer	inquir	Inquirer
.	.	.
According	accord	According
to	to	to
the	the	the
paper	paper	paper
,	,	,
the	the	the
school	school	school
promised	promis	promised
consequences	consequ	consequence
if	if	if
players	player	player
took	took	took
actions	action	action
different	differ	different
than	than	than
those	those	those
made	made	made
in	in	in
a	a	a
special	special	special
agreement	agreement	agreement
.	.	.
The	the	The
team	team	team
s	s	s
leadership	leadership	leadership
council	council	council
decided	decid	decided
that	that	that
the	the	the
squad	squad	squad
would	would	would
take	take	take
a	a	a
knee	knee	knee
during	dure	during
the	the	the
pregame	pregam	pregame
coin	coin	coin
toss	toss	toss
,	,	,
but	but	but
stand	stand	stand
for	for	for
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.
I	i	I
knew	knew	knew
the	the	the
consequences	consequ	consequence
.	.	.
I	i	I
knew	knew	knew
that	that	that
if	if	if
I	i	I
took	took	took
a	a	a
knee	knee	knee
,	,	,
that	that	that
there	there	there
would	would	would
be	be	be
a	a	a
good	good	good
chance	chanc	chance
that	that	that
I	i	I
would	would	would
be	be	be
kicked	kick	kicked
off	off	off
.	.	.
I	i	I
didn	didn	didn
t	t	t
like	like	like
the	the	the
whole	whole	whole
taking	take	taking
a	a	a
knee	knee	knee
during	dure	during
the	the	the
coin	coin	coin
toss	toss	toss
,	,	,
I	i	I
just	just	just
thought	thought	thought
it	it	it
defeated	defeat	defeated
the	the	the
whole	whole	whole
purpose	purpos	purpose
of	of	of
kneeing	knee	kneeing
for	for	for
the	the	the
anthem	anthem	anthem
.	.	.
