Fans	fan	Fans
of	of	of
#CrookedHillary	#crookedhillari	#CrookedHillary
are	are	are
not	not	not
going	go	going
to	to	to
like	like	like
this	this	this
WikiLeaks	wikileak	WikiLeaks
founder	founder	founder
Julian	julian	Julian
Assange	assang	Assange
has	has	ha
said	said	said
that	that	that
the	the	the
information	inform	information
they	they	they
have	have	have
on	on	on
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
more	more	more
controversial	controversi	controversial
material	materi	material
than	than	than
what	what	what
comes	come	come
out	out	out
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
mouth	mouth	mouth
every	everi	every
second	second	second
day	day	day
.	.	.

We	we	We
do	do	do
have	have	have
some	some	some
information	inform	information
about	about	about
the	the	the
Republican	republican	Republican
campaign	campaign	campaign
,	,	,
Assange	assang	Assange
said	said	said
.	.	.

I	i	I
mean	mean	mean
,	,	,
it	it	it
s	s	s
from	from	from
a	a	a
point	point	point
of	of	of
view	view	view
of	of	of
an	an	an
investigative	investig	investigative
journalist	journalist	journalist
organization	organ	organization
like	like	like
WikiLeaks	wikileak	WikiLeaks
,	,	,
the	the	the
problem	problem	problem
with	with	with
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
is	is	is
it	it	it
s	s	s
actually	actual	actually
hard	hard	hard
for	for	for
us	us	u
to	to	to
publish	publish	publish
much	much	much
more	more	more
controversial	controversi	controversial
material	materi	material
than	than	than
what	what	what
comes	come	come
out	out	out
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
mouth	mouth	mouth
every	everi	every
second	second	second
day	day	day
,	,	,
I	i	I
mean	mean	mean
,	,	,
that	that	that
s	s	s
a	a	a
very	veri	very
strange	strang	strange
reality	realiti	reality
for	for	for
most	most	most
of	of	of
the	the	the
media	media	medium
to	to	to
be	be	be
in	in	in
.	.	.

Assange	assang	Assange
has	has	ha
also	also	also
claimed	claim	claimed
he	he	he
has	has	ha
further	further	further
information	inform	information
relating	relat	relating
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
that	that	that
he	he	he
plans	plan	plan
to	to	to
release	releas	release
closer	closer	closer
to	to	to
the	the	the
November	novemb	November
election	elect	election
.	.	.
Assange	assang	Assange
alluded	allud	alluded
to	to	to
what	what	what
information	inform	information
the	the	the
October	octob	October
surprise	surpris	surprise
as	as	a
it	it	it
is	is	is
now	now	now
being	be	being
called	call	called
may	may	may
contain	contain	contain
saying	say	saying
,	,	,
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
give	give	give
the	the	the
game	game	game
away	away	away
,	,	,
but	but	but
it	it	it
s	s	s
a	a	a
variety	varieti	variety
of	of	of
documents	document	document
from	from	from
different	differ	different
types	type	type
of	of	of
institutions	institut	institution
that	that	that
are	are	are
associated	associ	associated
with	with	with
the	the	the
election	elect	election
campaign	campaign	campaign
,	,	,
some	some	some
quite	quit	quite
unexpected	unexpect	unexpected
angles	angl	angle
,	,	,
some	some	some
quite	quit	quite
interesting	interest	interesting
,	,	,
some	some	some
even	even	even
entertaining	entertain	entertaining
.	.	.

Assange	assang	Assange
isn	isn	isn
t	t	t
focusing	focus	focusing
entirely	entir	entirely
on	on	on
Clinton	clinton	Clinton
however	howev	however
,	,	,
urging	urg	urging
anyone	anyon	anyone
with	with	with
information	inform	information
on	on	on
Trump	trump	Trump
to	to	to
come	come	come
forward	forward	forward
,	,	,
If	if	If
anyone	anyon	anyone
has	has	ha
any	ani	any
information	inform	information
that	that	that
is	is	is
from	from	from
inside	insid	inside
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
which	which	which
is	is	is
authentic	authent	authentic
,	,	,
it	it	it
s	s	s
not	not	not
like	like	like
some	some	some
claimed	claim	claimed
witness	wit	witness
statement	statement	statement
but	but	but
actually	actual	actually
internal	intern	internal
documentation	document	documentation
,	,	,
we	we	we
d	d	d
be	be	be
very	veri	very
happy	happi	happy
to	to	to
receive	receiv	receive
and	and	and
publish	publish	publish
it	it	it
,	,	,
he	he	he
said	said	said
on	on	on
NPR	npr	NPR
s	s	s
Morning	morn	Morning
Edition	edit	Edition
in	in	in
August	august	August
.	.	.

Breitbart	breitbart	Breitbart
News	news	News

