Kara	kara	Kara
Young	young	Young
,	,	,
the	the	the
biracial	biraci	biracial
model	model	model
who	who	who
dated	date	dated
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
broken	broken	broken
her	her	her
silence	silenc	silence
amid	amid	amid
the	the	the
deadly	dead	deadly
attack	attack	attack
in	in	in
Charlottesville	charlottesvill	Charlottesville
.	.	.

Trump	trump	Trump
s	s	s
former	former	former
girlfriend	girlfriend	girlfriend
says	say	say
she	she	she
never	never	never
heard	heard	heard
him	him	him
say	say	say
anything	anyth	anything
racist	racist	racist
not	not	not
once	onc	once
.	.	.
She	she	She
told	told	told
the	the	the
paper	paper	paper
that	that	that
she	she	she
s	s	s
never	never	never
heard	heard	heard
him	him	him
make	make	make
any	ani	any
sort	sort	sort
of	of	of
racist	racist	racist
comments	comment	comment
,	,	,
but	but	but
was	was	wa
left	left	left
horrified	horrifi	horrified
by	by	by
what	what	what
he	he	he
said	said	said
about	about	about
the	the	the
deadly	dead	deadly
attack	attack	attack
in	in	in
Charlottesville	charlottesvill	Charlottesville
.	.	.

GPSo	gpso	GPSo
just	just	just
to	to	to
clarify	clarifi	clarify
The	the	The
comments	comment	comment
President	presid	President
Trump	trump	Trump
made	made	made
after	after	after
the	the	the
Charlottesville	charlottesvill	Charlottesville
violence	violenc	violence
,	,	,
where	where	where
he	he	he
blamed	blame	blamed
the	the	the
actions	action	action
of	of	of
the	the	the
KKK	kkk	KKK
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
violent	violent	violent
Antifa	antifa	Antifa
agitators	agit	agitator
and	and	and
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
protesters	protest	protester
,	,	,
who	who	who
in	in	in
many	mani	many
cases	case	case
should	should	should
have	have	have
been	been	been
charged	charg	charged
with	with	with
domestic	domest	domestic
terrorism	terror	terrorism
if	if	if
we	we	we
had	had	had
a	a	a
law	law	law
-abiding	-abid	-abiding
attorney	attorney	attorney
general	general	general
when	when	when
Barack	barack	Barack
Obama	obama	Obama
was	was	wa
president	presid	president
actually	actual	actually
horrifies	horrifi	horrifies
a	a	a
woman	woman	woman
who	who	who
dated	date	dated
Trump	trump	Trump
for	for	for
2	2	2
years	year	year
,	,	,
and	and	and
insisted	insist	insisted
that	that	that
he	he	he
was	was	wa
NOT	not	NOT
a	a	a
racist	racist	racist
?	?	?

What	what	What
exactly	exact	exactly
,	,	,
about	about	about
his	his	his
statement	statement	statement
horrified	horrifi	horrified
Young	young	Young
?	?	?

Inside	insid	Inside
Edition	edit	Edition
During	dure	During
the	the	the
campaign	campaign	campaign
,	,	,
the	the	the
mom	mom	mom
-of-two	-of-two	-of-two
told	told	told
the	the	the
TV	tv	TV
show	show	show
Chasing	chase	Chasing
News	news	News
that	that	that
the	the	the
real	real	real
estate	estat	estate
tycoon	tycoon	tycoon
is	is	is
not	not	not
a	a	a
racist	racist	racist
.	.	.

I	i	I
would	would	would
never	never	never
go	go	go
out	out	out
with	with	with
anybody	anybodi	anybody
that	that	that
was	was	wa
a	a	a
racist	racist	racist
of	of	of
course	cours	course
not	not	not
that	that	that
s	s	s
crazy	crazi	crazy
,	,	,
she	she	she
said	said	said
at	at	at
the	the	the
time	time	time
.	.	.

Everyone	everyon	Everyone
asks	ask	asks
me	me	me
.	.	.

The	the	The
two	two	two
met	met	met
at	at	at
a	a	a
party	parti	party
in	in	in
the	the	the
Hamptons	hampton	Hamptons
in	in	in
1997	1997	1997
.	.	.

At	at	At
the	the	the
time	time	time
,	,	,
she	she	she
was	was	wa
a	a	a
model	model	model
,	,	,
gracing	grace	gracing
the	the	the
pages	page	page
of	of	of
the	the	the
Victoria	victoria	Victoria
s	s	s
Secret	secret	Secret
catalog	catalog	catalog
and	and	and
countless	countless	countless
magazines	magazin	magazine
including	includ	including
Playboy	playboy	Playboy
in	in	in
Germany	germani	Germany
.	.	.
During	dure	During
the	the	the
campaign	campaign	campaign
,	,	,
the	the	the
mom	mom	mom
-of-two	-of-two	-of-two
told	told	told
the	the	the
TV	tv	TV
show	show	show
Chasing	chase	Chasing
News	news	News
that	that	that
the	the	the
real	real	real
estate	estat	estate
tycoon	tycoon	tycoon
is	is	is
not	not	not
a	a	a
racist	racist	racist
.	.	.

I	i	I
would	would	would
never	never	never
go	go	go
out	out	out
with	with	with
anybody	anybodi	anybody
that	that	that
was	was	wa
a	a	a
racist	racist	racist
of	of	of
course	cours	course
not	not	not
that	that	that
s	s	s
crazy	crazi	crazy
,	,	,
she	she	she
said	said	said
at	at	at
the	the	the
time	time	time
.	.	.

Everyone	everyon	Everyone
asks	ask	asks
me	me	me
.	.	.

The	the	The
two	two	two
met	met	met
at	at	at
a	a	a
party	parti	party
in	in	in
the	the	the
Hamptons	hampton	Hamptons
in	in	in
1997	1997	1997
.	.	.

At	at	At
the	the	the
time	time	time
,	,	,
she	she	she
was	was	wa
a	a	a
model	model	model
,	,	,
gracing	grace	gracing
the	the	the
pages	page	page
of	of	of
the	the	the
Victoria	victoria	Victoria
s	s	s
Secret	secret	Secret
catalog	catalog	catalog
and	and	and
countless	countless	countless
magazines	magazin	magazine
including	includ	including
Playboy	playboy	Playboy
in	in	in
Germany	germani	Germany
.	.	.
Young	young	Young
and	and	and
Trump	trump	Trump
dated	date	dated
for	for	for
about	about	about
two	two	two
years	year	year
.	.	.

