Reality	realiti	Reality
Leigh	leigh	Leigh
Winner	winner	Winner
,	,	,
25	25	25
,	,	,
a	a	a
federal	feder	federal
contractor	contractor	contractor
at	at	at
the	the	the
NSA	nsa	NSA
,	,	,
was	was	wa
arrested	arrest	arrested
for	for	for
leaking	leak	leaking
a	a	a
classified	classifi	classified
report	report	report
containing	contain	containing
what	what	what
has	has	ha
been	been	been
described	describ	described
as	as	a
Top	top	Top
Secret	secret	Secret
Level	level	Level
information	inform	information
on	on	on
Russia	russia	Russia
s	s	s
attempt	attempt	attempt
to	to	to
interfere	interfer	interfere
with	with	with
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
Presidential	presidenti	Presidential
election	elect	election
.	.	.
Winner	winner	Winner
appeared	appear	appeared
in	in	in
federal	feder	federal
court	court	court
on	on	on
June	june	June
5	5	5
,	,	,
facing	face	facing
one	one	one
charge	charg	charge
of	of	of
removing	remov	removing
classified	classifi	classified
material	materi	material
from	from	from
a	a	a
government	govern	government
facility	facil	facility
and	and	and
mailing	mail	mailing
it	it	it
to	to	to
a	a	a
news	news	news
outlet	outlet	outlet
.	.	.
Winner	winner	Winner
was	was	wa
employed	employ	employed
by	by	by
Pluribus	pluribus	Pluribus
International	intern	International
Corporation	corpor	Corporation
and	and	and
had	had	had
been	been	been
assigned	assign	assigned
to	to	to
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
facility	facil	facility
in	in	in
Georgia	georgia	Georgia
since	sinc	since
February	februari	February
,	,	,
working	work	working
in	in	in
a	a	a
position	posit	position
that	that	that
granted	grant	granted
her	her	her
a	a	a
top	top	top
-level	-level	-level
security	secur	security
clearance	clearanc	clearance
.	.	.
She	she	She
had	had	had
also	also	also
previously	previous	previously
held	held	held
a	a	a
similar	similar	similar
clearance	clearanc	clearance
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Air	air	Air
Force	forc	Force
.	.	.
Her	her	Her
arrest	arrest	arrest
was	was	wa
announced	announc	announced
about	about	about
an	an	an
hour	hour	hour
after	after	after
The	the	The
Intercept	intercept	Intercept
published	publish	published
a	a	a
story	stori	story
based	base	based
on	on	on
an	an	an
NSA	nsa	NSA
document	document	document
detailing	detail	detailing
Russian	russian	Russian
attempts	attempt	attempt
to	to	to
hack	hack	hack
American	american	American
voting	vote	voting
systems	system	system
in	in	in
2016	2016	2016
.	.	.
Although	although	Although
the	the	the
Justice	justic	Justice
Department	depart	Department
hasn	hasn	hasn
t	t	t
stated	state	stated
whether	whether	whether
Winner	winner	Winner
was	was	wa
arrested	arrest	arrested
in	in	in
connection	connect	connection
with	with	with
The	the	The
Intercept	intercept	Intercept
s	s	s
story	stori	story
,	,	,
the	the	the
site	site	site
noted	note	noted
that	that	that
the	the	the
National	nation	National
Security	secur	Security
Agency	agenc	Agency
NSA	nsa	NSA
report	report	report
cited	cite	cited
in	in	in
its	it	it
story	stori	story
was	was	wa
dated	date	dated
May	may	May
5	5	5
,	,	,
a	a	a
date	date	date
shared	share	shared
by	by	by
an	an	an
affidavit	affidavit	affidavit
supporting	support	supporting
her	her	her
arrest	arrest	arrest
.	.	.
According	accord	According
to	to	to
The	the	The
Intercept	intercept	Intercept
s	s	s
report	report	report
,	,	,
Russian	russian	Russian
military	militari	military
intelligence	intellig	intelligence
,	,	,
specifically	specif	specifically
the	the	the
Russian	russian	Russian
General	general	General
Staff	staff	Staff
Main	main	Main
Intelligence	intellig	Intelligence
Directorate	director	Directorate
,	,	,
or	or	or
GRU	gru	GRU
,	,	,
conducted	conduct	conducted
the	the	the
cyber	cyber	cyber
attacks	attack	attack
described	describ	described
in	in	in
the	the	the
document	document	document
Russian	russian	Russian
General	general	General
Staff	staff	Staff
Main	main	Main
Intelligence	intellig	Intelligence
Directorate	director	Directorate
actors	actor	actor
executed	execut	executed
cyber	cyber	cyber
