FOX	fox	FOX
News	news	News
reporter	report	reporter
John	john	John
Roberts	robert	Roberts
told	told	told
President	presid	President
Trump	trump	Trump
that	that	that
in	in	in
an	an	an
earlier	earlier	earlier
interview	interview	interview
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
said	said	said
she	she	she
did	did	did
not	not	not
believe	believ	believe
that	that	that
the	the	the
players	player	player
taking	take	taking
a	a	a
knee	knee	knee
in	in	in
the	the	the
NFL	nfl	NFL
was	was	wa
about	about	about
disrespecting	disrespect	disrespecting
the	the	the
flag	flag	flag
.	.	.

Roberts	robert	Roberts
mentioned	mention	mentioned
that	that	that
Trump	trump	Trump
fired	fire	fired
back	back	back
in	in	in
a	a	a
tweet	tweet	tweet
that	that	that
he	he	he
hoped	hope	hoped
Hillary	hillari	Hillary
would	would	would
run	run	run
again	again	again
in	in	in
2020	2020	2020
.	.	.

Trump	trump	Trump
interrupted	interrupt	interrupted
to	to	to
say	say	say
Oh	oh	Oh
I	i	I
hope	hope	hope
Hillary	hillari	Hillary
runs	run	run
!	!	!

Is	is	Is
she	she	she
going	go	going
to	to	to
run	run	run
?	?	?

Please	pleas	Please
,	,	,
Hillary	hillari	Hillary
,	,	,
run	run	run
again	again	again
!	!	!

Trump	trump	Trump
responded	respond	responded
that	that	that
her	her	her
way	way	way
of	of	of
agreeing	agre	agreeing
with	with	with
the	the	the
players	player	player
disrespecting	disrespect	disrespecting
our	our	our
flag	flag	flag
is	is	is
the	the	the
reason	reason	reason
she	she	she
lost	lost	lost
the	the	the
election	elect	election
,	,	,
saying	say	saying
,	,	,
Well	well	Well
,	,	,
that	that	that
s	s	s
why	whi	why
she	she	she
l	l	l
the	the	the
election	elect	election
.	.	.

I	i	I
mean	mean	mean
honestly	honest	honestly
,	,	,
it	it	it
s	s	s
that	that	that
thinking	think	thinking
is	is	is
why	whi	why
she	she	she
lost	lost	lost
the	the	the
election	elect	election
.	.	.

Trump	trump	Trump
said	said	said
that	that	that
he	he	he
believes	believ	belief
that	that	that
Hillary	hillari	Hillary
s	s	s
statement	statement	statement
in	in	in
itself	itself	itself
,	,	,
is	is	is
very	veri	very
disrespectful	disrespect	disrespectful
to	to	to
our	our	our
country	countri	country
.	.	.

Watch	watch	Watch
Will	will	Will
someone	someon	someone
please	pleas	please
tell	tell	tell
Crooked	crook	Crooked
Hillary	hillari	Hillary
that	that	that
America	america	America
doesn	doesn	doesn
t	t	t
care	care	care
about	about	about
her	her	her
opinion	opinion	opinion
,	,	,
and	and	and
if	if	if
we	we	we
did	did	did
,	,	,
we	we	we
would	would	would
have	have	have
elected	elect	elected
her	her	her
as	as	a
our	our	our
next	next	next
President	presid	President
.	.	.

Here	here	Here
s	s	s
the	the	the
hilarious	hilari	hilarious
tweet	tweet	tweet
from	from	from
President	presid	President
Trump	trump	Trump
on	on	on
Monday	monday	Monday
morning	morn	morning
that	that	that
John	john	John
Robert	robert	Robert
s	s	s
was	was	wa
referring	refer	referring
to	to	to
I	i	I
was	was	wa
recently	recent	recently
asked	ask	asked
if	if	if
Crooked	crook	Crooked
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
going	go	going
to	to	to
run	run	run
in	in	in
2020	2020	2020
?	?	?

My	my	My
answer	answer	answer
was	was	wa
,	,	,
I	i	I
hope	hope	hope
so	so	so
!	!	!

I	i	I
was	was	wa
recently	recent	recently
asked	ask	asked
if	if	if
Crooked	crook	Crooked
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
going	go	going
to	to	to
run	run	run
in	in	in
2020	2020	2020
?	?	?

My	my	My
answer	answer	answer
was	was	wa
,	,	,
I	i	I
hope	hope	hope
so	so	so
!	!	!
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
October	octob	October
16	16	16
,	,	,
2017	2017	2017

