Make	make	Make
no	no	no
mistake	mistak	mistake
about	about	about
it	it	it
,	,	,
the	the	the
NFL	nfl	NFL
needs	need	need
to	to	to
show	show	show
their	their	their
fans	fan	fan
that	that	that
their	their	their
players	player	player
are	are	are
serious	serious	serious
about	about	about
playing	play	playing
football	footbal	football
,	,	,
or	or	or
the	the	the
owners	owner	owner
are	are	are
going	go	going
to	to	to
continue	continu	continue
to	to	to
face	face	face
catastrophic	catastroph	catastrophic
financial	financi	financial
losses	loss	loss
.	.	.

The	the	The
owners	owner	owner
didn	didn	didn
t	t	t
hire	hire	hire
Goodell	goodel	Goodell
to	to	to
be	be	be
their	their	their
social	social	social
justice	justic	justice
director	director	director
Dallas	dalla	Dallas
Cowboys	cowboy	Cowboys
owner	owner	owner
Jerry	jerri	Jerry
Jones	jone	Jones
led	led	led
a	a	a
conference	confer	conference
call	call	call
with	with	with
17	17	17
NFL	nfl	NFL
owners	owner	owner
on	on	on
Thursday	thursday	Thursday
to	to	to
discuss	discuss	discus
the	the	the
possibility	possibl	possibility
of	of	of
halting	halt	halting
commissioner	commission	commissioner
Roger	roger	Roger
Goodell	goodel	Goodell
s	s	s
pending	pend	pending
contract	contract	contract
extension	extens	extension
.	.	.
The	the	The
owners	owner	owner
on	on	on
Thursday	thursday	Thursday
s	s	s
conference	confer	conference
call	call	call
are	are	are
unhappy	unhappi	unhappy
with	with	with
Goodell	goodel	Goodell
and	and	and
the	the	the
NFL	nfl	NFL
s	s	s
front	front	front
office	offic	office
for	for	for
a	a	a
variety	varieti	variety
of	of	of
reasons	reason	reason
,	,	,
including	includ	including
the	the	the
player	player	player
protests	protest	protest
staged	stage	staged
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
,	,	,
issues	issu	issue
regarding	regard	regarding
the	the	the
relocation	reloc	relocation
of	of	of
teams	team	team
to	to	to
Los	los	Los
Angeles	angel	Angeles
and	and	and
the	the	the
league	leagu	league
s	s	s
handling	handl	handling
of	of	of
the	the	the
Ray	ray	Ray
Rice	rice	Rice
domestic	domest	domestic
violence	violenc	violence
case	case	case
,	,	,
sources	sourc	source
told	told	told
ESPN	espn	ESPN
.	.	.

You	you	You
don	don	don
t	t	t
get	get	get
to	to	to
have	have	have
this	this	this
many	mani	many
messes	mess	mess
over	over	over
the	the	the
years	year	year
like	like	like
Roger	roger	Roger
has	has	ha
had	had	had
and	and	and
survive	surviv	survive
it	it	it
,	,	,
one	one	one
owner	owner	owner
said	said	said
during	dure	during
the	the	the
call	call	call
.	.	.
Sources	sourc	Sources
have	have	have
previously	previous	previously
