Hey	hey	Hey
,	,	,
everything	everyth	everything
is	is	is
fair	fair	fair
game	game	game
in	in	in
this	this	this
war	war	war
to	to	to
win	win	win
the	the	the
White	white	White
House	hous	House
.	.	.
The	the	The
Clintons	clinton	Clintons
have	have	have
their	their	their
attack	attack	attack
dog	dog	dog
in	in	in
John	john	John
Podesta	podesta	Podesta
who	who	who
s	s	s
about	about	about
as	as	a
radical	radic	radical
and	and	and
devious	devious	devious
as	as	a
they	they	they
come	come	come
.	.	.
It	it	It
s	s	s
pretty	pretti	pretty
interesting	interest	interesting
that	that	that
all	all	all
of	of	of
a	a	a
sudden	sudden	sudden
the	the	the
Democrats	democrat	Democrats
are	are	are
saying	say	saying
you	you	you
need	need	need
to	to	to
keep	keep	keep
it	it	it
clean	clean	clean
.	.	.
They	they	They
certainly	certain	certainly
don	don	don
t	t	t
have	have	have
the	the	the
moral	moral	moral
high	high	high
ground	ground	ground
in	in	in
anything	anyth	anything
political	polit	political
.	.	.
Podesta	podesta	Podesta
must	must	must
be	be	be
desperate	desper	desperate
.	.	.
What	what	What
a	a	a
putz	putz	putz
!	!	!
A	a	A
top	top	top
aide	aid	aide
for	for	for
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
on	on	on
Monday	monday	Monday
ripped	rip	ripped
attacks	attack	attack
on	on	on
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
past	past	past
infidelity	infidel	infidelity
by	by	by
GOP	gop	GOP
rival	rival	rival
Donald	donald	Donald
Trump	trump	Trump
,	,	,
saying	say	saying
Trump	trump	Trump
has	has	ha
gone	gone	gone
in	in	in
the	the	the
gutter	gutter	gutter
.	.	.
Clinton	clinton	Clinton
campaign	campaign	campaign
chairman	chairman	chairman
John	john	John
Podesta	podesta	Podesta
also	also	also
issued	issu	issued
a	a	a
warning	warn	warning
to	to	to
Clinton	clinton	Clinton
s	s	s
Democratic	democrat	Democratic
rival	rival	rival
Sen	sen	Sen
.	.	.
Bernie	berni	Bernie
Sanders	sander	Sanders
I	i	I
-Vt	-vt	-Vt
.	.	.
to	to	to
stay	stay	stay
away	away	away
from	from	from
the	the	the
topic	topic	topic
.	.	.
I	i	I
hope	hope	hope
he	he	he
s	s	s
not	not	not
going	go	going
there	there	there
,	,	,
Podesta	podesta	Podesta
said	said	said
of	of	of
Sanders	sander	Sanders
during	dure	during
an	an	an
appearance	appear	appearance
on	on	on
MSNBC	msnbc	MSNBC
s	s	s
Andrea	andrea	Andrea
Mitchell	mitchel	Mitchell
Reports	report	Reports
after	after	after
the	the	the
host	host	host
noted	note	noted
it	it	it
seems	seem	seems
there	there	there
s	s	s
some	some	some
piling	pile	piling
on	on	on
here	here	here
by	by	by
Sanders	sander	Sanders
.	.	.
He	he	He
said	said	said
that	that	that
he	he	he
s	s	s
going	go	going
to	to	to
run	run	run
a	a	a
positive	posit	positive
campaign	campaign	campaign
,	,	,
that	that	that
he	he	he
wasn	wasn	wasn
t	t	t
going	go	going
to	to	to
go	go	go
in	in	in
for	for	for
personal	person	personal
attacks	attack	attack
and	and	and
I	i	I
take	take	take
him	him	him
at	at	at
his	his	his
word	word	word
on	on	on
that	that	that
,	,	,
Podesta	podesta	Podesta
continued	continu	continued
.	.	.
But	but	But
I	i	I
hope	hope	hope
he	he	he
s	s	s
not	not	not
thinking	think	thinking
about	about	about
going	go	going
there	there	there
,	,	,
because	becaus	because
,	,	,
again	again	again
,	,	,
I	i	I
think	think	think
what	what	what
Trump	trump	Trump
has	has	ha
done	done	done
to	to	to
go	go	go
in	in	in
the	the	the
gutter	gutter	gutter
is	is	is
reprehensible	reprehens	reprehensible
,	,	,
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
chairman	chairman	chairman
added	ad	added
.	.	.
PODESTA	podesta	PODESTA
ON	on	ON
BRINGING	bring	BRINGING
BILL	bill	BILL
S	s	S
SEXUAL	sexual	SEXUAL
EXPLOITS	exploit	EXPLOITS
INTO	into	INTO
THE	the	THE
CAMPAIGN	campaign	CAMPAIGN
Sanders	sander	Sanders
fielded	field	fielded
a	a	a
question	question	question
late	late	late
Friday	friday	Friday
at	at	at
a	a	a
town	town	town
hall	hall	hall
in	in	in
Iowa	iowa	Iowa
about	about	about
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
affair	affair	affair
with	with	with
White	white	White
House	hous	House
intern	intern	intern
Monica	monica	Monica
Lewinsky	lewinski	Lewinsky
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
not	not	not
Bill	bill	Bill
Clinton	clinton	Clinton
.	.	.
What	what	What
Bill	bill	Bill
Clinton	clinton	Clinton
did	did	did
,	,	,
I	i	I
think	think	think
we	we	we
can	can	can
all	all	all
acknowledge	acknowledg	acknowledge
was	was	wa
totally	total	totally
,	,	,
totally	total	totally
,	,	,
totally	total	totally
disgraceful	disgrac	disgraceful
and	and	and
unacceptable	unaccept	unacceptable
.	.	.
But	but	But
I	i	I
am	am	am
running	run	running
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
I	i	I
am	am	am
not	not	not
running	run	running
against	against	against
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
Sanders	sander	Sanders
told	told	told
the	the	the
questioner	question	questioner
,	,	,
according	accord	according
to	to	to
The	the	The
Washington	washington	Washington
Post	post	Post
.	.	.
Trump	trump	Trump
has	has	ha
for	for	for
several	sever	several
weeks	week	week
knocked	knock	knocked
the	the	the
Clintons	clinton	Clintons
over	over	over
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
sexual	sexual	sexual
history	histori	history
,	,	,
and	and	and
on	on	on
Sunday	sunday	Sunday
argued	argu	argued
that	that	that
Hillary	hillari	Hillary
was	was	wa
an	an	an
enabler	enabl	enabler
for	for	for
her	her	her
husband	husband	husband
.	.	.
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
manager	manag	manager
maintained	maintain	maintained
on	on	on
Monday	monday	Monday
that	that	that
Bill	bill	Bill
Clinton	clinton	Clinton
remains	remain	remains
an	an	an
asset	asset	asset
for	for	for
us	us	u
.	.	.
Via	via	Via
The	the	The
Hill	hill	Hill
