Barack	barack	Barack
Obama	obama	Obama
recently	recent	recently
kicked	kick	kicked
35	35	35
Russian	russian	Russian
diplomats	diplomat	diplomat
and	and	and
their	their	their
families	famili	family
out	out	out
of	of	of
the	the	the
US	us	US
,	,	,
and	and	and
announced	announc	announced
sanctions	sanction	sanction
over	over	over
allegations	alleg	allegation
that	that	that
have	have	have
yet	yet	yet
to	to	to
be	be	be
proven	proven	proven
,	,	,
that	that	that
the	the	the
Russian	russian	Russian
government	govern	government
hacked	hack	hacked
John	john	John
Podesta	podesta	Podesta
,	,	,
Hillary	hillari	Hillary
s	s	s
campaign	campaign	campaign
chair	chair	chair
s	s	s
emails	email	email
.	.	.

HILLARY	hillari	HILLARY
Clinton	clinton	Clinton
is	is	is
facing	face	facing
a	a	a
backlash	backlash	backlash
in	in	in
Germany	germani	Germany
after	after	after
it	it	it
was	was	wa
revealed	reveal	revealed
the	the	the
country	countri	country
s	s	s
taxpayers	taxpay	taxpayer
handed	hand	handed
over	over	over
4million	4million	4million
to	to	to
her	her	her
foundation	foundat	foundation
via	via	via
the	the	the
government	govern	government
at	at	at
the	the	the
height	height	height
of	of	of
the	the	the
US	us	US
elections	elect	election
.	.	.
According	accord	According
to	to	to
reports	report	report
,	,	,
the	the	the
failed	fail	failed
Democratic	democrat	Democratic
nominee	nomine	nominee
s	s	s
US	us	US
-based	-base	-based
charity	chariti	charity
received	receiv	received
the	the	the
cash	cash	cash
to	to	to
help	help	help
plant	plant	plant
trees	tree	tree
in	in	in
Africa	africa	Africa
at	at	at
exactly	exact	exactly
the	the	the
time	time	time
she	she	she
declared	declar	declared
Angela	angela	Angela
Merkel	merkel	Merkel
her	her	her
favourite	favourit	favourite
politician	politician	politician
.	.	.
But	but	But
the	the	the
revelation	revel	revelation
of	of	of
the	the	the
financing	financ	financing
arangment	arang	arangment
has	has	ha
been	been	been
met	met	met
with	with	with
scorn	scorn	scorn
.	.	.
In	in	In
October	octob	October
,	,	,
around	around	around
the	the	the
same	same	same
time	time	time
the	the	the
transaction	transact	transaction
was	was	wa
made	made	made
,	,	,
it	it	it
was	was	wa
revealed	reveal	revealed
that	that	that
Mrs	mrs	Mrs
Clinton	clinton	Clinton
said	said	said
the	the	the
German	german	German
Chancellor	chancellor	Chancellor
was	was	wa
one	one	one
of	of	of
her	her	her
favourites	favourit	favourite
when	when	when
asked	ask	asked
about	about	about
who	who	who
she	she	she
admired	admir	admired
in	in	in
global	global	global
politics	polit	politics
.	.	.
According	accord	According
to	to	to
reports	report	report
,	,	,
the	the	the
failed	fail	failed
Democratic	democrat	Democratic
nominee	nomine	nominee
s	s	s
US	us	US
-based	-base	-based
charity	chariti	charity
received	receiv	received
the	the	the
cash	cash	cash
to	to	to
help	help	help
plant	plant	plant
trees	tree	tree
in	in	in
Africa	africa	Africa
at	at	at
exactly	exact	exactly
the	the	the
time	time	time
she	she	she
declared	declar	declared
Angela	angela	Angela
Merkel	merkel	Merkel
her	her	her
favourite	favourit	favourite
politician	politician	politician
.	.	.
But	but	But
the	the	the
revelation	revel	revelation
of	of	of
the	the	the
financing	financ	financing
arangment	arang	arangment
has	has	ha
been	been	been
met	met	met
with	with	with
scorn	scorn	scorn
.	.	.
In	in	In
October	octob	October
,	,	,
around	around	around
the	the	the
same	same	same
time	time	time
the	the	the
transaction	transact	transaction
was	was	wa
made	made	made
,	,	,
it	it	it
was	was	wa
revealed	reveal	revealed
that	that	that
Mrs	mrs	Mrs
Clinton	clinton	Clinton
said	said	said
the	the	the
German	german	German
Chancellor	chancellor	Chancellor
was	was	wa
one	one	one
of	of	of
her	her	her
favourites	favourit	favourite
when	when	when
asked	ask	asked
about	about	about
who	who	who
she	she	she
admired	admir	admired
in	in	in
global	global	global
politics	polit	politics
.	.	.
According	accord	According
to	to	to
reports	report	report
the	the	the
tome	tome	tome
alleges	alleg	alleges
foreign	foreign	foreign
groups	group	group
and	and	and
governments	govern	government
gave	gave	gave
money	money	money
to	to	to
Mrs	mrs	Mrs
Clinton	clinton	Clinton
s	s	s
charity	chariti	charity
in	in	in
return	return	return
for	for	for
access	access	access
to	to	to
the	the	the
State	state	State
Department	depart	Department
while	while	while
she	she	she
was	was	wa
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.
Now	now	Now
eyebrows	eyebrow	eyebrow
are	are	are
being	be	being
raised	rais	raised
after	after	after
it	it	it
was	was	wa
revealed	reveal	revealed
German	german	German
taxpayers	taxpay	taxpayer
handed	hand	handed
over	over	over
millions	million	million
in	in	in
the	the	the
third	third	third
quarter	quarter	quarter
of	of	of
the	the	the
year	year	year
,	,	,
during	dure	during
the	the	the
period	period	period
Mrs	mrs	Mrs
Clinton	clinton	Clinton
was	was	wa
running	run	running
for	for	for
President	presid	President
while	while	while
at	at	at
the	the	the
same	same	same
time	time	time
being	be	being
investigated	investig	investigated
by	by	by
the	the	the
FBI	fbi	FBI
.	.	.
And	and	And
it	it	it
has	has	ha
been	been	been
claimed	claim	claimed
the	the	the
foundation	foundat	foundation
s	s	s
donors	donor	donor
list	list	list
shows	show	show
the	the	the
Federal	feder	Federal
Ministry	ministri	Ministry
of	of	of
the	the	the
Environment	environ	Environment
had	had	had
made	made	made
the	the	the
transaction	transact	transaction
.	.	.

Express	express	Express
UK	uk	UK

