Political	polit	Political
contributor	contributor	contributor
and	and	and
conservative	conserv	conservative
editor	editor	editor
Erick	erick	Erick
Erickson	erickson	Erickson
,	,	,
along	along	along
with	with	with
numerous	numer	numerous
Republican	republican	Republican
activists	activist	activist
and	and	and
leaders	leader	leader
,	,	,
are	are	are
planning	plan	planning
on	on	on
rallying	ralli	rallying
behind	behind	behind
a	a	a
third	third	third
-party	-parti	-party
candidate	candid	candidate
should	should	should
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
current	current	current
GOP	gop	GOP
frontrunner	frontrunn	frontrunner
,	,	,
secure	secur	secure
the	the	the
nomination	nomin	nomination
in	in	in
July	juli	July
.	.	.
Erickson	erickson	Erickson
,	,	,
former	former	former
editor	editor	editor
of	of	of
RedState	redstat	RedState
,	,	,
in	in	in
a	a	a
statement	statement	statement
on	on	on
his	his	his
newest	newest	newest
website	websit	website
The	the	The
Resurgent	resurg	Resurgent
titled	titl	titled
#UnelectableDonald	#unelectabledonald	#UnelectableDonald
Will	will	Will
Make	make	Make
America	america	America
Blue	blue	Blue
Again	again	Again
,	,	,
said	said	said
As	as	As
economic	econom	economic
,	,	,
defense	defens	defense
,	,	,
and	and	and
faith	faith	faith
conservatives	conserv	conservative
,	,	,
we	we	we
oppose	oppos	oppose
Donald	donald	Donald
Trump	trump	Trump
and	and	and
will	will	will
not	not	not
vote	vote	vote
for	for	for
him	him	him
in	in	in
the	the	the
coming	come	coming
general	general	general
election	elect	election
.	.	.

Our	our	Our
objective	object	objective
is	is	is
two	two	two
-fold	-fold	-fold
the	the	the
election	elect	election
of	of	of
a	a	a
conservative	conserv	conservative
president	presid	president
and	and	and
averting	avert	averting
the	the	the
debacle	debacl	debacle
of	of	of
a	a	a
Hillary	hillari	Hillary
Clinton	clinton	Clinton
or	or	or
Bernie	berni	Bernie
Sanders	sander	Sanders
administration	administr	administration
.	.	.

To	to	To
achieve	achiev	achieve
these	these	these
objectives	object	objective
,	,	,
the	the	the
candidacy	candidaci	candidacy
of	of	of
Donald	donald	Donald
Trump	trump	Trump
must	must	must
be	be	be
defeated	defeat	defeated
.	.	.
Slamming	slam	Slamming
Trump	trump	Trump
over	over	over
his	his	his
liberal	liber	liberal
positions	posit	position
and	and	and
his	his	his
authoritarian	authoritarian	authoritarian
approach	approach	approach
,	,	,
the	the	the
group	group	group
of	of	of
leaders	leader	leader
and	and	and
activists	activist	activist
pledged	pledg	pledged
they	they	they
would	would	would
vote	vote	vote
and	and	and
,	,	,
if	if	if
they	they	they
lose	lose	lose
,	,	,
carry	carri	carry
on	on	on
until	until	until
the	the	the
next	next	next
fight	fight	fight
We	we	We
will	will	will
vote	vote	vote
.	.	.

Sitting	sit	Sitting
out	out	out
an	an	an
election	elect	election
is	is	is
not	not	not
an	an	an
option	option	option
.	.	.

The	the	The
