Thank	thank	Thank
goodness	good	goodness
for	for	for
Rep	rep	Rep
.	.	.

Jim	jim	Jim
Jordan	jordan	Jordan
s	s	s
masterful	master	masterful
grilling	grill	grilling
of	of	of
FBI	fbi	FBI
Director	director	Director
Chris	chris	Chris
Wray	wray	Wray
today	today	today
see	see	see
video	video	video
of	of	of
testimony	testimoni	testimony
below	below	below
regarding	regard	regarding
the	the	the
Trump	trump	Trump
investigation	investig	investigation
.	.	.

The	the	The
videos	video	video
below	below	below
reveal	reveal	reveal
bombshell	bombshel	bombshell
information	inform	information
that	that	that
this	this	this
is	is	is
a	a	a
set	set	set
up	up	up
by	by	by
FBI	fbi	FBI
agent	agent	agent
Strzok	strzok	Strzok
who	who	who
took	took	took
the	the	the
fake	fake	fake
dossier	dossier	dossier
to	to	to
the	the	the
FISA	fisa	FISA
Court	court	Court
in	in	in
the	the	the
beginning	begin	beginning
THIS	this	THIS
IS	is	IS
A	a	A
BIG	big	BIG
DEAL	deal	DEAL
!	!	!
JORDAN	jordan	JORDAN
ON	on	ON
LOU	lou	LOU
DOBBS	dobb	DOBBS
AFTER	after	AFTER
HIS	his	HIS
QUESTIONING	question	QUESTIONING
OF	of	OF
WRAY	wray	WRAY
There	there	There
are	are	are
a	a	a
couple	coupl	couple
of	of	of
fundamental	fundament	fundamental
questions	question	question
here	here	here
.	.	.

Did	did	Did
the	the	the
FBI	fbi	FBI
pay	pay	pay
Christopher	christoph	Christopher
Steele	steel	Steele
?	?	?

I	i	I
asked	ask	asked
that	that	that
of	of	of
the	the	the
Attorney	attorney	Attorney
General	general	General
two	two	two
weeks	week	week
ago	ago	ago
he	he	he
wouldn	wouldn	wouldn
t	t	t
answer	answer	answer
the	the	the
question	question	question
.	.	.

Did	did	Did
they	they	they
actually	actual	actually
vet	vet	vet
this	this	this
dossier	dossier	dossier
?	?	?

Because	becaus	Because
it	it	it
s	s	s
been	been	been
disproven	disproven	disproven
,	,	,
a	a	a
bunch	bunch	bunch
of	of	of
lies	lie	lie
,	,	,
a	a	a
bunch	bunch	bunch
of	of	of
National	nation	National
Enquirer	enquir	Enquirer
garbage	garbag	garbage
and	and	and
fake	fake	fake
news	news	news
in	in	in
this	this	this
thing	thing	thing
.	.	.

Did	did	Did
they	they	they
actually	actual	actually
check	check	check
it	it	it
out	out	out
before	befor	before
they	they	they
brought	brought	brought
it	it	it
to	to	to
the	the	the
FISA	fisa	FISA
Court	court	Court
which	which	which
I	i	I
m	m	m
convinced	convinc	convinced
they	they	they
did	did	did
.	.	.

And	and	And
all	all	all
of	of	of
this	this	this
can	can	can
be	be	be
cleared	clear	cleared
up	up	up
if	if	if
they	they	they
release	releas	release
the	the	the
application	applic	application
that	that	that
they	they	they
took	took	took
to	to	to
the	the	the
court	court	court
I	i	I
think	think	think
they	they	they
won	won	won
t	t	t
give	give	give
it	it	it
to	to	to
us	us	u
because	becaus	because
they	they	they
did	did	did
pay	pay	pay
Christopher	christoph	Christopher
Steele	steel	Steele
.	.	.

I	i	I
think	think	think
they	they	they
did	did	did
use	use	use
the	the	the
dossier	dossier	dossier
as	as	a
the	the	the
basis	basi	basis
for	for	for
the	the	the
warrants	warrant	warrant
to	to	to
spy	spi	spy
on	on	on
Americans	american	Americans
associated	associ	associated
with	with	with
President	presid	President
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
.	.	.

Strzok	strzok	Strzok
is	is	is
the	the	the
guy	guy	guy
who	who	who
took	took	took
the	the	the
dossier	dossier	dossier
to	to	to
the	the	the
FISA	fisa	FISA
Court	court	Court
.	.	.
Politically	polit	Politically
Corrupt	corrupt	Corrupt
FBI	fbi	FBI
@Jim_Jordan	@jim_jordan	@Jim_Jordan
I	i	I
believe	believ	believe
the	the	the
FBI	fbi	FBI
paid	paid	paid
Christopher	christoph	Christopher
Steele	steel	Steele
,	,	,
and	and	and
then	then	then
used	use	used
the	the	the
discredited	discredit	discredited
,	,	,
fake	fake	fake
news	news	news
dossier	dossier	dossier
to	to	to
spy	spi	spy
on	on	on
@POTUS	@potus	@POTUS
and	and	and
his	his	his
campaign	campaign	campaign
.	.	.

#MAGA	#maga	#MAGA
#TrumpTrain	#trumptrain	#TrumpTrain
#DTS	#dts	#DTS
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
pic.twitter.com/bfgk37LbFC	pic.twitter.com/bfgk37lbfc	pic.twitter.com/bfgk37LbFC
Lou	lou	Lou
Dobbs	dobb	Dobbs
@LouDobbs	@loudobb	@LouDobbs
December	decemb	December
8	8	8
,	,	,
2017Earlier	2017earlier	2017Earlier
in	in	in
the	the	the
day	day	day
,	,	,
Rep	rep	Rep
.	.	.

Jim	jim	Jim
Jordan	jordan	Jordan
grilled	grill	grilled
Chris	chris	Chris
Wray	wray	Wray
about	about	about
the	the	the
dossier	dossier	dossier
Let	let	Let
s	s	s
remember	rememb	remember
a	a	a
couple	coupl	couple
of	of	of
things	thing	thing
about	about	about
the	the	the
dossier	dossier	dossier
,	,	,
he	he	he
said	said	said
.	.	.

The	the	The
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
and	and	and
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
,	,	,
which	which	which
we	we	we
now	now	now
know	know	know
were	were	were
one	one	one
and	and	and
the	the	the
same	same	same
,	,	,
paid	paid	paid
the	the	the
law	law	law
firm	firm	firm
who	who	who
paid	paid	paid
Fusion	fusion	Fusion
GPS	gps	GPS
who	who	who
paid	paid	paid
Christopher	christoph	Christopher
Steele	steel	Steele
who	who	who
then	then	then
paid	paid	paid
Russians	russian	Russians
to	to	to
put	put	put
together	togeth	together
a	a	a
report	report	report
that	that	that
we	we	we
call	call	call
a	a	a
dossier	dossier	dossier
full	full	full
of	of	of
all	all	all
kinds	kind	kind
of	of	of
fake	fake	fake
news	news	news
,	,	,
National	nation	National
Enquirer	enquir	Enquirer
garbage	garbag	garbage
and	and	and
it	it	it
s	s	s
been	been	been
reported	report	reported
that	that	that
this	this	this
dossier	dossier	dossier
was	was	wa
all	all	all
dressed	dress	dressed
up	up	up
by	by	by
the	the	the
FBI	fbi	FBI
,	,	,
taken	taken	taken
to	to	to
the	the	the
FISA	fisa	FISA
court	court	court
and	and	and
presented	present	presented
as	as	a
a	a	a
legitimate	legitim	legitimate
intelligence	intellig	intelligence
document	document	document
that	that	that
it	it	it
became	becam	became
the	the	the
basis	basi	basis
for	for	for
a	a	a
warrant	warrant	warrant
to	to	to
spy	spi	spy
on	on	on
Americans	american	Americans
.	.	.

The	the	The
easiest	easiest	easiest
way	way	way
to	to	to
clear	clear	clear
it	it	it
up	up	up
is	is	is
tell	tell	tell
us	us	u
what	what	what
s	s	s
in	in	in
that	that	that
application	applic	application
and	and	and
who	who	who
took	took	took
it	it	it
there	there	there
,	,	,
Jordan	jordan	Jordan
said	said	said
.	.	.
Jordan	jordan	Jordan
finished	finish	finished
with	with	with
this	this	this
Here	here	Here
s	s	s
what	what	what
I	i	I
think	think	think
I	i	I
think	think	think
Peter	peter	Peter
Strozk	strozk	Strozk
Mr	mr	Mr
.	.	.
Super	super	Super
Agent	agent	Agent
at	at	at
the	the	the
FBI	fbi	FBI
,	,	,
I	i	I
think	think	think
he	he	he
s	s	s
the	the	the
guy	guy	guy
who	who	who
took	took	took
the	the	the
application	applic	application
to	to	to
the	the	the
FISA	fisa	FISA
court	court	court
and	and	and
if	if	if
that	that	that
happened	happen	happened
,	,	,
if	if	if
this	this	this
happened	happen	happened
,	,	,
if	if	if
you	you	you
have	have	have
the	the	the
FBI	fbi	FBI
working	work	working
with	with	with
a	a	a
campaign	campaign	campaign
,	,	,
the	the	the
Democrats	democrat	Democrats
campaign	campaign	campaign
,	,	,
taking	take	taking
opposition	opposit	opposition
research	research	research
,	,	,
dressing	dress	dressing
it	it	it
all	all	all
up	up	up
and	and	and
turning	turn	turning
it	it	it
into	into	into
an	an	an
intelligence	intellig	intelligence
document	document	document
so	so	so
they	they	they
can	can	can
take	take	take
it	it	it
to	to	to
the	the	the
FISA	fisa	FISA
court	court	court
so	so	so
they	they	they
can	can	can
spy	spi	spy
on	on	on
the	the	the
other	other	other
campaign	campaign	campaign
,	,	,
if	if	if
that	that	that
happened	happen	happened
,	,	,
that	that	that
is	is	is
as	as	a
wrong	wrong	wrong
as	as	a
it	it	it
gets	get	get
.	.	.

