Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
is	is	is
a	a	a
complete	complet	complete
hypocrite	hypocrit	hypocrite
who	who	who
has	has	ha
no	no	no
soul	soul	soul
and	and	and
CNN	cnn	CNN
host	host	host
Jake	jake	Jake
Tapper	tapper	Tapper
proved	prove	proved
it	it	it
.	.	.
Tapper	tapper	Tapper
grilled	grill	grilled
Conway	conway	Conway
during	dure	during
a	a	a
recent	recent	recent
forum	forum	forum
at	at	at
Harvard	harvard	Harvard
Kennedy	kennedi	Kennedy
School	school	School
s	s	s
Institute	institut	Institute
of	of	of
Politics	polit	Politics
in	in	in
which	which	which
Conway	conway	Conway
claimed	claim	claimed
that	that	that
because	becaus	because
Donald	donald	Donald
Trump	trump	Trump
is	is	is
the	the	the
president	presid	president
-elect	-elect	-elect
that	that	that
means	mean	mean
his	his	his
petty	petti	petty
tweets	tweet	tweet
are	are	are
presidential	presidenti	presidential
behavior	behavior	behavior
.	.	.

I	i	I
will	will	will
tell	tell	tell
you	you	you
that	that	that
the	the	the
president	presid	president
-elect	-elect	-elect
looks	look	look
at	at	at
his	his	his
social	social	social
media	media	medium
accounts	account	account
combined	combin	combined
25	25	25
million	million	million
,	,	,
probably	probabl	probably
more	more	more
at	at	at
this	this	this
point	point	point
,	,	,
users	user	user
on	on	on
Twitter	twitter	Twitter
and	and	and
Facebook	facebook	Facebook
as	as	a
a	a	a
very	veri	very
good	good	good
platform	platform	platform
which	which	which
to	to	to
convey	convey	convey
his	his	his
messages	messag	message
,	,	,
Conway	conway	Conway
told	told	told
the	the	the
student	student	student
who	who	who
asked	ask	asked
the	the	the
question	question	question
.	.	.

He	he	He
s	s	s
a	a	a
unique	uniqu	unique
person	person	person
who	who	who
s	s	s
been	been	been
following	follow	following
his	his	his
instincts	instinct	instinct
and	and	and
his	his	his
judgement	judgement	judgement
from	from	from
the	the	the
beginning	begin	beginning
.	.	.

But	but	But
Tapper	tapper	Tapper
,	,	,
who	who	who
as	as	a
a	a	a
CNN	cnn	CNN
host	host	host
has	has	ha
seen	seen	seen
Trump	trump	Trump
s	s	s
many	mani	many
hissy	hissi	hissy
fits	fit	fit
over	over	over
CNN	cnn	CNN
coverage	coverag	coverage
,	,	,
couldn	couldn	couldn
t	t	t
believe	believ	believe
what	what	what
he	he	he
was	was	wa
hearing	hear	hearing
.	.	.
Tapper	tapper	Tapper
pointed	point	pointed
out	out	out
that	that	that
Trump	trump	Trump
s	s	s
claim	claim	claim
that	that	that
3	3	3
million	million	million
people	peopl	people
voted	vote	voted
illegally	illeg	illegally
was	was	wa
totally	total	totally
false	fals	false
and	and	and
further	further	further
pointed	point	pointed
out	out	out
that	that	that
Trump	trump	Trump
routinely	routin	routinely
posts	post	post
petty	petti	petty
attacks	attack	attack
against	against	against
individuals	individu	individual
who	who	who
criticize	critic	criticize
him	him	him
.	.	.

Is	is	Is
that	that	that
really	realli	really
presidential	presidenti	presidential
behavior	behavior	behavior
,	,	,
he	he	he
asked	ask	asked
.	.	.

Well	well	Well
,	,	,
he	he	he
s	s	s
the	the	the
president	presid	president
-elect	-elect	-elect
,	,	,
Conway	conway	Conway
replied	repli	replied
.	.	.

So	so	So
that	that	that
s	s	s
presidential	presidenti	presidential
behavior	behavior	behavior
,	,	,
yes	yes	yes
.	.	.

As	as	As
the	the	the
audience	audienc	audience
gasped	gasp	gasped
in	in	in
shock	shock	shock
because	becaus	because
Trump	trump	Trump
s	s	s
behavior	behavior	behavior
is	is	is
definitely	definit	definitely
NOT	not	NOT
presidential	presidenti	presidential
,	,	,
Tapper	tapper	Tapper
brough	brough	brough
up	up	up
an	an	an
interesting	interest	interesting
point	point	point
.	.	.

So	so	So
the	the	the
things	thing	thing
that	that	that
Bill	bill	Bill
Clinton	clinton	Clinton
did	did	did
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
that	that	that
you	you	you
criticized	critic	criticized
,	,	,
those	those	those
were	were	were
presidential	presidenti	presidential
?	?	?

Tapper	tapper	Tapper
cleverly	clever	cleverly
asked	ask	asked
.	.	.

You	you	You
are	are	are
saying	say	saying
if	if	if
the	the	the
president	presid	president
does	doe	doe
it	it	it
,	,	,
it	it	it
s	s	s
presidential	presidenti	presidential
?	?	?

Conway	conway	Conway
acted	act	acted
shocked	shock	shocked
that	that	that
Tapper	tapper	Tapper
would	would	would
dare	dare	dare
compare	compar	compare
Trump	trump	Trump
to	to	to
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
but	but	but
we	we	we
are	are	are
talking	talk	talking
about	about	about
a	a	a
man	man	man
who	who	who
said	said	said
he	he	he
liked	like	liked
to	to	to
grab	grab	grab
women	women	woman
by	by	by
the	the	the
p	p	p
ssy	ssi	ssy
without	without	without
permission	permiss	permission
.	.	.
Tapper	tapper	Tapper
told	told	told
Conway	conway	Conway
that	that	that
just	just	just
because	becaus	because
a	a	a
president	presid	president
does	doe	doe
something	someth	something
it	it	it
doesn	doesn	doesn
t	t	t
make	make	make
it	it	it
presidential	presidenti	presidential
.	.	.

I	i	I
wasn	wasn	wasn
t	t	t
saying	say	saying
otherwise	otherwis	otherwise
,	,	,
Conway	conway	Conway
claimed	claim	claimed
.	.	.

And	and	And
then	then	then
the	the	the
audience	audienc	audience
laughed	laugh	laughed
at	at	at
her	her	her
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
behavior	behavior	behavior
over	over	over
the	the	the
last	last	last
year	year	year
and	and	and
a	a	a
half	half	half
is	is	is
not	not	not
presidential	presidenti	presidential
,	,	,
but	but	but
Conway	conway	Conway
insists	insist	insists
that	that	that
everything	everyth	everything
Trump	trump	Trump
does	doe	doe
now	now	now
is	is	is
presidential	presidenti	presidential
simply	simpli	simply
because	becaus	because
he	he	he
s	s	s
the	the	the
president	presid	president
-elect	-elect	-elect
.	.	.

And	and	And
that	that	that
means	mean	mean
Conway	conway	Conway
demonstrated	demonstr	demonstrated
her	her	her
hypocrisy	hypocrisi	hypocrisy
by	by	by
whining	whine	whining
when	when	when
Tapper	tapper	Tapper
asked	ask	asked
if	if	if
Bill	bill	Bill
Clinton	clinton	Clinton
getting	get	getting
a	a	a
blow	blow	blow
-job	-job	-job
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
is	is	is
presidential	presidenti	presidential
.	.	.

After	after	After
all	all	all
,	,	,
if	if	if
the	the	the
president	presid	president
does	doe	doe
it	it	it
,	,	,
it	it	it
must	must	must
be	be	be
presidential	presidenti	presidential
,	,	,
right	right	right
?	?	?
Seriously	serious	Seriously
,	,	,
how	how	how
does	doe	doe
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
live	live	live
with	with	with
herself	herself	herself
?	?	?
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot

