Yeah	yeah	Yeah
you	you	you
know	know	know
the	the	the
Obama	obama	Obama
regime	regim	regime
is	is	is
serious	serious	serious
about	about	about
taking	take	taking
down	down	down
ISIS	isi	ISIS
when	when	when
they	they	they
send	send	send
in	in	in
60	60	60
Syrian	syrian	Syrian
rebels	rebel	rebel
and	and	and
leave	leav	leave
them	them	them
unprotected	unprotect	unprotected
against	against	against
the	the	the
Assad	assad	Assad
regime	regim	regime
.	.	.
Sen	sen	Sen
.	.	.
John	john	John
McCain	mccain	McCain
R	r	R
-Ariz	-ariz	-Ariz
.	.	.
went	went	went
straight	straight	straight
for	for	for
the	the	the
jugular	jugular	jugular
in	in	in
questioning	question	questioning
Defense	defens	Defense
Secretary	secretari	Secretary
Ash	ash	Ash
Carter	carter	Carter
at	at	at
a	a	a
Tuesday	tuesday	Tuesday
Senate	senat	Senate
hearing	hear	hearing
on	on	on
the	the	the
Obama	obama	Obama
administration	administr	administration
s	s	s
strategy	strategi	strategy
against	against	against
the	the	the
Islamic	islam	Islamic
State	state	State
in	in	in
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
.	.	.
McCain	mccain	McCain
criticized	critic	criticized
President	presid	President
Obama	obama	Obama
s	s	s
comments	comment	comment
at	at	at
the	the	the
Pentagon	pentagon	Pentagon
on	on	on
Monday	monday	Monday
citing	cite	citing
recent	recent	recent
progress	progress	progress
against	against	against
ISIS	isi	ISIS
as	as	a
delusional	delusion	delusional
,	,	,
and	and	and
he	he	he
ripped	rip	ripped
Carter	carter	Carter
over	over	over
the	the	the
Pentagon	pentagon	Pentagon
s	s	s
slowness	slow	slowness
in	in	in
training	train	training
Syrian	syrian	Syrian
rebels	rebel	rebel
.	.	.
He	he	He
said	said	said
ISIS	isi	ISIS
overall	overal	overall
is	is	is
gaining	gain	gaining
territory	territori	territory
in	in	in
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
and	and	and
that	that	that
there	there	there
is	is	is
no	no	no
compelling	compel	compelling
reason	reason	reason
to	to	to
believe	believ	believe
the	the	the
administration	administr	administration
s	s	s
strategy	strategi	strategy
is	is	is
going	go	going
to	to	to
succeed	succeed	succeed
in	in	in
limiting	limit	limiting
the	the	the
group	group	group
.	.	.
McCain	mccain	McCain
disparaged	disparag	disparaged
the	the	the
Pentagon	pentagon	Pentagon
for	for	for
failing	fail	failing
to	to	to
provide	provid	provide
military	militari	military
support	support	support
to	to	to
the	the	the
few	few	few
Syrian	syrian	Syrian
rebels	rebel	rebel
it	it	it
is	is	is
training	train	training
after	after	after
Carter	carter	Carter
said	said	said
the	the	the
military	militari	military
would	would	would
decide	decid	decide
how	how	how
to	to	to
provide	provid	provide
support	support	support
once	onc	once
they	they	they
are	are	are
in	in	in
the	the	the
field	field	field
.	.	.
Via	via	Via
The	the	The
HillSenator	hillsen	HillSenator
John	john	John
McCain	mccain	McCain
And	and	And
is	is	is
it	it	it
true	true	true
that	that	that
with	with	with
these	these	these
people	peopl	people
that	that	that
you	you	you
are	are	are
training	train	training
and	and	and
equipping	equip	equipping
to	to	to
fight	fight	fight
in	in	in
Syria	syria	Syria
that	that	that
they	they	they
re	re	re
only	onli	only
there	there	there
to	to	to
fight	fight	fight
ISIS	isi	ISIS
and	and	and
not	not	not
Bashar	bashar	Bashar
Assad	assad	Assad
?	?	?
Is	is	Is
that	that	that
true	true	true
?	?	?
US	us	US
Defense	defens	Defense
Secretary	secretari	Secretary
Carter	carter	Carter
Ah	ah	Ah
.	.	.
.	.	.
we	we	we
re	re	re
uh	uh	uh
.	.	.
.	.	.
yes	yes	yes
,	,	,
we	we	we
are	are	are
telling	tell	telling
them	them	them
to	to	to
uh	uh	uh
uh	uh	uh
that	that	that
we	we	we
arming	arm	arming
and	and	and
uh	uh	uh
.	.	.
training	train	training
them	them	them
uh	uh	uh
in	in	in
the	the	the
first	first	first
instance	instanc	instance
,	,	,
to	to	to
go	go	go
after	after	after
ISIL	isil	ISIL
and	and	and
not	not	not
uh	uh	uh
.	.	.
.	.	.
the	the	the
Assad	assad	Assad
regime	regim	regime
and	and	and
that	that	that
is	is	is
our	our	our
priority	prioriti	priority
.	.	.
McCain	mccain	McCain
So	so	So
,	,	,
in	in	in
other	other	other
words	word	word
if	if	if
they	they	they
are	are	are
barrel	barrel	barrel
bombed	bomb	bombed
by	by	by
Bashar	bashar	Bashar
Assad	assad	Assad
,	,	,
they	they	they
are	are	are
not	not	not
Carter	carter	Carter
No	no	No
I	i	I
think	think	think
we	we	we
have	have	have
SOME	some	SOME
obligation	oblig	obligation
to	to	to
them	them	them
once	onc	once
they	they	they
re	re	re
inserted	insert	inserted
in	in	in
the	the	the
field	field	field
.	.	.
Again	again	Again
,	,	,
we	we	we
don	don	don
t	t	t
expect	expect	expect
them	them	them
to	to	to
be	be	be
McCain	mccain	McCain
Is	is	Is
that	that	that
