After	after	After
the	the	the
Paris	pari	Paris
Accord	accord	Accord
,	,	,
the	the	the
United	unit	United
States	state	States
under	under	under
Donald	donald	Donald
Trump	trump	Trump
is	is	is
generally	general	generally
seen	seen	seen
as	as	a
the	the	the
baby	babi	baby
in	in	in
a	a	a
high	high	high
chair	chair	chair
that	that	that
s	s	s
been	been	been
pulled	pull	pulled
up	up	up
to	to	to
the	the	the
table	tabl	table
at	at	at
which	which	which
the	the	the
adults	adult	adult
are	are	are
sitting	sit	sitting
and	and	and
leaders	leader	leader
are	are	are
more	more	more
and	and	and
more	more	more
willing	will	willing
to	to	to
openly	open	openly
express	express	express
that	that	that
sentiment	sentiment	sentiment
because	becaus	because
at	at	at
this	this	this
point	point	point
any	ani	any
hope	hope	hope
that	that	that
Trump	trump	Trump
would	would	would
prove	prove	prove
naysayers	naysay	naysayer
wrong	wrong	wrong
is	is	is
out	out	out
the	the	the
window	window	window
at	at	at
this	this	this
point	point	point
.	.	.
On	on	On
Sunday	sunday	Sunday
,	,	,
The	the	The
Donald	donald	Donald
continued	continu	continued
his	his	his
attempts	attempt	attempt
to	to	to
harness	har	harness
the	the	the
London	london	London
Bridge	bridg	Bridge
attack	attack	attack
to	to	to
promote	promot	promote
his	his	his
agenda	agenda	agenda
.	.	.

While	while	While
at	at	at
one	one	one
point	point	point
this	this	this
would	would	would
have	have	have
led	led	led
to	to	to
condemnation	condemn	condemnation
of	of	of
his	his	his
words	word	word
,	,	,
London	london	London
s	s	s
Mayor	mayor	Mayor
showed	show	showed
the	the	the
world	world	world
that	that	that
it	it	it
s	s	s
time	time	time
to	to	to
just	just	just
stop	stop	stop
taking	take	taking
him	him	him
seriously	serious	seriously
at	at	at
all	all	all
.	.	.

At	at	At
least	least	least
7	7	7
dead	dead	dead
and	and	and
48	48	48
wounded	wound	wounded
in	in	in
terror	terror	terror
attack	attack	attack
and	and	and
Mayor	mayor	Mayor
of	of	of
London	london	London
says	say	say
there	there	there
is	is	is
no	no	no
reason	reason	reason
to	to	to
be	be	be
alarmed	alarm	alarmed
!	!	!

Trump	trump	Trump
tweeted	tweet	tweeted
,	,	,
attacking	attack	attacking
the	the	the
mayor	mayor	mayor
entirely	entir	entirely
out	out	out
of	of	of
context	context	context
.	.	.
At	at	At
least	least	least
7	7	7
dead	dead	dead
and	and	and
48	48	48
wounded	wound	wounded
in	in	in
terror	terror	terror
attack	attack	attack
and	and	and
Mayor	mayor	Mayor
of	of	of
London	london	London
says	say	say
there	there	there
is	is	is
no	no	no
reason	reason	reason
to	to	to
be	be	be
alarmed	alarm	alarmed
!	!	!
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
4	4	4
,	,	,
2017Trump	2017trump	2017Trump
didn	didn	didn
t	t	t
mention	mention	mention
this	this	this
,	,	,
but	but	but
he	he	he
was	was	wa
referencing	referenc	referencing
a	a	a
BBC	bbc	BBC
interview	interview	interview
in	in	in
which	which	which
Khan	khan	Khan
explained	explain	explained
that	that	that
he	he	he
has	has	ha
expanded	expand	expanded
police	polic	police
presence	presenc	presence
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
attack	attack	attack
and	and	and
that	that	that
citizens	citizen	citizen
should	should	should
not	not	not
be	be	be
alarmed	alarm	alarmed
if	if	if
