Backlash	backlash	Backlash
against	against	against
Kathy	kathi	Kathy
Griffin	griffin	Griffin
continues	continu	continues
to	to	to
grow	grow	grow
with	with	with
at	at	at
least	least	least
four	four	four
venues	venu	venue
announcing	announc	announcing
that	that	that
they	they	they
had	had	had
canceled	cancel	canceled
her	her	her
performances	perform	performance
after	after	after
the	the	the
comedian	comedian	comedian
posed	pose	posed
with	with	with
a	a	a
likeness	like	likeness
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
severed	sever	severed
head	head	head
.	.	.
Venues	venu	Venues
in	in	in
New	new	New
Jersey	jersey	Jersey
,	,	,
New	new	New
York	york	York
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
have	have	have
canceled	cancel	canceled
shows	show	show
.	.	.
The	the	The
Community	communiti	Community
Arts	art	Arts
Theater	theater	Theater
in	in	in
Williamsport	williamsport	Williamsport
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
posted	post	posted
on	on	on
its	it	it
website	websit	website
that	that	that
the	the	the
show	show	show
had	had	had
been	been	been
dropped	drop	dropped
due	due	due
to	to	to
the	the	the
recent	recent	recent
controversy	controversi	controversy
surrounding	surround	surrounding
Kathy	kathi	Kathy
Griffin	griffin	Griffin
and	and	and
the	the	the
concern	concern	concern
for	for	for
the	the	the
safety	safeti	safety
and	and	and
security	secur	security
of	of	of
our	our	our
patrons	patron	patron
and	and	and
staff	staff	staff
.	.	.
Earlier	earlier	Earlier
this	this	this
week	week	week
,	,	,
CNN	cnn	CNN
said	said	said
Griffin	griffin	Griffin
would	would	would
no	no	no
longer	longer	longer
co	co	co
-host	-host	-host
its	it	it
live	live	live
New	new	New
Year	year	Year
s	s	s
Eve	eve	Eve
special	special	special
from	from	from
Times	time	Times
Square	squar	Square
and	and	and
another	anoth	another
show	show	show
was	was	wa
canceled	cancel	canceled
at	at	at
a	a	a
New	new	New
Mexico	mexico	Mexico
casino	casino	casino
.	.	.
An	an	An
endorsement	endors	endorsement
deal	deal	deal
with	with	with
Squatty	squatti	Squatty
