As	as	As
the	the	the
name	name	name
of	of	of
the	the	the
suspect	suspect	suspect
,	,	,
identified	identifi	identified
as	as	a
24	24	24
-year-old	-year-old	-year-old
James	jame	James
Holmes	holm	Holmes
,	,	,
first	first	first
emerged	emerg	emerged
Friday	friday	Friday
morning	morn	morning
,	,	,
Ross	ross	Ross
reported	report	reported
on	on	on
ABC	abc	ABC
News	news	News
that	that	that
he	he	he
d	d	d
found	found	found
a	a	a
web	web	web
page	page	page
for	for	for
a	a	a
Jim	jim	Jim
Holmes	holm	Holmes
on	on	on
a	a	a
Colorado	colorado	Colorado
Tea	tea	Tea
Party	parti	Party
site	site	site
.	.	.
Here	here	Here
a	a	a
transcript	transcript	transcript
of	of	of
the	the	the
discussion	discuss	discussion
on	on	on
live	live	live
television	televis	television
between	between	between
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
and	and	and
ABC	abc	ABC
News	news	News
lyin	lyin	lyin
Brian	brian	Brian
Ross	ross	Ross
GEORGE	georg	GEORGE
STEPHANOPOULOS	stephanopoulo	STEPHANOPOULOS
I	i	I
want	want	want
to	to	to
go	go	go
to	to	to
Brian	brian	Brian
Ross	ross	Ross
here	here	here
,	,	,
because	becaus	because
,	,	,
Brian	brian	Brian
,	,	,
you	you	you
ve	ve	ve
been	been	been
looking	look	looking
-	-	-
investigating	investig	investigating
the	the	the
background	background	background
of	of	of
Jim	jim	Jim
Holmes	holm	Holmes
here	here	here
.	.	.

You	you	You
ve	ve	ve
found	found	found
something	someth	something
that	that	that
might	might	might
be	be	be
significant	signific	significant
.	.	.
BRIAN	brian	BRIAN
ROSS	ross	ROSS
There	there	There
is	is	is
a	a	a
Jim	jim	Jim
Holmes	holm	Holmes
of	of	of
Aurora	aurora	Aurora
,	,	,
Colorado	colorado	Colorado
page	page	page
on	on	on
the	the	the
Colorado	colorado	Colorado
Tea	tea	Tea
Party	parti	Party
site	site	site
as	as	a
well	well	well
.	.	.

Talking	talk	Talking
about	about	about
him	him	him
joining	join	joining
the	the	the
Tea	tea	Tea
Party	parti	Party
last	last	last
year	year	year
.	.	.

Now	now	Now
,	,	,
we	we	we
don	don	don
t	t	t
know	know	know
if	if	if
this	this	this
the	the	the
same	same	same
Jim	jim	Jim
Holmes	holm	Holmes
.	.	.

But	but	But
it	it	it
s	s	s
Jim	jim	Jim
Holmes	holm	Holmes
of	of	of
Aurora	aurora	Aurora
,	,	,
Colorado	colorado	Colorado
.	.	.
STEPHANOPOULOS	stephanopoulo	STEPHANOPOULOS
Okay	okay	Okay
,	,	,
we	we	we
ll	ll	ll
keep	keep	keep
looking	look	looking
at	at	at
that	that	that
.	.	.

Brian	brian	Brian
Ross	ross	Ross
,	,	,
thanks	thank	thanks
very	veri	very
much	much	much
.	.	.
Watch	watch	Watch
After	after	After
Lyin	lyin	Lyin
Brian	brian	Brian
Ross	ross	Ross
unsubstantiated	unsubstanti	unsubstantiated
and	and	and
completely	complet	completely
bogus	bogus	bogus
report	report	report
about	about	about
the	the	the
identity	ident	identity
of	of	of
a	a	a
man	man	man
who	who	who
just	just	just
shot	shot	shot
and	and	and
killed	kill	killed
several	sever	several
people	peopl	people
,	,	,
that	that	that
could	could	could
have	have	have
put	put	put
the	the	the
life	life	life
of	of	of
tea	tea	tea
party	parti	party
member	member	member
Jim	jim	Jim
Holmes	holm	Holmes
in	in	in
danger	danger	danger
,	,	,
Ross	ross	Ross
simply	simpli	simply
apologized	apolog	apologized
.	.	.
Fox	fox	Fox
News	news	News
That	that	That
man	man	man
is	is	is
not	not	not
the	the	the
same	same	same
Jim	jim	Jim
Holmes	holm	Holmes
.	.	.

The	the	The
Colorado	colorado	Colorado
Tea	tea	Tea
Party	parti	Party
Patriots	patriot	Patriots
,	,	,
whose	whose	whose
website	websit	website
Ross	ross	Ross
was	was	wa
looking	look	looking
at	at	at
,	,	,
put	put	put
out	out	out
a	a	a
statement	statement	statement
criticizing	critic	criticizing
Ross	ross	Ross
for	for	for
even	even	even
floating	float	floating
the	the	the
possibility	possibl	possibility
noting	note	noting
the	the	the
Jim	jim	Jim
Holmes	holm	Holmes
with	with	with
the	the	the
Tea	tea	Tea
Party	parti	Party
group	group	group
is	is	is
52	52	52
years	year	year
old	old	old
and	and	and
not	not	not
the	the	the
same	same	same
person	person	person
.	.	.

The	the	The
attempts	attempt	attempt
of	of	of
some	some	some
media	media	medium
organizations	organ	organization
to	to	to
characterize	character	characterize
the	the	the
shooter	shooter	shooter
as	as	a
a	a	a
Tea	tea	Tea
Party	parti	Party
member	member	member
without	without	without
having	have	having
made	made	made
any	ani	any
effort	effort	effort
to	to	to
contact	contact	contact
our	our	our
organization	organ	organization
are	are	are
shameless	shameless	shameless
and	and	and
reprehensible	reprehens	reprehensible
,	,	,
the	the	the
group	group	group
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Ross	ross	Ross
clarified	clarifi	clarified
on	on	on
air	air	air
Friday	friday	Friday
,	,	,
as	as	a
ABC	abc	ABC
News	news	News
issued	issu	issued
a	a	a
formal	formal	formal
apology	apolog	apology
.	.	.

An	an	An
earlier	earlier	earlier
ABC	abc	ABC
News	news	News
broadcast	broadcast	broadcast
report	report	report
suggested	suggest	suggested
that	that	that
a	a	a
Jim	jim	Jim
Holmes	holm	Holmes
of	of	of
a	a	a
Colorado	colorado	Colorado
Tea	tea	Tea
Party	parti	Party
organization	organ	organization
might	might	might
be	be	be
the	the	the
suspect	suspect	suspect
,	,	,
but	but	but
that	that	that
report	report	report
was	was	wa
incorrect	incorrect	incorrect
.	.	.

ABC	abc	ABC
News	news	News
and	and	and
Brian	brian	Brian
Ross	ross	Ross
apologize	apolog	apologize
for	for	for
the	the	the
mistake	mistak	mistake
,	,	,
and	and	and
for	for	for
disseminating	dissemin	disseminating
that	that	that
information	inform	information
before	befor	before
it	it	it
was	was	wa
properly	proper	properly
vetted	vet	vetted
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
On	on	On
air	air	air
later	later	later
in	in	in
the	the	the
morning	morn	morning
,	,	,
Ross	ross	Ross
also	also	also
said	said	said
An	an	An
earlier	earlier	earlier
report	report	report
that	that	that
I	i	I
had	had	had
was	was	wa
incorrect	incorrect	incorrect
that	that	that
he	he	he
was	was	wa
connected	connect	connected
with	with	with
the	the	the
Tea	tea	Tea
Party	parti	Party
.	.	.

In	in	In
fact	fact	fact
,	,	,
that	that	that
s	s	s
a	a	a
different	differ	different
Jim	jim	Jim
Holmes	holm	Holmes
.	.	.

He	he	He
was	was	wa
not	not	not
connected	connect	connected
to	to	to
the	the	the
Tea	tea	Tea
Party	parti	Party
and	and	and
what	what	what
we	we	we
do	do	do
know	know	know
about	about	about
him	him	him
is	is	is
he	he	he
is	is	is
a	a	a
24	24	24
-year-old	-year-old	-year-old
white	white	white
male	male	male
who	who	who
went	went	went
to	to	to
Colorado	colorado	Colorado
for	for	for
a	a	a
Ph	ph	Ph
.	.	.
D	d	D
.	.	.
Here	here	Here
s	s	s
Lyin	lyin	Lyin
Brian	brian	Brian
Ross	ross	Ross
apology	apolog	apology
after	after	after
he	he	he
got	got	got
caught	caught	caught
reporting	report	reporting
fake	fake	fake
news	news	news
about	about	about
the	the	the
Michael	michael	Michael
Flynn	flynn	Flynn
s	s	s
meeting	meet	meeting
with	with	with
the	the	the
Russian	russian	Russian
Ambassador	ambassador	Ambassador
while	while	while
President	presid	President
Trump	trump	Trump
was	was	wa
a	a	a
candidate	candid	candidate
.	.	.

