Any	ani	Any
agreement	agreement	agreement
or	or	or
disagreement	disagr	disagreement
with	with	with
a	a	a
president	presid	president
s	s	s
politics	polit	politics
,	,	,
policies	polici	policy
or	or	or
agenda	agenda	agenda
can	can	can
be	be	be
expressed	express	expressed
in	in	in
other	other	other
ways	way	way
PITTSBURGH	pittsburgh	PITTSBURGH
PENGUINSLike	penguinslik	PENGUINSLike
voting	vote	voting
?	?	?
Why	whi	Why
do	do	do
these	these	these
sports	sport	sport
clowns	clown	clown
feel	feel	feel
the	the	the
need	need	need
to	to	to
bring	bring	bring
politics	polit	politics
into	into	into
a	a	a
sport	sport	sport
that	that	that
all	all	all
Americans	american	Americans
watch	watch	watch
and	and	and
support	support	support
?	?	?
This	this	This
all	all	all
started	start	started
with	with	with
a	a	a
disrespectful	disrespect	disrespectful
protest	protest	protest
against	against	against
our	our	our
law	law	law
enforcement	enforc	enforcement
and	and	and
has	has	ha
snowballed	snowbal	snowballed
into	into	into
a	a	a
protest	protest	protest
against	against	against
President	presid	President
Trump	trump	Trump
.	.	.
RESPECT	respect	RESPECT
THE	the	THE
OFFICE	offic	OFFICE
OF	of	OF
THE	the	THE
PRESIDENT	presid	PRESIDENT
The	the	The
Pittsburgh	pittsburgh	Pittsburgh
Penguins	penguin	Penguins
have	have	have
accepted	accept	accepted
an	an	an
invitation	invit	invitation
to	to	to
attend	attend	attend
a	a	a
White	white	White
House	hous	House
ceremony	ceremoni	ceremony
celebrating	celebr	celebrating
their	their	their
second	second	second
-straight	-straight	-straight
Stanley	stanley	Stanley
Cup	cup	Cup
championship	championship	championship
,	,	,
saying	say	saying
they	they	they
respect	respect	respect
the	the	the
Office	offic	Office
of	of	of
the	the	the
President	presid	President
while	while	while
agreeing	agre	agreeing
with	with	with
others	other	others
who	who	who
feel	feel	feel
the	the	the
need	need	need
to	to	to
take	take	take
a	a	a
knee	knee	knee
in	in	in
protest	protest	protest
.	.	.
The	the	The
Pittsburgh	pittsburgh	Pittsburgh
Penguins	penguin	Penguins
respect	respect	respect
the	the	the
institution	institut	institution
of	of	of
the	the	the
Office	offic	Office
of	of	of
the	the	the
President	presid	President
,	,	,
and	and	and
the	the	the
long	long	long
tradition	tradit	tradition
of	of	of
championship	championship	championship
teams	team	team
visiting	visit	visiting
the	the	the
White	white	White
House	hous	House
,	,	,
the	the	the
team	team	team
said	said	said
in	in	in
a	a	a
statement	statement	statement
issued	issu	issued
Sunday	sunday	Sunday
morning	morn	morning
.	.	.
We	we	We
attended	attend	attended
White	white	White
House	hous	House
ceremonies	ceremoni	ceremony
after	after	after
previous	previous	previous
championships	championship	championship
touring	tour	touring
the	the	the
historic	histor	historic
building	build	building
and	and	and
visiting	visit	visiting
briefly	briefli	briefly
with	with	with
Presidents	presid	Presidents
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
Bush	bush	Bush
and	and	and
Barack	barack	Barack
Obama	obama	Obama
and	and	and
have	have	have
accepted	accept	accepted
an	an	an
invitation	invit	invitation
to	to	to
attend	attend	attend
again	again	again
this	this	this
year	year	year
.	.	.
And	and	And
addressing	address	addressing
the	the	the
controversy	controversi	controversy
roiling	roil	roiling
the	the	the
NFL	nfl	NFL
after	after	after
Trump	trump	Trump
on	on	on
Friday	friday	Friday
called	call	called
on	on	on
team	team	team
owners	owner	owner
to	to	to
fire	fire	fire
players	player	player
who	who	who
kneel	kneel	kneel
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.
IN	in	IN
CASE	case	CASE
YOU	you	YOU
MISSED	miss	MISSED
THE	the	THE
PRESIDENT	presid	PRESIDENT
CALLING	call	CALLING
OUT	out	OUT
THE	the	THE
NFL	nfl	NFL
PLAYERS	player	PLAYERS
WHO	who	WHO
KNEEL	kneel	KNEEL
President	presid	President
Trump	trump	Trump
is	is	is
known	known	known
for	for	for
not	not	not
holding	hold	holding
back	back	back
and	and	and
he	he	he
certainly	certain	certainly
didn	didn	didn
t	t	t
on	on	on
Friday	friday	Friday
during	dure	during
a	a	a
speech	speech	speech
in	in	in
Huntsville	huntsvill	Huntsville
,	,	,
Alabama	alabama	Alabama
.	.	.
He	he	He
lashed	lash	lashed
out	out	out
in	in	in
a	a	a
BIG	big	BIG
way	way	way
at	at	at
NFL	nfl	NFL
players	player	player
who	who	who
don	don	don
t	t	t
stand	stand	stand
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.
He	he	He
said	said	said
team	team	team
owners	owner	owner
should	should	should
remove	remov	remove
the	the	the
silent	silent	silent
protesters	protest	protester
from	from	from
the	the	the
field	field	field
Trump	trump	Trump
,	,	,
appearing	appear	appearing
at	at	at
a	a	a
campaign	campaign	campaign
rally	ralli	rally
for	for	for
US	us	US
Sen	sen	Sen
.	.	.
Luther	luther	Luther
Strange	strang	Strange
R	r	R
-Ala	-ala	-Ala
.	.	.
said	said	said
he	he	he
wished	wish	wished
NFL	nfl	NFL
suits	suit	suit
would	would	would
take	take	take
a	a	a
hard	hard	hard
-line	-line	-line
stance	stanc	stance
against	against	against
players	player	player
who	who	who
take	take	take
a	a	a
knee	knee	knee
while	while	while
The	the	The
Star	star	Star
-Spangled	-spangl	-Spangled
Banner	banner	Banner
is	is	is
played	play	played
before	befor	before
kickoff	kickoff	kickoff
.	.	.
We	we	We
re	re	re
proud	proud	proud
of	of	of
our	our	our
country	countri	country
,	,	,
we	we	we
respect	respect	respect
our	our	our
flag	flag	flag
,	,	,
Trump	trump	Trump
told	told	told
supporters	support	supporter
in	in	in
Huntsville	huntsvill	Huntsville
.	.	.
strong	strong	strong
Wouldn	wouldn	Wouldn
t	t	t
you	you	you
love	love	love
to	to	to
see	see	see
one	one	one
of	of	of
these	these	these
NFL	nfl	NFL
owners	owner	owner
,	,	,
when	when	when
someone	someon	someone
disrespects	disrespect	disrespect
our	our	our
flags	flag	flag
to	to	to
say	say	say
,	,	,
Get	get	Get
that	that	that
son	son	son
of	of	of
a	a	a
bitch	bitch	bitch
off	off	off
the	the	the
field	field	field
right	right	right
now	now	now
!	!	!
Out	out	Out
.	.	.
He	he	He
s	s	s
fired	fire	fired
!	!	!
He	he	He
s	s	s
fired	fire	fired
!	!	!
strong	strong	strong
Trump	trump	Trump
then	then	then
pranced	pranc	pranced
around	around	around
the	the	the
stage	stage	stage
,	,	,
arms	arm	arm
extended	extend	extended
,	,	,
to	to	to
soak	soak	soak
up	up	up
wild	wild	wild
applause	applaus	applause
from	from	from
supporters	support	supporter
chanting	chant	chanting
,	,	,
USA	usa	USA
,	,	,
USA	usa	USA
,	,	,
USA	usa	USA
!	!	!
Trump	trump	Trump
predicted	predict	predicted
that	that	that
an	an	an
NFL	nfl	NFL
owner	owner	owner
will	will	will
take	take	take
such	such	such
action	action	action
although	although	although
the	the	the
league	leagu	league
is	is	is
arguably	arguabl	arguably
doing	do	doing
that	that	that
already	alreadi	already
,	,	,
by	by	by
keeping	keep	keeping
former	former	former
San	san	San
Francisco	francisco	Francisco
49ers	49er	49ers
quarterback	quarterback	quarterback
.	.	.
Colin	colin	Colin
Kaepernick	kaepernick	Kaepernick
off	off	off
the	the	the
field	field	field
.	.	.
img	img	img
class	class	class
alignnone	alignnon	alignnone
wp	wp	wp
-image-23131	-image-23131	-image-23131
size	size	size
-thumbnail	-thumbnail	-thumbnail
src	src	src
https://100percentfedup.com/wp-content/uploads/2016/08/colin-Kaepernick-500	https://100percentfedup.com/wp-content/uploads/2016/08/colin-kaepernick-500	https://100percentfedup.com/wp-content/uploads/2016/08/colin-Kaepernick-500
330	330	330
.	.	.
jpg	jpg	jpg
alt	alt	alt
width	width	width
500	500	500
height	height	height
330	330	330
You	you	You
know	know	know
some	some	some
owner	owner	owner
s	s	s
going	go	going
to	to	to
do	do	do
that	that	that
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
He	he	He
s	s	s
going	go	going
to	to	to
say	say	say
,	,	,
That	that	That
guy	guy	guy
who	who	who
disrespects	disrespect	disrespect
our	our	our
flag	flag	flag
,	,	,
he	he	he
s	s	s
fired	fire	fired
!	!	!
READ	read	READ
MORE	more	MORE
NYP	nyp	NYP
