Robert	robert	Robert
Mueller	mueller	Mueller
,	,	,
the	the	the
man	man	man
selected	select	selected
in	in	in
May	may	May
by	by	by
the	the	the
Justice	justic	Justice
Department	depart	Department
to	to	to
head	head	head
the	the	the
investigation	investig	investigation
into	into	into
Russia	russia	Russia
s	s	s
interference	interfer	interference
in	in	in
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
,	,	,
probably	probabl	probably
thought	thought	thought
the	the	the
job	job	job
was	was	wa
relatively	relat	relatively
secure	secur	secure
when	when	when
he	he	he
initially	initi	initially
accepted	accept	accepted
the	the	the
position	posit	position
,	,	,
but	but	but
now	now	now
Donald	donald	Donald
Trump	trump	Trump
s	s	s
attorneys	attorney	attorney
most	most	most
likely	like	likely
have	have	have
Mueller	mueller	Mueller
second	second	second
-guessing	-guess	-guessing
his	his	his
decision	decis	decision
.	.	.
In	in	In
an	an	an
interview	interview	interview
on	on	on
Sunday	sunday	Sunday
,	,	,
Jay	jay	Jay
Sekulow	sekulow	Sekulow
,	,	,
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
attorneys	attorney	attorney
,	,	,
alluded	allud	alluded
to	to	to
the	the	the
fact	fact	fact
that	that	that
he	he	he
wouldn	wouldn	wouldn
t	t	t
completely	complet	completely
rule	rule	rule
out	out	out
the	the	the
possibility	possibl	possibility
that	that	that
the	the	the
president	presid	president
may	may	may
fire	fire	fire
Mueller	mueller	Mueller
from	from	from
leading	lead	leading
the	the	the
investigation	investig	investigation
into	into	into
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
.	.	.

Why	whi	Why
would	would	would
he	he	he
fire	fire	fire
Mueller	mueller	Mueller
?	?	?

Simply	simpli	Simply
because	becaus	because
he	he	he
can	can	can
.	.	.
ABC	abc	ABC
s	s	s
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
was	was	wa
interviewing	interview	interviewing
Sekulow	sekulow	Sekulow
on	on	on
the	the	the
program	program	program
This	this	This
Week	week	Week
on	on	on
Sunday	sunday	Sunday
and	and	and
the	the	the
topic	topic	topic
of	of	of
the	the	the
investigation	investig	investigation
came	came	came
up	up	up
.	.	.

Stephanopoulos	stephanopoulo	Stephanopoulos
asked	ask	asked
Sekulow	sekulow	Sekulow
if	if	if
the	the	the
president	presid	president
would	would	would
give	give	give
any	ani	any
assurance	assur	assurance
that	that	that
he	he	he
would	would	would
not	not	not
interfere	interfer	interfere
in	in	in
the	the	the
investigation	investig	investigation
into	into	into
Russian	russian	Russian
ties	tie	tie
or	or	or
order	order	order
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
,	,	,
a	a	a
man	man	man
that	that	that
many	mani	many
believe	believ	believe
has	has	ha
already	alreadi	already
committed	commit	committed
perjury	perjuri	perjury
on	on	on
more	more	more
than	than	than
one	one	one
occasion	occas	occasion
since	sinc	since
he	he	he
was	was	wa
sworn	sworn	sworn
in	in	in
for	for	for
the	the	the
position	posit	position
in	in	in
early	earli	early
February	februari	February
,	,	,
to	to	to
fire	fire	fire
Mueller	mueller	Mueller
.	.	.

Sekulow	sekulow	Sekulow
s	s	s
response	respons	response
wasn	wasn	wasn
t	t	t
particularly	particular	particularly
convincing	convinc	convincing
.	.	.

Look	look	Look
,	,	,
the	the	the
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
as	as	a
we	we	we
all	all	all
know	know	know
,	,	,
is	is	is
a	a	a
unitary	unitari	unitary
executive	execut	executive
,	,	,
Sekulow	sekulow	Sekulow
said	said	said
during	dure	during
the	the	the
interview	interview	interview
.	.	.

But	but	But
the	the	the
president	presid	president
is	is	is
going	go	going
to	to	to
seek	seek	seek
the	the	the
advice	advic	advice
of	of	of
his	his	his
counsel	counsel	counsel
and	and	and
inside	insid	inside
the	the	the
government	govern	government
as	as	a
well	well	well
as	as	a
outside	outsid	outside
.	.	.

And	and	And
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
speculate	specul	speculate
on	on	on
what	what	what
he	he	he
will	will	will
,	,	,
or	or	or
will	will	will
not	not	not
,	,	,
do	do	do
.	.	.

So	so	So
,	,	,
not	not	not
only	onli	only
did	did	did
Sekulow	sekulow	Sekulow
