Unable	unabl	Unable
to	to	to
spew	spew	spew
her	her	her
toxic	toxic	toxic
bullshit	bullshit	bullshit
on	on	on
various	various	various
media	media	medium
outlets	outlet	outlet
,	,	,
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
appeared	appear	appeared
on	on	on
right	right	right
-wing	-wing	-wing
radio	radio	radio
instead	instead	instead
.	.	.
Republicans	republican	Republicans
have	have	have
conveniently	conveni	conveniently
ignored	ignor	ignored
the	the	the
fact	fact	fact
that	that	that
they	they	they
obstructed	obstruct	obstructed
President	presid	President
Obama	obama	Obama
for	for	for
eight	eight	eight
years	year	year
.	.	.

And	and	And
that	that	that
includes	includ	includes
a	a	a
nearly	near	nearly
year	year	year
long	long	long
refusal	refus	refusal
to	to	to
grant	grant	grant
Supreme	suprem	Supreme
Court	court	Court
nominee	nomine	nominee
Merrick	merrick	Merrick
Garland	garland	Garland
a	a	a
fair	fair	fair
confirmation	confirm	confirmation
hearing	hear	hearing
.	.	.

Republicans	republican	Republicans
even	even	even
blocked	block	blocked
one	one	one
Obama	obama	Obama
nominee	nomine	nominee
so	so	so
long	long	long
that	that	that
she	she	she
died	die	died
waiting	wait	waiting
to	to	to
serve	serv	serve
her	her	her
country	countri	country
.	.	.
So	so	So
every	everi	every
time	time	time
Republicans	republican	Republicans
complain	complain	complain
about	about	about
Democrats	democrat	Democrats
obstructing	obstruct	obstructing
Trump	trump	Trump
,	,	,
they	they	they
are	are	are
being	be	being
hypocrites	hypocrit	hypocrite
.	.	.
And	and	And
Conway	conway	Conway
was	was	wa
a	a	a
whining	whine	whining
hypocrite	hypocrit	hypocrite
during	dure	during
an	an	an
appearance	appear	appearance
on	on	on
Hugh	hugh	Hugh
Hewitt	hewitt	Hewitt
s	s	s
radio	radio	radio
show	show	show
on	on	on
Tuesday	tuesday	Tuesday
and	and	and
failed	fail	failed
to	to	to
disagree	disagre	disagree
with	with	with
Hewitt	hewitt	Hewitt
after	after	after
he	he	he
compared	compar	compared
President	presid	President
Obama	obama	Obama
s	s	s
appointees	appointe	appointee
to	to	to
terrorists	terrorist	terrorist
.	.	.

I	i	I
just	just	just
want	want	want
him	him	him
to	to	to
do	do	do
,	,	,
there	there	there
are	are	are
sleeper	sleeper	sleeper
cells	cell	cell
of	of	of
Obama	obama	Obama
appointees	appointe	appointee
throughout	throughout	throughout
this	this	this
government	govern	government
who	who	who
are	are	are
in	in	in
political	polit	political
jobs	job	job
,	,	,
Hewitt	hewitt	Hewitt
said	said	said
They	they	They
re	re	re
not	not	not
civil	civil	civil
servants	servant	servant
,	,	,
and	and	and
I	i	I
want	want	want
them	them	them
,	,	,
I	i	I
really	realli	really
want	want	want
them	them	them
gone	gone	gone
yesterday	yesterday	yesterday
.	.	.

Hewitt	hewitt	Hewitt
wants	want	want
Donald	donald	Donald
Trump	trump	Trump
to	to	to
just	just	just
fire	fire	fire
all	all	all
of	of	of
Obama	obama	Obama
s	s	s
appointees	appointe	appointee
,	,	,
which	which	which
would	would	would
leave	leav	leave
several	sever	several
positions	posit	position
unfilled	unfil	unfilled
as	as	a
the	the	the
Senate	senat	Senate
continues	continu	continues
to	to	to
hold	hold	hold
hearings	hear	hearing
for	for	for
Trump	trump	Trump
s	s	s
nominees	nomine	nominee
.	.	.
Hewitt	hewitt	Hewitt
then	then	then
asked	ask	asked
Conway	conway	Conway
if	if	if
Trump	trump	Trump
will	will	will
use	use	use
recess	recess	recess
appointments	appoint	appointment
to	to	to
fill	fill	fill
all	all	all
of	of	of
the	the	the
government	govern	government
posts	post	post
in	in	in
one	one	one
shot	shot	shot
,	,	,
a	a	a
dubious	dubious	dubious
appointment	appoint	appointment
method	method	method
that	that	that
Republicans	republican	Republicans
repeatedly	repeat	repeatedly
warned	warn	warned
President	presid	President
Obama	obama	Obama
against	against	against
doing	do	doing
.	.	.

Would	would	Would
you	you	you
push	push	push
that	that	that
,	,	,
because	becaus	because
we	we	we
ve	ve	ve
got	got	got
to	to	to
stand	stand	stand
up	up	up
to	to	to
this	this	this
government	govern	government
,	,	,
and	and	and
Senate	senat	Senate
Democrats	democrat	Democrats
are	are	are
not	not	not
going	go	going
to	to	to
do	do	do
anything	anyth	anything
to	to	to
assist	assist	assist
us	us	u
in	in	in
getting	get	getting
going	go	going
,	,	,
Hewitt	hewitt	Hewitt
said	said	said
.	.	.
Not	not	Not
only	onli	only
did	did	did
Conway	conway	Conway
fail	fail	fail
to	to	to
call	call	call
Hewitt	hewitt	Hewitt
out	out	out
for	for	for
comparing	compar	comparing
President	presid	President
s	s	s
Obama	obama	Obama
s	s	s
appointees	appointe	appointee
to	to	to
terrorists	terrorist	terrorist
,	,	,
she	she	she
admitted	admit	admitted
that	that	that
Trump	trump	Trump
could	could	could
pull	pull	pull
the	the	the
trigger	trigger	trigger
on	on	on
recess	recess	recess
appointments	appoint	appointment
,	,	,
which	which	which
would	would	would
allow	allow	allow
hundreds	hundr	hundred
of	of	of
nominees	nomine	nominee
to	to	to
fill	fill	fill
posts	post	post
without	without	without
confirmation	confirm	confirmation
by	by	by
the	the	the
Senate	senat	Senate
.	.	.

Everything	everyth	Everything
s	s	s
on	on	on
the	the	the
table	tabl	table
,	,	,
she	she	she
said	said	said
.	.	.

All	all	All
of	of	of
that	that	that
is	is	is
being	be	being
discussed	discuss	discussed
,	,	,
Hugh	hugh	Hugh
.	.	.

And	and	And
you	you	you
make	make	make
some	some	some
excellent	excel	excellent
points	point	point
.	.	.

You	you	You
re	re	re
right	right	right
about	about	about
the	the	the
Democrats	democrat	Democrats
.	.	.

I	i	I
mean	mean	mean
,	,	,
to	to	to
see	see	see
sort	sort	sort
of	of	of
congenital	congenit	congenital
,	,	,
presumptive	presumpt	presumptive
obstruction	obstruct	obstruction
and	and	and
negativity	negat	negativity
is	is	is
very	veri	very
concerning	concern	concerning
,	,	,
because	becaus	because
it	it	it
just	just	just
means	mean	mean
that	that	that
the	the	the
government	govern	government
can	can	can
t	t	t
function	function	function
fully	fulli	fully
,	,	,
and	and	and
that	that	that
they	they	they
re	re	re
obstructing	obstruct	obstructing
regardless	regardless	regardless
of	of	of
who	who	who
the	the	the
individual	individu	individual
is	is	is
that	that	that
s	s	s
being	be	being
considered	consid	considered
,	,	,
regardless	regardless	regardless
of	of	of
the	the	the
post	post	post
that	that	that
needs	need	need
to	to	to
be	be	be
filled	fill	filled
.	.	.

And	and	And
it	it	it
s	s	s
very	veri	very
frustrating	frustrat	frustrating
.	.	.

Gee	gee	Gee
,	,	,
