Friday	friday	Friday
it	it	it
was	was	wa
confirmed	confirm	confirmed
that	that	that
the	the	the
FBI	fbi	FBI
is	is	is
in	in	in
agreement	agreement	agreement
with	with	with
the	the	the
National	nation	National
Intelligence	intellig	Intelligence
Agency	agenc	Agency
and	and	and
the	the	the
CIA	cia	CIA
over	over	over
the	the	the
Russian	russian	Russian
hackings	hack	hackings
Russia	russia	Russia
,	,	,
without	without	without
question	question	question
,	,	,
deliberately	deliber	deliberately
interfered	interf	interfered
with	with	with
our	our	our
presidential	presidenti	presidential
election	elect	election
in	in	in
order	order	order
to	to	to
help	help	help
Trump	trump	Trump
win	win	win
.	.	.
RELATED	relat	RELATED
America	america	America
Will	will	Will
Retaliate	retali	Retaliate
For	for	For
Russian	russian	Russian
Election	elect	Election
Interference	interfer	Interference
VIDEO	video	VIDEO
CIA	cia	CIA
Director	director	Director
John	john	John
Brennan	brennan	Brennan
said	said	said
in	in	in
a	a	a
message	messag	message
Earlier	earlier	Earlier
this	this	this
week	week	week
,	,	,
I	i	I
met	met	met
separately	separ	separately
with	with	with
Director	director	Director
FBI	fbi	FBI
James	jame	James
Comey	comey	Comey
and	and	and
DNI	dni	DNI
Jim	jim	Jim
Clapper	clapper	Clapper
,	,	,
and	and	and
there	there	there
is	is	is
strong	strong	strong
consensus	consensus	consensus
among	among	among
us	us	u
on	on	on
the	the	the
scope	scope	scope
,	,	,
nature	natur	nature
,	,	,
and	and	and
intent	intent	intent
of	of	of
Russian	russian	Russian
interference	interfer	interference
in	in	in
our	our	our
presidential	presidenti	presidential
election	elect	election
.	.	.
The	the	The
three	three	three
of	of	of
us	us	u
also	also	also
agree	agre	agree
that	that	that
our	our	our
organizations	organ	organization
,	,	,
along	along	along
with	with	with
others	other	others
,	,	,
need	need	need
to	to	to
focus	focus	focus
on	on	on
completing	complet	completing
the	the	the
thorough	thorough	thorough
review	review	review
of	of	of
this	this	this
issue	issu	issue
that	that	that
has	has	ha
been	been	been
directed	direct	directed
by	by	by
President	presid	President
Obama	obama	Obama
and	and	and
which	which	which
is	is	is
being	be	being
led	led	led
by	by	by
the	the	the
DNI	dni	DNI
.	.	.
