Back	back	Back
in	in	in
2012	2012	2012
,	,	,
getting	get	getting
then	then	then
-Republican	-republican	-Republican
presidential	presidenti	presidential
candidate	candid	candidate
Mitt	mitt	Mitt
Romney	romney	Romney
to	to	to
show	show	show
his	his	his
back	back	back
tax	tax	tax
returns	return	return
was	was	wa
like	like	like
pulling	pull	pulling
teeth	teeth	teeth
.	.	.
He	he	He
knew	knew	knew
that	that	that
if	if	if
he	he	he
showed	show	showed
his	his	his
returns	return	return
he	he	he
would	would	would
not	not	not
only	onli	only
be	be	be
displaying	display	displaying
how	how	how
much	much	much
he	he	he
truly	truli	truly
makes	make	make
,	,	,
but	but	but
he	he	he
would	would	would
be	be	be
revealing	reveal	revealing
how	how	how
much	much	much
he	he	he
actually	actual	actually
pays	pay	pay
in	in	in
taxes	tax	tax
.	.	.
Now	now	Now
,	,	,
Romney	romney	Romney
has	has	ha
decided	decid	decided
to	to	to
go	go	go
after	after	after
present	present	present
-day	-day	-day
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
for	for	for
the	the	the
very	veri	very
same	same	same
reason	reason	reason
.	.	.
Romney	romney	Romney
seems	seem	seems
to	to	to
be	be	be
legitimately	legitim	legitimately
concerned	concern	concerned
that	that	that
there	there	there
may	may	may
be	be	be
some	some	some
sort	sort	sort
of	of	of
bombshell	bombshel	bombshell
hidden	hidden	hidden
within	within	within
Trump	trump	Trump
s	s	s
taxes	tax	tax
that	that	that
will	will	will
show	show	show
something	someth	something
the	the	the
American	american	American
people	peopl	people
won	won	won
t	t	t
like	like	like
at	at	at
all	all	all
.	.	.
While	while	While
appearing	appear	appearing
on	on	on
Fox	fox	Fox
News	news	News
with	with	with
Neil	neil	Neil
Cavuto	cavuto	Cavuto
,	,	,
Romney	romney	Romney
said	said	said
I	i	I
d	d	d
like	like	like
to	to	to
see	see	see
a	a	a
number	number	number
of	of	of
things	thing	thing
from	from	from
the	the	the
candidates	candid	candidate
,	,	,
not	not	not
just	just	just
their	their	their
positions	posit	position
on	on	on
issues	issu	issue
,	,	,
in	in	in
some	some	some
detail	detail	detail
.	.	.
And	and	And
some	some	some
candidates	candid	candidate
are	are	are
more	more	more
thorough	thorough	thorough
in	in	in
laying	lay	laying
out	out	out
what	what	what
they	they	they
re	re	re
going	go	going
to	to	to
do	do	do
than	than	than
others	other	others
.	.	.
But	but	But
I	i	I
d	d	d
also	also	also
like	like	like
to	to	to
see	see	see
their	their	their
back	back	back
taxes	tax	tax
.	.	.
I	i	I
d	d	d
like	like	like
to	to	to
see	see	see
where	where	where
they	they	they
filed	file	filed
their	their	their
taxes	tax	tax
in	in	in
the	the	the
last	last	last
several	sever	several
years	year	year
.	.	.
I	i	I
m	m	m
not	not	not
talking	talk	talking
about	about	about
their	their	their
taxes	tax	tax
this	this	this
year	year	year
.	.	.
I	i	I
m	m	m
talking	talk	talking
about	about	about
the	the	the
taxes	tax	tax
that	that	that
have	have	have
already	alreadi	already
been	been	been
filed	file	filed
with	with	with
the	the	the
IRS	ir	IRS
.	.	.
And	and	And
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Marco	marco	Marco
Rubio	rubio	Rubio
and	and	and
Ted	ted	Ted
Cruz	cruz	Cruz
have	have	have
not	not	not
shown	shown	shown
us	us	u
their	their	their
back	back	back
taxes	tax	tax
.	.	.
You	you	You
know	know	know
,	,	,
this	this	this
was	was	wa
an	an	an
issue	issu	issue
in	in	in
my	my	my
campaign	campaign	campaign
.	.	.
They	they	They
were	were	were
all	all	all
over	over	over
me	me	me
for	for	for
my	my	my
taxes	tax	tax
,	,	,
it	it	it
became	becam	became
a	a	a
big	big	big
issue	issu	issue
.	.	.
But	but	But
I	i	I
put	put	put
my	my	my
taxes	tax	tax
out	out	out
in	in	in
January	januari	January
of	of	of
2012	2012	2012
.	.	.
And	and	And
that	that	that
gave	gave	gave
people	peopl	people
a	a	a
chance	chanc	chance
to	to	to
digest	digest	digest
it	it	it
and	and	and
decide	decid	decide
whether	whether	whether
I	i	I
was	was	wa
going	go	going
to	to	to
be	be	be
the	the	the
nominee	nomine	nominee
or	or	or
not	not	not
.	.	.
If	if	If
in	in	in
fact	fact	fact
Donald	donald	Donald
Trump	trump	Trump
s	s	s
taxes	tax	tax
or	or	or
Marco	marco	Marco
Rubio	rubio	Rubio
s	s	s
or	or	or
Ted	ted	Ted
Cruz	cruz	Cruz
s	s	s
have	have	have
some	some	some
real	real	real
problems	problem	problem
in	in	in
there	there	there
,	,	,
let	let	let
s	s	s
get	get	get
them	them	them
out	out	out
there	there	there
and	and	and
see	see	see
them	them	them
.	.	.
But	but	But
I	i	I
think	think	think
it	it	it
s	s	s
pretty	pretti	pretty
clear	clear	clear
that	that	that
given	given	given
Donald	donald	Donald
Trump	trump	Trump
s	s	s
dodging	dodg	dodging
and	and	and
weaving	weav	weaving
and	and	and
delay	delay	delay
,	,	,
I	i	I
think	think	think
the	the	the
last	last	last
time	time	time
he	he	he
was	was	wa
asked	ask	asked
about	about	about
his	his	his
taxes	tax	tax
he	he	he
said	said	said
,	,	,
well	well	well
,	,	,
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
month	month	month
.	.	.
Look	look	Look
,	,	,
people	peopl	people
have	have	have
a	a	a
right	right	right
to	to	to
know	know	know
if	if	if
there	there	there
s	s	s
a	a	a
problem	problem	problem
in	in	in
those	those	those
taxes	tax	tax
before	befor	before
they	they	they
decide	decid	decide
.	.	.
Romney	romney	Romney
also	also	also
said	said	said
We	we	We
have	have	have
good	good	good
reason	reason	reason
to	to	to
believe	believ	believe
that	that	that
there	there	there
s	s	s
a	a	a
bombshell	bombshel	bombshell
in	in	in
Donald	donald	Donald
Trump	trump	Trump
s	s	s
taxes	tax	tax
Either	either	Either
he	he	he
s	s	s
not	not	not
anywhere	anywher	anywhere
near	near	near
as	as	a
wealthy	wealthi	wealthy
as	as	a
he	he	he
says	say	say
he	he	he
is	is	is
,	,	,
or	or	or
he	he	he
hasn	hasn	hasn
t	t	t
been	been	been
paying	pay	paying
taxes	tax	tax
we	we	we
would	would	would
expect	expect	expect
him	him	him
to	to	to
pay	pay	pay
or	or	or
perhaps	perhap	perhaps
he	he	he
hasn	hasn	hasn
t	t	t
been	been	been
giving	give	giving
money	money	money
to	to	to
vets	vet	vet
or	or	or
to	to	to
the	the	the
disabled	disabl	disabled
like	like	like
he	he	he
s	s	s
been	been	been
telling	tell	telling
us	us	u
he	he	he
s	s	s
been	been	been
doing	do	doing
.	.	.
Now	now	Now
,	,	,
besides	besid	besides
just	just	just
accusing	accus	accusing
Trump	trump	Trump
of	of	of
random	random	random
things	thing	thing
,	,	,
let	let	let
s	s	s
think	think	think
about	about	about
this	this	this
for	for	for
a	a	a
second	second	second
.	.	.
Is	is	Is
Romney	romney	Romney
actually	actual	actually
concerned	concern	concerned
about	about	about
what	what	what
s	s	s
in	in	in
Trump	trump	Trump
s	s	s
taxes	tax	tax
,	,	,
or	or	or
is	is	is
he	he	he
just	just	just
trying	tri	trying
to	to	to
do	do	do
to	to	to
Trump	trump	Trump
what	what	what
was	was	wa
done	done	done
to	to	to
him	him	him
?	?	?
Maybe	mayb	Maybe
it	it	it
s	s	s
some	some	some
sort	sort	sort
of	of	of
sweet	sweet	sweet
revenge	reveng	revenge
for	for	for
him	him	him
.	.	.
However	howev	However
you	you	you
look	look	look
at	at	at
it	it	it
,	,	,
Romney	romney	Romney
looks	look	look
like	like	like
a	a	a
giant	giant	giant
walking	walk	walking
and	and	and
talking	talk	talking
hypocrite	hypocrit	hypocrite
,	,	,
and	and	and
one	one	one
of	of	of
the	the	the
first	first	first
to	to	to
point	point	point
that	that	that
out	out	out
was	was	wa
none	none	none
other	other	other
than	than	than
Trump	trump	Trump
himself	himself	himself
.	.	.
Mitt	mitt	Mitt
Romney	romney	Romney
,	,	,
who	who	who
totally	total	totally
blew	blew	blew
an	an	an
election	elect	election
that	that	that
should	should	should
have	have	have
been	been	been
won	won	won
and	and	and
whose	whose	whose
tax	tax	tax
returns	return	return
made	made	made
him	him	him
look	look	look
like	like	like
a	a	a
fool	fool	fool
,	,	,
is	is	is
now	now	now
playing	play	playing
tough	tough	tough
guy	guy	guy
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
24	24	24
,	,	,
2016He	2016he	2016He
s	s	s
not	not	not
wrong	wrong	wrong
.	.	.
That	that	That
does	doe	doe
seem	seem	seem
to	to	to
be	be	be
exactly	exact	exactly
what	what	what
he	he	he
s	s	s
doing	do	doing
.	.	.
Either	either	Either
way	way	way
,	,	,
Trump	trump	Trump
should	should	should
make	make	make
his	his	his
finances	financ	finance
transparent	transpar	transparent
to	to	to
the	the	the
American	american	American
voting	vote	voting
public	public	public
so	so	so
they	they	they
can	can	can
judge	judg	judge
for	for	for
themselves	themselv	themselves
if	if	if
they	they	they
approve	approv	approve
of	of	of
the	the	the
way	way	way
Trump	trump	Trump
handles	handl	handle
his	his	his
finances	financ	finance
,	,	,
but	but	but
Romney	romney	Romney
,	,	,
especially	especi	especially
on	on	on
this	this	this
issue	issu	issue
,	,	,
should	should	should
probably	probabl	probably
keep	keep	keep
his	his	his
mouth	mouth	mouth
shut	shut	shut
.	.	.
He	he	He
s	s	s
the	the	the
