Sworn	sworn	Sworn
Donald	donald	Donald
Trump	trump	Trump
enemy	enemi	enemy
John	john	John
McCain	mccain	McCain
admitted	admit	admitted
Wednesday	wednesday	Wednesday
that	that	that
he	he	he
passed	pass	passed
the	the	the
dossier	dossier	dossier
of	of	of
claims	claim	claim
of	of	of
a	a	a
Russian	russian	Russian
blackmail	blackmail	blackmail
plot	plot	plot
against	against	against
the	the	the
president	presid	president
-elect	-elect	-elect
.	.	.
The	the	The
Arizona	arizona	Arizona
senator	senat	senator
issued	issu	issued
a	a	a
public	public	public
statement	statement	statement
amid	amid	amid
mounting	mount	mounting
questions	question	question
of	of	of
his	his	his
exact	exact	exact
role	role	role
in	in	in
the	the	the
affair	affair	affair
and	and	and
how	how	how
a	a	a
document	document	document
riddled	riddl	riddled
with	with	with
errors	error	error
and	and	and
unverifiable	unverifi	unverifiable
claims	claim	claim
came	came	came
to	to	to
be	be	be
published	publish	published
.	.	.

Late	late	Late
last	last	last
year	year	year
,	,	,
I	i	I
received	receiv	received
sensitive	sensit	sensitive
information	inform	information
that	that	that
has	has	ha
since	sinc	since
been	been	been
made	made	made
public	public	public
,	,	,
he	he	he
said	said	said
.	.	.

Upon	upon	Upon
examination	examin	examination
of	of	of
the	the	the
contents	content	content
,	,	,
and	and	and
unable	unabl	unable
to	to	to
make	make	make
a	a	a
judgment	judgment	judgment
about	about	about
their	their	their
accuracy	accuraci	accuracy
,	,	,
I	i	I
delivered	deliv	delivered
the	the	the
information	inform	information
to	to	to
the	the	the
Director	director	Director
of	of	of
the	the	the
FBI	fbi	FBI
.	.	.

That	that	That
has	has	ha
been	been	been
the	the	the
extent	extent	extent
of	of	of
my	my	my
contact	contact	contact
with	with	with
the	the	the
FBI	fbi	FBI
or	or	or
any	ani	any
other	other	other
government	govern	government
agency	agenc	agency
regarding	regard	regarding
this	this	this
issue	issu	issue
.	.	.

But	but	But
the	the	the
2008	2008	2008
Republican	republican	Republican
loser	loser	loser
,	,	,
who	who	who
disowned	disown	disowned
his	his	his
party	parti	party
s	s	s
candidate	candid	candidate
weeks	week	week
before	befor	before
the	the	the
election	elect	election
,	,	,
may	may	may
have	have	have
been	been	been
far	far	far
more	more	more
intimately	intim	intimately
involved	involv	involved
than	than	than
that	that	that
.	.	.
The	the	The
chain	chain	chain
of	of	of
how	how	how
the	the	the
document	document	document
reached	reach	reached
the	the	the
FBI	fbi	FBI
is	is	is
not	not	not
officially	offici	officially
known	known	known
.	.	.
However	howev	However
Carl	carl	Carl
Bernstein	bernstein	Bernstein
,	,	,
the	the	the
Watergate	waterg	Watergate
reporter	report	reporter
who	who	who
contributed	contribut	contributed
to	to	to
the	the	the
first	first	first
story	stori	story
about	about	about
its	it	it
existence	exist	existence
,	,	,
published	publish	published
by	by	by
CNN	cnn	CNN
on	on	on
Tuesday	tuesday	Tuesday
afternoon	afternoon	afternoon
,	,	,
suggested	suggest	suggested
that	that	that
McCain	mccain	McCain
was	was	wa
handed	hand	handed
it	it	it
by	by	by
a	a	a
former	former	former
British	british	British
ambassador	ambassador	ambassador
to	to	to
Moscow	moscow	Moscow
.	.	.

Arizona	arizona	Arizona
Senator	senat	Senator
who	who	who
disowned	disown	disowned
Trump	trump	Trump
before	befor	before
election	elect	election
admits	admit	admits
he	he	he
handed	hand	handed
document	document	document
outlining	outlin	outlining
claims	claim	claim
of	of	of
Kremlin	kremlin	Kremlin
blackmail	blackmail	blackmail
to	to	to
FBI	fbi	FBI
Brief	brief	Brief
statement	statement	statement
claims	claim	claim
that	that	that
he	he	he
received	receiv	received
it	it	it
and	and	and
gave	gave	gave
it	it	it
directly	direct	directly
to	to	to
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
because	becaus	because
he	he	he
was	was	wa
unable	unabl	unable
to	to	to
make	make	make
judgment	judgment	judgment
about	about	about
accuracy	accuraci	accuracy
But	but	But
Washington	washington	Washington
reporter	report	reporter
Carl	carl	Carl
Bernstein	bernstein	Bernstein
says	say	say
former	former	former
British	british	British
ambassador	ambassador	ambassador
to	to	to
Moscow	moscow	Moscow
handed	hand	handed
it	it	it
to	to	to
McCain	mccain	McCain
Ambassador	ambassador	Ambassador
has	has	ha
not	not	not
been	been	been
named	name	named
and	and	and
author	author	author
of	of	of
report	report	report
also	also	also
gave	gave	gave
to	to	to
FBI	fbi	FBI
agent	agent	agent
he	he	he
knew	knew	knew
at	at	at
its	it	it
station	station	station
in	in	in
Rome	rome	Rome
months	month	month
ago	ago	ago
Report	report	Report
was	was	wa
apparently	appar	apparently
paid	paid	paid
for	for	for
first	first	first
BY	by	BY
Republican	republican	Republican
enemies	enemi	enemy
of	of	of
Trump	trump	Trump
then	then	then
by	by	by
DemocratsBernstein	democratsbernstein	DemocratsBernstein
told	told	told
CNN	cnn	CNN
It	it	It
came	came	came
from	from	from
a	a	a
former	former	former
British	british	British
MI6	mi6	MI6
agent	agent	agent
who	who	who
was	was	wa
hired	hire	hired
from	from	from
a	a	a
political	polit	political
opposition	opposit	opposition
research	research	research
firm	firm	firm
in	in	in
Washington	washington	Washington
who	who	who
was	was	wa
