Obama	obama	Obama
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
The	the	The
Media	media	Media
are	are	are
against	against	against
Trump	trump	Trump
Check	check	Check
The	the	The
establishment	establish	establishment
Democrats	democrat	Democrats
are	are	are
against	against	against
Trump	trump	Trump
Check	check	Check
The	the	The
establishment	establish	establishment
Republicans	republican	Republicans
are	are	are
against	against	against
Trump	trump	Trump
CheckThe	checkth	CheckThe
UN	un	UN
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
The	the	The
EU	eu	EU
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
China	china	China
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
Mexico	mexico	Mexico
is	is	is
against	against	against
Trump	trump	Trump
Soros	soro	Soros
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
Move	move	Move
On	on	On
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
Koch	koch	Koch
Brothers	brother	Brothers
are	are	are
against	against	against
Trump	trump	Trump
Check	check	Check
Bushes	bush	Bushes
are	are	are
against	against	against
Trump	trump	Trump
CheckPlanned	checkplan	CheckPlanned
Parenthood	parenthood	Parenthood
is	is	is
against	against	against
Trump	trump	Trump
.	.	.
Check	check	Check
Hillary	hillari	Hillary
Sanders	sander	Sanders
are	are	are
both	both	both
against	against	against
Trump	trump	Trump
Check	check	Check
Illegal	illeg	Illegal
aliens	alien	alien
are	are	are
against	against	against
Trump	trump	Trump
Check	check	Check
Islam	islam	Islam
is	is	is
against	against	against
Trump	trump	Trump
Check	check	Check
Kasich	kasich	Kasich
Cruz	cruz	Cruz
are	are	are
against	against	against
Trump	trump	Trump
Check	check	Check
Hateful	hate	Hateful
,	,	,
racist	racist	racist
,	,	,
violent	violent	violent
Liberals	liber	Liberals
are	are	are
against	against	against
Trump	trump	Trump
.	.	.
.	.	.

CheckTHAT	checkthat	CheckTHAT
BEING	be	BEING
SAID	said	SAID
It	it	It
seems	seem	seems
to	to	to
us	us	u
,	,	,
Trump	trump	Trump
MUST	must	MUST
BE	be	BE
the	the	the
best	best	best
candidate	candid	candidate
America	america	America
has	has	ha
had	had	had
in	in	in
a	a	a
very	veri	very
long	long	long
time	time	time
!	!	!

If	if	If
you	you	you
have	have	have
so	so	so
many	mani	many
political	polit	political
insiders	insid	insider
and	and	and
left	left	left
wing	wing	wing
NUT	nut	NUT
CASES	case	CASES
who	who	who
are	are	are
SCARED	scare	SCARED
TO	to	TO
DEATH	death	DEATH
of	of	of
Trump	trump	Trump
,	,	,
how	how	how
can	can	can
that	that	that
be	be	be
a	a	a
bad	bad	bad
thing	thing	thing
?	?	?
Most	most	Most
of	of	of
all	all	all
,	,	,
Trump	trump	Trump
is	is	is
the	the	the
People	peopl	People
s	s	s
Choice	choic	Choice
Whoopi	whoopi	Whoopi
says	say	say
she	she	she
will	will	will
leave	leav	leave
the	the	the
country	countri	country
Rosie	rosi	Rosie
says	say	say
she	she	she
will	will	will
leave	leav	leave
the	the	the
country	countri	country
Sharpton	sharpton	Sharpton
says	say	say
he	he	he
will	will	will
leave	leav	leave
the	the	the
country	countri	country
Gov	gov	Gov
.	.	.

Brown	brown	Brown
says	say	say
California	california	California
will	will	will
build	build	build
a	a	a
wall	wall	wall
Cher	cher	Cher
says	say	say
she	she	she
will	will	will
leave	leav	leave
the	the	the
country	countri	country
Cyrus	cyrus	Cyrus
says	say	say
she	she	she
will	will	will
leave	leav	leave
the	the	the
country	countri	country
The	the	The
Constitution	constitut	Constitution
and	and	and
the	the	the
Bill	bill	Bill
of	of	of
Rights	right	Rights
will	will	will
prevail	prevail	prevail
.	.	.

Hillary	hillari	Hillary
will	will	will
go	go	go
to	to	to
jail	jail	jail
.	.	.
.	.	.

The	the	The
budget	budget	budget
will	will	will
be	be	be
balanced	balanc	balanced
in	in	in
8	8	8
years	year	year
.	.	.

Americans	american	Americans
will	will	will
have	have	have
first	first	first
choice	choic	choice
at	at	at
jobs	job	job
.	.	.
.	.	.

You	you	You
will	will	will
not	not	not
be	be	be
able	abl	able
to	to	to
marry	marri	marry
your	your	your
pet	pet	pet
.	.	.

You	you	You
will	will	will
be	be	be
able	abl	able
to	to	to
keep	keep	keep
your	your	your
gun	gun	gun
s	s	s
if	if	if
you	you	you
qualify	qualifi	qualify
Not	not	Not
a	a	a
criminal	crimin	criminal
,	,	,
etc	etc	etc
.	.	.
Only	onli	Only
Live	live	Live
Human	human	Human
American	american	American
Registered	regist	Registered
Citizens	citizen	Citizens
can	can	can
vote	vote	vote
.	.	.

You	you	You
can	can	can
have	have	have
and	and	and
keep	keep	keep
your	your	your
own	own	own
Doctor	doctor	Doctor
.	.	.
.	.	.

You	you	You
can	can	can
say	say	say
what	what	what
you	you	you
want	want	want
without	without	without
being	be	being
called	call	called
a	a	a
racist	racist	racist
.	.	.
Trump	trump	Trump
will	will	will
make	make	make
AMERICA	america	AMERICA
GREAT	great	GREAT
AGAIN	again	AGAIN
!	!	!

After	after	After
all	all	all
we	we	we
have	have	have
no	no	no
place	place	place
to	to	to
go	go	go
,	,	,
but	but	but
UPThese	upthes	UPThese
comments	comment	comment
were	were	were
sent	sent	sent
to	to	to
us	us	u
by	by	by
a	a	a
100	100	100
FED	fed	FED
Up	up	Up
follower	follow	follower
.	.	.

