Speaking	speak	Speaking
at	at	at
a	a	a
press	press	press
conference	confer	conference
with	with	with
visiting	visit	visiting
Italian	italian	Italian
Prime	prime	Prime
Minister	minist	Minister
Paolo	paolo	Paolo
Gentiloni	gentiloni	Gentiloni
in	in	in
Sochi	sochi	Sochi
,	,	,
Russia	russia	Russia
,	,	,
Vladimir	vladimir	Vladimir
Putin	putin	Putin
has	has	ha
claimed	claim	claimed
that	that	that
he	he	he
has	has	ha
a	a	a
transcript	transcript	transcript
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
meeting	meet	meeting
with	with	with
Russian	russian	Russian
Foreign	foreign	Foreign
Minister	minist	Minister
Sergey	sergey	Sergey
Lavrov	lavrov	Lavrov
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
Putin	putin	Putin
said	said	said
he	he	he
would	would	would
be	be	be
willing	will	willing
to	to	to
provide	provid	provide
a	a	a
copy	copi	copy
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
.	.	.
The	the	The
only	onli	only
catch	catch	catch
is	is	is
that	that	that
the	the	the
request	request	request
would	would	would
have	have	have
to	to	to
come	come	come
from	from	from
Trump	trump	Trump
himself	himself	himself
.	.	.
The	the	The
Trump	trump	Trump
administration	administr	administration
came	came	came
under	under	under
fire	fire	fire
for	for	for
holding	hold	holding
a	a	a
meeting	meet	meeting
with	with	with
Lavrov	lavrov	Lavrov
and	and	and
Russian	russian	Russian
Ambassador	ambassador	Ambassador
Sergey	sergey	Sergey
Kislyak	kislyak	Kislyak
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
last	last	last
week	week	week
,	,	,
a	a	a
meeting	meet	meeting
that	that	that
Russian	russian	Russian
media	media	medium
were	were	were
able	abl	able
to	to	to
attend	attend	attend
,	,	,
yet	yet	yet
from	from	from
which	which	which
U	u	U
.	.	.
S	s	S
.	.	.
media	media	medium
were	were	were
banned	ban	banned
.	.	.
The	the	The
situation	situat	situation
came	came	came
to	to	to
a	a	a
head	head	head
when	when	when
it	it	it
became	becam	became
clear	clear	clear
that	that	that
Trump	trump	Trump
had	had	had
disclosed	disclos	disclosed
confidential	confidenti	confidential
details	detail	detail
pertaining	pertain	pertaining
to	to	to
ISIS	isi	ISIS
during	dure	during
the	the	the
session	session	session
.	.	.
Initially	initi	Initially
,	,	,
the	the	the
White	white	White
House	hous	House
denied	deni	denied
the	the	the
scandal	scandal	scandal
,	,	,
only	onli	only
to	to	to
later	later	later
claim	claim	claim
that	that	that
it	it	it
was	was	wa
wholly	wholli	wholly
appropriate	appropri	appropriate
for	for	for
the	the	the
president	presid	president
to	to	to
discuss	discuss	discus
such	such	such
information	inform	information
with	with	with
the	the	the
Russians	russian	Russians
.	.	.
At	at	At
no	no	no
time	time	time
were	were	were
intelligence	intellig	intelligence
sources	sourc	source
or	or	or
methods	method	method
discussed	discuss	discussed
and	and	and
the	the	the
President	presid	President
did	did	did
not	not	not
disclose	disclos	disclose
any	ani	any
military	militari	military
operations	oper	operation
that	that	that
weren	weren	weren
t	t	t
already	alreadi	already
publicly	public	publicly
known	known	known
,	,	,
Trump	trump	Trump
s	s	s
national	nation	national
security	secur	security
adviser	advis	adviser
H	h	H
.	.	.
R	r	R
.	.	.
McMaster	mcmaster	McMaster
said	said	said
at	at	at
a	a	a
press	press	press
conference	confer	conference
on	on	on
Monday	monday	Monday
.	.	.
The	the	The
premise	premis	premise
of	of	of
that	that	that
article	articl	article
is	is	is
false	fals	false
that	that	that
in	in	in
any	ani	any
way	way	way
the	the	the
President	presid	President
had	had	had
a	a	a
conversation	convers	conversation
that	that	that
was	was	wa
inappropriate	inappropri	inappropriate
or	or	or
that	that	that
resulted	result	resulted
in	in	in
any	ani	any
kind	kind	kind
of	of	of
lapse	laps	lapse
in	in	in
national	nation	national
security	secur	security
.	.	.
The	the	The
Kremlin	kremlin	Kremlin
still	still	still
denies	deni	denies
that	that	that
Trump	trump	Trump
shared	share	shared
any	ani	any
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
during	dure	during
the	the	the
meeting	meet	meeting
,	,	,
with	with	with
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
downplaying	downplay	downplaying
reports	report	report
as	as	a
political	polit	political
Schizophrenia	schizophrenia	Schizophrenia
,	,	,
however	howev	however
,	,	,
Trump	trump	Trump
s	s	s
comments	comment	comment
still	still	still
have	have	have
not	not	not
been	been	been
made	made	made
public	public	public
.	.	.
Now	now	Now
it	it	it
seems	seem	seems
Putin	putin	Putin
is	is	is
willing	will	willing
to	to	to
go	go	go
a	a	a
step	step	step
further	further	further
to	to	to
help	help	help
out	out	out
.	.	.
If	if	If
the	the	the
administration	administr	administration
of	of	of
the	the	the
United	unit	United
States	state	States
deems	deem	deems
this	this	this
possible	possibl	possible
,	,	,
we	we	we
will	will	will
be	be	be
ready	readi	ready
to	to	to
provide	provid	provide
a	a	a
transcript	transcript	transcript
of	of	of
the	the	the
Lavrov	lavrov	Lavrov
-Trump	-trump	-Trump
meeting	meet	meeting
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
and	and	and
Congress	congress	Congress
,	,	,
Putin	putin	Putin
told	told	told
reporters	report	reporter
during	dure	during
the	the	the
press	press	press
conference	confer	conference
in	in	in
Sochi	sochi	Sochi
,	,	,
adding	ad	adding
it	it	it
will	will	will
happen	happen	happen
if	if	if
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
administration	administr	administration
wishes	wish	wish
so	so	so
.	.	.
Not	not	Not
everyone	everyon	everyone
sees	see	see
Putin	putin	Putin
s	s	s
offer	offer	offer
as	as	a
particularly	particular	particularly
beneficial	benefici	beneficial
to	to	to
Trump	trump	Trump
,	,	,
who	who	who
the	the	the
FBI	fbi	FBI
has	has	ha
now	now	now
confirmed	confirm	confirmed
is	is	is
under	under	under
investigation	investig	investigation
over	over	over
links	link	link
to	to	to
the	the	the
Russians	russian	Russians
,	,	,
especially	especi	especially
U	u	U
.	.	.
S	s	S
.	.	.
Rep	rep	Rep
.	.	.
Adam	adam	Adam
Schiff	schiff	Schiff
,	,	,
the	the	the
top	top	top
Democrat	democrat	Democrat
on	on	on
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
.	.	.
Probably	probabl	Probably
the	the	the
last	last	last
person	person	person
the	the	the
person	person	person
Trump	trump	Trump
needs	need	need
to	to	to
vouch	vouch	vouch
for	for	for
him	him	him
right	right	right
now	now	now
is	is	is
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
Schiff	schiff	Schiff
told	told	told
CBS	cbs	CBS
s	s	s
This	this	This
Morning	morn	Morning
.	.	.
Sure	sure	Sure
,	,	,
send	send	send
it	it	it
the	the	the
transcript	transcript	transcript
our	our	our
way	way	way
.	.	.
But	but	But
its	it	it
credibility	credibl	credibility
would	would	would
be	be	be
less	less	le
than	than	than
zero	zero	zero
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Lintao	lintao	Lintao
Zhang	zhang	Zhang
Pool	pool	Pool
Getty	getti	Getty
Images	imag	Images
