Because	becaus	Because
6	6	6
year	year	year
old	old	old
girls	girl	girl
are	are	are
consumed	consum	consumed
with	with	with
their	their	their
sexual	sexual	sexual
identities	ident	identity
right	right	right
?	?	?

The	the	The
parents	parent	parent
should	should	should
be	be	be
getting	get	getting
regular	regular	regular
visits	visit	visit
by	by	by
social	social	social
services	servic	service
and	and	and
the	the	the
fired	fire	fired
school	school	school
manager	manag	manager
and	and	and
teacher	teacher	teacher
should	should	should
be	be	be
reinstated	reinstat	reinstated
and	and	and
given	given	given
an	an	an
award	award	award
for	for	for
the	the	the
courage	courag	courage
to	to	to
do	do	do
the	the	the
right	right	right
thing	thing	thing
Two	two	Two
school	school	school
staff	staff	staff
members	member	member
say	say	say
they	they	they
were	were	were
fired	fire	fired
for	for	for
refusing	refus	refusing
to	to	to
call	call	call
a	a	a
six	six	six
-year-old	-year-old	-year-old
girl	girl	girl
a	a	a
boy	boy	boy
and	and	and
addressing	address	addressing
her	her	her
by	by	by
a	a	a
new	new	new
masculine	masculin	masculine
name	name	name
.	.	.
According	accord	According
to	to	to
Madeline	madelin	Madeline
Kirksey	kirksey	Kirksey
,	,	,
a	a	a
manager	manag	manager
at	at	at
the	the	the
Children	children	Children
s	s	s
Lighthouse	lighthous	Lighthouse
Learning	learn	Learning
Center	center	Center
in	in	in
Katy	kati	Katy
,	,	,
Texas	texa	Texas
,	,	,
her	her	her
staff	staff	staff
was	was	wa
told	told	told
a	a	a
six	six	six
-year-old	-year-old	-year-old
student	student	student
is	is	is
transgender	transgend	transgender
after	after	after
the	the	the
child	child	child
s	s	s
parents	parent	parent
cut	cut	cut
her	her	her
hair	hair	hair
short	short	short
,	,	,
Fox26	fox26	Fox26
reported	report	reported
.	.	.

They	they	They
were	were	were
instructed	instruct	instructed
to	to	to
begin	begin	begin
referring	refer	referring
to	to	to
the	the	the
student	student	student
as	as	a
a	a	a
boy	boy	boy
and	and	and
call	call	call
her	her	her
by	by	by
a	a	a
boy	boy	boy
s	s	s
name	name	name
.	.	.
School	school	School
administrators	administr	administrator
reportedly	report	reportedly
gave	gave	gave
staff	staff	staff
a	a	a
handout	handout	handout
to	to	to
refer	refer	refer
to	to	to
when	when	when
addressing	address	addressing
questions	question	question
from	from	from
other	other	other
students	student	student
.	.	.

It	it	It
caused	caus	caused
confusion	confus	confusion
,	,	,
Kirksey	kirksey	Kirksey
told	told	told
Fox26	fox26	Fox26
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
we	we	we
should	should	should
be	be	be
talking	talk	talking
to	to	to
other	other	other
people	peopl	people
s	s	s
children	children	child
who	who	who
are	are	are
under	under	under
the	the	the
age	age	age
of	of	of
18	18	18
about	about	about
being	be	being
transgender	transgend	transgender
.	.	.

She	she	She
said	said	said
the	the	the
school	school	school
fired	fire	fired
her	her	her
after	after	after
she	she	she
insisted	insist	insisted
the	the	the
parents	parent	parent
of	of	of
other	other	other
students	student	student
be	be	be
notified	notifi	notified
and	and	and
allowed	allow	allowed
to	to	to
address	address	address
the	the	the
issue	issu	issue
with	with	with
their	their	their
children	children	child
.	.	.
Not	not	Not
only	onli	only
where	where	where
the	the	the
other	other	other
students	student	student
disoriented	disori	disoriented
by	by	by
the	the	the
sudden	sudden	sudden
change	chang	change
,	,	,
but	but	but
the	the	the
transgender	transgend	transgender
student	student	student
seemed	seem	seemed
to	to	to
be	be	be
confused	confus	confused
as	as	a
well	well	well
.	.	.

One	one	One
day	day	day
,	,	,
she	she	she
wanted	want	wanted
to	to	to
be	be	be
a	a	a
girl	girl	girl
,	,	,
the	the	the
next	next	next
day	day	day
she	she	she
wanted	want	wanted
to	to	to
be	be	be
a	a	a
boy	boy	boy
,	,	,
Kirksey	kirksey	Kirksey
said	said	said
.	.	.

The	the	The
other	other	other
kids	kid	kid
are	are	are
confused	confus	confused
as	as	a
well	well	well
,	,	,
calling	call	calling
her	her	her
a	a	a
boy	boy	boy
and	and	and
she	she	she
would	would	would
start	start	start
screaming	scream	screaming
,	,	,
I	i	I
m	m	m
not	not	not
a	a	a
boy	boy	boy
!	!	!

Among	among	Among
the	the	the
reasons	reason	reason
stated	state	stated
in	in	in
her	her	her
termination	termin	termination
letter	letter	letter
was	was	wa
that	that	that
Kirksey	kirksey	Kirksey
does	doe	doe
not	not	not
follow	follow	follow
instructions	instruct	instruction
when	when	when
requested	request	requested
to	to	to
call	call	call
a	a	a
transgender	transgend	transgender
child	child	child
by	by	by
the	the	the
child	child	child
s	s	s
new	new	new
name	name	name
.	.	.

Another	anoth	Another
teacher	teacher	teacher
says	say	say
she	she	she
was	was	wa
also	also	also
fired	fire	fired
for	for	for
raising	rais	raising
concerns	concern	concern
about	about	about
all	all	all
the	the	the
confusion	confus	confusion
,	,	,
according	accord	according
to	to	to
Fox26	fox26	Fox26
.	.	.

Via	via	Via
BPR	bpr	BPR

