No	no	No
wonder	wonder	wonder
we	we	we
ve	ve	ve
had	had	had
the	the	the
worst	worst	worst
Democrat	democrat	Democrat
President	presid	President
in	in	in
the	the	the
history	histori	history
of	of	of
the	the	the
United	unit	United
States	state	States
for	for	for
7	7	7
long	long	long
years	year	year
!	!	!
GOP	gop	GOP
Consultant	consult	Consultant
Rick	rick	Rick
Wilson	wilson	Wilson
says	say	say
GOP	gop	GOP
establishment	establish	establishment
needs	need	need
to	to	to
put	put	put
a	a	a
bullet	bullet	bullet
in	in	in
Trump	trump	Trump
s	s	s
head	head	head
.	.	.
Wilson	wilson	Wilson
has	has	ha
also	also	also
hurled	hurl	hurled
insults	insult	insult
at	at	at
Trump	trump	Trump
supporters	support	supporter
the	the	the
past	past	past
few	few	few
months	month	month
.	.	.
Breitbart	breitbart	Breitbart
reported	report	reported
On	on	On
Tuesday	tuesday	Tuesday
evening	even	evening
,	,	,
establishment	establish	establishment
Republican	republican	Republican
consultant	consult	consultant
Rick	rick	Rick
Wilson	wilson	Wilson
said	said	said
the	the	the
GOP	gop	GOP
establishment	establish	establishment
donor	donor	donor
class	class	class
must	must	must
find	find	find
a	a	a
way	way	way
to	to	to
put	put	put
a	a	a
bullet	bullet	bullet
in	in	in
GOP	gop	GOP
frontrunner	frontrunn	frontrunner
Donald	donald	Donald
Trump	trump	Trump
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
MSNBC	msnbc	MSNBC
s	s	s
Chris	chris	Chris
Hayes	hay	Hayes
,	,	,
Wilson	wilson	Wilson
conceded	conced	conceded
that	that	that
Trump	trump	Trump
is	is	is
still	still	still
a	a	a
very	veri	very
powerful	power	powerful
force	forc	force
right	right	right
now	now	now
because	becaus	because
he	he	he
appeals	appeal	appeal
to	to	to
part	part	part
of	of	of
the	the	the
of	of	of
the	the	the
conservative	conserv	conservative
base	base	base
that	that	that
Wilson	wilson	Wilson
said	said	said
was	was	wa
activated	activ	activated
by	by	by
his	his	his
nativist	nativist	nativist
message	messag	message
.	.	.

Wilson	wilson	Wilson
insisted	insist	insisted
that	that	that
the	the	the
donor	donor	donor
class	class	class
can	can	can
t	t	t
just	just	just
sit	sit	sit
back	back	back
on	on	on
the	the	the
sidelines	sidelin	sideline
and	and	and
say	say	say
,	,	,
oh	oh	oh
well	well	well
,	,	,
don	don	don
t	t	t
worry	worri	worry
,	,	,
this	this	this
will	will	will
all	all	all
work	work	work
itself	itself	itself
out	out	out
.	.	.

They	they	They
re	re	re
still	still	still
going	go	going
to	to	to
have	have	have
to	to	to
go	go	go
out	out	out
and	and	and
put	put	put
a	a	a
bullet	bullet	bullet
in	in	in
Donald	donald	Donald
Trump	trump	Trump
,	,	,
Wilson	wilson	Wilson
said	said	said
.	.	.

And	and	And
that	that	that
s	s	s
a	a	a
fact	fact	fact
.	.	.

Republican	republican	Republican
establishment	establish	establishment
figures	figur	figure
who	who	who
have	have	have
underestimated	underestim	underestimated
Trump	trump	Trump
since	sinc	since
he	he	he
entered	enter	entered
the	the	the
race	race	race
are	are	are
reportedly	report	reportedly
looking	look	looking
to	to	to
raise	rais	raise
millions	million	million
to	to	to
try	tri	try
to	to	to
derail	derail	derail
Trump	trump	Trump
and	and	and
knock	knock	knock
him	him	him
out	out	out
of	of	of
the	the	the
race	race	race
.	.	.

Wilson	wilson	Wilson
added	ad	added
that	that	that
the	the	the
Republican	republican	Republican
establishment	establish	establishment
must	must	must
figure	figur	figure
out	out	out
a	a	a
way	way	way
to	to	to
find	find	find
a	a	a
candidate	candid	candidate
who	who	who
can	can	can
successfully	success	successfully
post	post	post
up	up	up
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
because	becaus	because
neither	neither	neither
Donald	donald	Donald
Trump	trump	Trump
or	or	or
Ben	ben	Ben
Carson	carson	Carson
is	is	is
ready	readi	ready
to	to	to
go	go	go
up	up	up
against	against	against
the	the	the
Clinton	clinton	Clinton
machine	machin	machine
.	.	.

Wilson	wilson	Wilson
claimed	claim	claimed
that	that	that
Trump	trump	Trump
and	and	and
Carson	carson	Carson
are	are	are
obviously	obvious	obviously
not	not	not
ready	readi	ready
for	for	for
primetime	primetim	primetime
.	.	.

During	dure	During
a	a	a
September	septemb	September
CNN	cnn	CNN
interview	interview	interview
,	,	,
Wilson	wilson	Wilson
told	told	told
Erin	erin	Erin
Burnett	burnett	Burnett
that	that	that
Trump	trump	Trump
could	could	could
eat	eat	eat
a	a	a
live	live	live
baby	babi	baby
on	on	on
television	televis	television
and	and	and
Trump	trump	Trump
s	s	s
supporters	support	supporter
would	would	would
think	think	think
it	it	it
s	s	s
the	the	the
greatest	greatest	greatest
thing	thing	thing
in	in	in
America	america	America
.	.	.

He	he	He
has	has	ha
also	also	also
demeaned	demean	demeaned
Trump	trump	Trump
s	s	s
supporters	support	supporter
as	as	a
low	low	low
-information	-inform	-information
rubes	rube	rube
and	and	and
has	has	ha
likened	liken	likened
them	them	them
to	to	to
post	post	post
-rational	-ration	-rational
conspiracy	conspiraci	conspiracy
theorists	theorist	theorist
