Time	time	Time
to	to	to
exhale	exhal	exhale
James	jame	James
Barack	barack	Barack
Obama	obama	Obama
supporter	support	supporter
James	jame	James
Taylor	taylor	Taylor
doesn	doesn	doesn
t	t	t
just	just	just
think	think	think
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
is	is	is
great	great	great
he	he	he
believes	believ	belief
Obama	obama	Obama
is	is	is
the	the	the
greatest	greatest	greatest
of	of	of
all	all	all
-time	-time	-time
.	.	.

I	i	I
ve	ve	ve
been	been	been
watching	watch	watching
politics	polit	politics
since	sinc	since
Dwight	dwight	Dwight
Eisenhower	eisenhow	Eisenhower
and	and	and
Adlai	adlai	Adlai
Stevenson	stevenson	Stevenson
,	,	,
when	when	when
dinosaurs	dinosaur	dinosaur
roamed	roam	roamed
the	the	the
Earth	earth	Earth
,	,	,
and	and	and
Obama	obama	Obama
is	is	is
my	my	my
favorite	favorit	favorite
,	,	,
favorite	favorit	favorite
president	presid	president
,	,	,
Taylor	taylor	Taylor
said	said	said
in	in	in
an	an	an
interview	interview	interview
Wednesday	wednesday	Wednesday
.	.	.

I	i	I
am	am	am
just	just	just
thankful	thank	thankful
for	for	for
every	everi	every
day	day	day
that	that	that
he	he	he
s	s	s
in	in	in
office	offic	office
.	.	.

I	i	I
am	am	am
so	so	so
proud	proud	proud
that	that	that
he	he	he
represents	repres	represents
my	my	my
country	countri	country
and	and	and
I	i	I
think	think	think
he	he	he
represents	repres	represents
me	me	me
I	i	I
think	think	think
he	he	he
represents	repres	represents
the	the	the
America	america	America
that	that	that
I	i	I
know	know	know
.	.	.

Taylor	taylor	Taylor
,	,	,
67	67	67
,	,	,
is	is	is
a	a	a
recipient	recipi	recipient
of	of	of
the	the	the
National	nation	National
Medal	medal	Medal
of	of	of
Arts	art	Arts
.	.	.

The	the	The
pop	pop	pop
icon	icon	icon
performed	perform	performed
America	america	America
the	the	the
Beautiful	beauti	Beautiful
at	at	at
Obama	obama	Obama
s	s	s
second	second	second
inauguration	inaugur	inauguration
in	in	in
2013	2013	2013
.	.	.

I	i	I
had	had	had
a	a	a
really	realli	really
tough	tough	tough
time	time	time
during	dure	during
the	the	the
Cheney	cheney	Cheney
-Bush	-bush	-Bush
years	year	year
,	,	,
I	i	I
did	did	did
,	,	,
and	and	and
I	i	I
had	had	had
a	a	a
hard	hard	hard
time	time	time
accepting	accept	accepting
that	that	that
that	that	that
administration	administr	administration
represented	repres	represented
me	me	me
because	becaus	because
I	i	I
don	don	don
t	t	t
think	think	think
they	they	they
did	did	did
,	,	,
Taylor	taylor	Taylor
said	said	said
.	.	.
The	the	The
Rock	rock	Rock
and	and	and
Roll	roll	Roll
Hall	hall	Hall
of	of	of
Famer	famer	Famer
also	also	also
called	call	called
Obama	obama	Obama
s	s	s
family	famili	family
precious	precious	precious
and	and	and
said	said	said
he	he	he
appreciates	appreci	appreciates
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
leader	leader	leader
because	becaus	because
he	he	he
s	s	s
sane	sane	sane
and	and	and
balanced	balanc	balanced
.	.	.

He	he	He
promised	promis	promised
to	to	to
give	give	give
us	us	u
a	a	a
health	health	health
care	care	care
system	system	system
,	,	,
it	it	it
s	s	s
a	a	a
work	work	work
in	in	in
progress	progress	progress
,	,	,
but	but	but
he	he	he
has	has	ha
put	put	put
us	us	u
on	on	on
a	a	a
road	road	road
to	to	to
that	that	that
,	,	,
Taylor	taylor	Taylor
said	said	said
.	.	.

I	i	I
m	m	m
so	so	so
grateful	grate	grateful
for	for	for
what	what	what
he	he	he
s	s	s
done	done	done
for	for	for
gay	gay	gay
rights	right	right
and	and	and
for	for	for
the	the	the
emancipation	emancip	emancipation
of	of	of
gay	gay	gay
people	peopl	people
.	.	.

Particularly	particular	Particularly
from	from	from
my	my	my
point	point	point
of	of	of
view	view	view
,	,	,
I	i	I
think	think	think
that	that	that
was	was	wa
so	so	so
overdue	overdu	overdue
and	and	and
so	so	so
important	import	important
,	,	,
and	and	and
so	so	so
important	import	important
for	for	for
America	america	America
to	to	to
be	be	be
ahead	ahead	ahead
of	of	of
the	the	the
curve	curv	curve
on	on	on
this	this	this
.	.	.

Taylor	taylor	Taylor
criticized	critic	criticized
Congress	congress	Congress
in	in	in
Obama	obama	Obama
s	s	s
defense	defens	defense
.	.	.

I	i	I
ve	ve	ve
never	never	never
seen	seen	seen
a	a	a
Congress	congress	Congress
that	that	that
has	has	ha
been	been	been
so	so	so
obstructive	obstruct	obstructive
and	and	and
so	so	so
contrary	contrari	contrary
and	and	and
so	so	so
committed	commit	committed
to	to	to
doing	do	doing
anything	anyth	anything
that	that	that
will	will	will
foul	foul	foul
up	up	up
this	this	this
administration	administr	administration
.	.	.

I	i	I
just	just	just
think	think	think
it	it	it
s	s	s
an	an	an
absolute	absolut	absolute
scandal	scandal	scandal
that	that	that
he	he	he
has	has	ha
had	had	had
so	so	so
little	littl	little
cooperation	cooper	cooperation
,	,	,
he	he	he
said	said	said
.	.	.

So	so	So
anyway	anyway	anyway
,	,	,
you	you	you
hit	hit	hit
a	a	a
nerve	nerv	nerve
and	and	and
I	i	I
ll	ll	ll
go	go	go
on	on	on
forever	forev	forever
.	.	.

But	but	But
I	i	I
ll	ll	ll
just	just	just
say	say	say
it	it	it
a	a	a
third	third	third
time	time	time
Every	everi	Every
day	day	day
that	that	that
Barack	barack	Barack
Obama	obama	Obama
and	and	and
Michelle	michell	Michelle
