Throughout	throughout	Throughout
his	his	his
entire	entir	entire
presidential	presidenti	presidential
campaign	campaign	campaign
,	,	,
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
whined	whine	whined
about	about	about
the	the	the
media	media	medium
.	.	.
He	he	He
calls	call	call
reporters	report	reporter
dishonest	dishonest	dishonest
,	,	,
tells	tell	tell
the	the	the
thousands	thousand	thousand
of	of	of
low	low	low
-information	-inform	-information
voters	voter	voter
who	who	who
flock	flock	flock
to	to	to
his	his	his
rallies	ralli	rally
that	that	that
the	the	the
press	press	press
hates	hate	hate
him	him	him
and	and	and
therefore	therefor	therefore
they	they	they
should	should	should
hate	hate	hate
the	the	the
press	press	press
.	.	.
He	he	He
points	point	point
to	to	to
the	the	the
press	press	press
pit	pit	pit
at	at	at
these	these	these
events	event	event
and	and	and
tells	tell	tell
his	his	his
supporters	support	supporter
to	to	to
yell	yell	yell
at	at	at
them	them	them
and	and	and
every	everi	every
single	singl	single
time	time	time
he	he	he
does	doe	doe
an	an	an
interview	interview	interview
he	he	he
complains	complain	complains
that	that	that
someone	someon	someone
somewhere	somewher	somewhere
in	in	in
the	the	the
world	world	world
of	of	of
media	media	medium
,	,	,
even	even	even
right	right	right
-wing	-wing	-wing
media	media	medium
,	,	,
is	is	is
treating	treat	treating
him	him	him
unfairly	unfair	unfairly
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
CNN	cnn	CNN
s	s	s
S	s	S
.	.	.
E	e	E
.	.	.
Cupp	cupp	Cupp
slammed	slam	slammed
the	the	the
presidential	presidenti	presidential
candidate	candid	candidate
for	for	for
his	his	his
treatment	treatment	treatment
of	of	of
the	the	the
media	media	medium
and	and	and
said	said	said
that	that	that
he	he	he
is	is	is
fundamentally	fundament	fundamentally
confused	confus	confused
about	about	about
the	the	the
roll	roll	roll
of	of	of
free	free	free
press	press	press
.	.	.
During	dure	During
a	a	a
press	press	press
conference	confer	conference
about	about	about
his	his	his
support	support	support
of	of	of
veteran	veteran	veteran
s	s	s
groups	group	group
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Trump	trump	Trump
threw	threw	threw
another	anoth	another
hissy	hissi	hissy
fit	fit	fit
about	about	about
reporters	report	reporter
and	and	and
said	said	said
that	that	that
they	they	they
are	are	are
being	be	being
nasty	nasti	nasty
and	and	and
not	not	not
giving	give	giving
him	him	him
credit	credit	credit
for	for	for
giving	give	giving
money	money	money
to	to	to
vets	vet	vet
.	.	.
Cupp	cupp	Cupp
responded	respond	responded
to	to	to
his	his	his
whining	whine	whining
,	,	,
saying	say	saying
When	when	When
you	you	you
re	re	re
talking	talk	talking
about	about	about
suing	su	suing
journalists	journalist	journalist
for	for	for
doing	do	doing
their	their	their
job	job	job
,	,	,
he	he	he
s	s	s
not	not	not
saying	say	saying
that	that	that
we	we	we
re	re	re
getting	get	getting
the	the	the
story	stori	story
wrong	wrong	wrong
,	,	,
we	we	we
re	re	re
actually	actual	actually
doing	do	doing
our	our	our
job	job	job
asking	ask	asking
questions	question	question
about	about	about
where	where	where
this	this	this
money	money	money
went	went	went
that	that	that
s	s	s
the	the	the
job	job	job
of	of	of
the	the	the
press	press	press
.	.	.
He	he	He
actually	actual	actually
said	said	said
in	in	in
this	this	this
press	press	press
conference	confer	conference
today	today	today
,	,	,
I	i	I
wish	wish	wish
you	you	you
d	d	d
just	just	just
say	say	say
thank	thank	thank
you	you	you
,	,	,
thank	thank	thank
me	me	me
for	for	for
,	,	,
that	that	that
s	s	s
not	not	not
the	the	the
role	role	role
of	of	of
the	the	the
media	media	medium
,	,	,
to	to	to
thank	thank	thank
the	the	the
presidential	presidenti	presidential
nominee	nomine	nominee
for	for	for
raising	rais	raising
money	money	money
.	.	.
It	it	It
s	s	s
not	not	not
the	the	the
job	job	job
of	of	of
the	the	the
media	media	medium
to	to	to
heap	heap	heap
praise	prais	praise
upon	upon	upon
him	him	him
.	.	.
So	so	So
I	i	I
just	just	just
think	think	think
that	that	that
he	he	he
s	s	s
fundamentally	fundament	fundamentally
very	veri	very
confused	confus	confused
about	about	about
the	the	the
role	role	role
of	of	of
free	free	free
press	press	press
.	.	.
.	.	.
.	.	.
@secupp	@secupp	@secupp
Trump	trump	Trump
says	say	say
he	he	he
wished	wish	wished
the	the	the
press	press	press
would	would	would
just	just	just
say	say	say
thank	thank	thank
you	you	you
,	,	,
that	that	that
s	s	s
not	not	not
the	the	the
role	role	role
of	of	of
the	the	the
media	media	medium
!	!	!
