Tom	tom	Tom
Hanks	hank	Hanks
is	is	is
definitely	definit	definitely
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
he	he	he
perfectly	perfect	perfectly
explained	explain	explained
why	whi	why
earlier	earlier	earlier
this	this	this
week	week	week
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
the	the	the
Press	press	Press
Association	associ	Association
to	to	to
promote	promot	promote
his	his	his
latest	latest	latest
film	film	film
,	,	,
Hanks	hank	Hanks
was	was	wa
asked	ask	asked
about	about	about
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
remarks	remark	remark
about	about	about
sexually	sexual	sexually
assaulting	assault	assaulting
women	women	woman
.	.	.

He	he	He
was	was	wa
at	at	at
work	work	work
,	,	,
man	man	man
,	,	,
Hanks	hank	Hanks
began	began	began
.	.	.

He	he	He
wasn	wasn	wasn
t	t	t
in	in	in
a	a	a
locker	locker	locker
room	room	room
.	.	.

He	he	He
was	was	wa
at	at	at
work	work	work
.	.	.

He	he	He
was	was	wa
showing	show	showing
up	up	up
to	to	to
do	do	do
a	a	a
thing	thing	thing
on	on	on
camera	camera	camera
.	.	.

Look	look	Look
I	i	I
m	m	m
offended	offend	offended
as	as	a
a	a	a
man	man	man
.	.	.

I	i	I
m	m	m
not	not	not
offended	offend	offended
as	as	a
a	a	a
husband	husband	husband
or	or	or
a	a	a
father	father	father
.	.	.

I	i	I
m	m	m
offended	offend	offended
as	as	a
a	a	a
guy	guy	guy
.	.	.

That	that	That
s	s	s
just	just	just
not	not	not
right	right	right
,	,	,
I	i	I
m	m	m
sorry	sorri	sorry
.	.	.

It	it	It
s	s	s
not	not	not
right	right	right
at	at	at
work	work	work
,	,	,
it	it	it
s	s	s
not	not	not
right	right	right
in	in	in
the	the	the
locker	locker	locker
room	room	room
.	.	.

It	it	It
s	s	s
wrong	wrong	wrong
,	,	,
period	period	period
.	.	.

The	the	The
end	end	end
.	.	.

That	that	That
s	s	s
all	all	all
.	.	.

Hanks	hank	Hanks
also	also	also
talk	talk	talk
about	about	about
why	whi	why
he	he	he
is	is	is
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
by	by	by
comparing	compar	comparing
this	this	this
election	elect	election
to	to	to
a	a	a
root	root	root
canal	canal	canal
.	.	.

It	it	It
s	s	s
kind	kind	kind
of	of	of
like	like	like
if	if	if
you	you	you
have	have	have
a	a	a
horrible	horribl	horrible
,	,	,
painful	pain	painful
tooth	tooth	tooth
,	,	,
and	and	and
you	you	you
need	need	need
a	a	a
root	root	root
canal	canal	canal
.	.	.

Who	who	Who
are	are	are
you	you	you
going	go	going
to	to	to
see	see	see
?	?	?

A	a	A
guy	guy	guy
who	who	who
says	say	say
,	,	,
Oh	oh	Oh
,	,	,
I	i	I
think	think	think
I	i	I
can	can	can
figure	figur	figure
that	that	that
out	out	out
,	,	,
how	how	how
to	to	to
do	do	do
a	a	a
root	root	root
canal	canal	canal
for	for	for
you	you	you
.	.	.

Lay	lay	Lay
down	down	down
.	.	.

Or	or	Or
are	are	are
you	you	you
going	go	going
to	to	to
see	see	see
somebody	somebodi	somebody
who	who	who
s	s	s
done	done	done
6	6	6
,	,	,
000	000	000
of	of	of
them	them	them
.	.	.

Has	has	Has
a	a	a
degree	degre	degree
on	on	on
the	the	the
wall	wall	wall
and	and	and
has	has	ha
a	a	a
great	great	great
history	histori	history
and	and	and
expertise	expertis	expertise
when	when	when
it	it	it
comes	come	come
down	down	down
to	to	to
it	it	it
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
of	of	of
via	via	via
YouTube	youtub	YouTube
ad3media	ad3media	ad3media
campaign	campaign	campaign
1153	1153	1153
But	but	But
Hanks	hank	Hanks
also	also	also
put	put	put
it	it	it
another	anoth	another
way	way	way
after	after	after
referring	refer	referring
to	to	to
Trump	trump	Trump
as	as	a
a	a	a
self	self	self
-involved	-involv	-involved
gas	gas	gas
bag	bag	bag
.	.	.

Look	look	Look
,	,	,
if	if	if
I	i	I
have	have	have
an	an	an
abscessed	abscess	abscessed
tooth	tooth	tooth
,	,	,
and	and	and
I	i	I
need	need	need
to	to	to
see	see	see
an	an	an
oral	oral	oral
surgeon	surgeon	surgeon
,	,	,
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
go	go	go
to	to	to
the	the	the
guy	guy	guy
who	who	who
says	say	say
,	,	,
you	you	you
know	know	know
what	what	what
,	,	,
I	i	I
think	think	think
I	i	I
can	can	can
be	be	be
a	a	a
pretty	pretti	pretty
good	good	good
oral	oral	oral
surgeon	surgeon	surgeon
,	,	,
I	i	I
m	m	m
going	go	going
to	to	to
go	go	go
to	to	to
someone	someon	someone
who	who	who
has	has	ha
been	been	been
doing	do	doing
it	it	it
for	for	for
30	30	30
years	year	year
and	and	and
has	has	ha
handled	handl	handled
it	it	it
a	a	a
million	million	million
times	time	time
.	.	.

I	i	I
