Megyn	megyn	Megyn
Kelly	kelli	Kelly
became	becam	became
the	the	the
only	onli	only
Fox	fox	Fox
News	news	News
host	host	host
to	to	to
take	take	take
Donald	donald	Donald
Trump	trump	Trump
s	s	s
endorsement	endors	endorsement
by	by	by
the	the	the
KKK	kkk	KKK
seriously	serious	seriously
when	when	when
she	she	she
cornered	corner	cornered
Mike	mike	Mike
Huckabee	huckabe	Huckabee
on	on	on
Monday	monday	Monday
night	night	night
.	.	.
After	after	After
Mitt	mitt	Mitt
Romney	romney	Romney
told	told	told
Kelly	kelli	Kelly
during	dure	during
an	an	an
earlier	earlier	earlier
interview	interview	interview
that	that	that
Trump	trump	Trump
is	is	is
coddling	coddl	coddling
the	the	the
KKK	kkk	KKK
and	and	and
their	their	their
former	former	former
leader	leader	leader
David	david	David
Duke	duke	Duke
,	,	,
Mike	mike	Mike
Huckabee	huckabe	Huckabee
feigned	feign	feigned
surprise	surpris	surprise
that	that	that
the	the	the
former	former	former
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
would	would	would
say	say	say
such	such	such
a	a	a
thing	thing	thing
.	.	.

Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
disavowed	disavow	disavowed
David	david	David
Duke	duke	Duke
,	,	,
disavowed	disavow	disavowed
the	the	the
Klan	klan	Klan
,	,	,
Huckabee	huckabe	Huckabee
claimed	claim	claimed
.	.	.
Almost	almost	Almost
immediately	immedi	immediately
,	,	,
Kelly	kelli	Kelly
put	put	put
pressure	pressur	pressure
on	on	on
Huckabee	huckabe	Huckabee
.	.	.

When	when	When
did	did	did
he	he	he
repeatedly	repeat	repeatedly
disavow	disavow	disavow
the	the	the
Klan	klan	Klan
,	,	,
she	she	she
demanded	demand	demanded
to	to	to
know	know	know
.	.	.
Huckabee	huckabe	Huckabee
insisted	insist	insisted
that	that	that
Trump	trump	Trump
disavowed	disavow	disavowed
Duke	duke	Duke
and	and	and
the	the	the
KKK	kkk	KKK
on	on	on
Twitter	twitter	Twitter
,	,	,
and	and	and
further	further	further
insisted	insist	insisted
that	that	that
nobody	nobodi	nobody
he	he	he
knows	know	know
has	has	ha
ever	ever	ever
called	call	called
Trump	trump	Trump
a	a	a
racist	racist	racist
.	.	.
But	but	But
Huckabee	huckabe	Huckabee
should	should	should
probably	probabl	probably
read	read	read
Trump	trump	Trump
s	s	s
Twitter	twitter	Twitter
feed	feed	feed
again	again	again
because	becaus	because
the	the	the
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
only	onli	only
weakly	weak	weakly
disavowed	disavow	disavowed
Duke	duke	Duke
and	and	and
said	said	said
nothing	noth	nothing
about	about	about
disavowing	disavow	disavowing
the	the	the
endorsement	endors	endorsement
of	of	of
the	the	the
KKK	kkk	KKK
.	.	.
As	as	As
I	i	I
stated	state	stated
at	at	at
the	the	the
press	press	press
conference	confer	conference
on	on	on
Friday	friday	Friday
regarding	regard	regarding
David	david	David
Duke	duke	Duke
