Mexican	mexican	Mexican
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
may	may	may
not	not	not
be	be	be
too	too	too
happy	happi	happy
once	onc	once
he	he	he
hears	hear	hears
of	of	of
Interior	interior	Interior
Secretary	secretari	Secretary
Ryan	ryan	Ryan
Zinke	zink	Zinke
s	s	s
plan	plan	plan
to	to	to
make	make	make
that	that	that
border	border	border
wall	wall	wall
thing	thing	thing
happen	happen	happen
.	.	.
You	you	You
see	see	see
,	,	,
the	the	the
terrain	terrain	terrain
on	on	on
our	our	our
southern	southern	southern
border	border	border
isn	isn	isn
t	t	t
exactly	exact	exactly
the	the	the
most	most	most
uniform	uniform	uniform
thing	thing	thing
in	in	in
the	the	the
universe	univers	universe
and	and	and
at	at	at
times	time	time
there	there	there
may	may	may
be	be	be
complications	complic	complication
like	like	like
the	the	the
Rio	rio	Rio
Grande	grand	Grande
River	river	River
.	.	.
E	e	E
E	e	E
News	news	News
reports	report	report
that	that	that
Zinke	zink	Zinke
told	told	told
a	a	a
crowd	crowd	crowd
at	at	at
an	an	an
event	event	event
held	held	held
by	by	by
Public	public	Public
Lands	land	Lands
Council	council	Council
this	this	this
week	week	week
that	that	that
the	the	the
Trump	trump	Trump
administration	administr	administration
didn	didn	didn
t	t	t
want	want	want
to	to	to
build	build	build
the	the	the
wall	wall	wall
on	on	on
American	american	American
soil	soil	soil
because	becaus	because
it	it	it
would	would	would
mean	mean	mean
handing	hand	handing
the	the	the
entire	entir	entire
Rio	rio	Rio
Grande	grand	Grande
river	river	river
to	to	to
Mexico	mexico	Mexico
so	so	so
he	he	he
just	just	just
wants	want	want
to	to	to
take	take	take
the	the	the
land	land	land
instead	instead	instead
The	the	The
border	border	border
is	is	is
complicated	complic	complicated
,	,	,
as	as	a
far	far	far
as	as	a
building	build	building
a	a	a
physical	physic	physical
wall	wall	wall
.	.	.
The	the	The
Rio	rio	Rio
Grande	grand	Grande
,	,	,
what	what	what
side	side	side
of	of	of
the	the	the
river	river	river
are	are	are
you	you	you
going	go	going
to	to	to
put	put	put
the	the	the
wall	wall	wall
?	?	?
We	we	We
re	re	re
not	not	not
going	go	going
to	to	to
put	put	put
it	it	it
on	on	on
our	our	our
side	side	side
and	and	and
cede	cede	cede
the	the	the
river	river	river
to	to	to
Mexico	mexico	Mexico
.	.	.
And	and	And
we	we	we
re	re	re
probably	probabl	probably
not	not	not
going	go	going
to	to	to
put	put	put
it	it	it
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
river	river	river
.	.	.
Zinke	zink	Zinke
stopped	stop	stopped
just	just	just
shy	shi	shy
of	of	of
saying	say	saying
that	that	that
we	we	we
d	d	d
take	take	take
the	the	the
land	land	land
by	by	by
force	forc	force
,	,	,
but	but	but
he	he	he
made	made	made
it	it	it
pretty	pretti	pretty
clear	clear	clear
that	that	that
the	the	the
United	unit	United
States	state	States
isn	isn	isn
t	t	t
going	go	going
to	to	to
give	give	give
up	up	up
the	the	the
river	river	river
and	and	and
Mexico	mexico	Mexico
isn	isn	isn
t	t	t
going	go	going
to	to	to
hand	hand	hand
over	over	over
land	land	land
on	on	on
their	their	their
side	side	side
to	to	to
build	build	build
a	a	a
gigantic	gigant	gigantic
ugly	ugli	ugly
wall	wall	wall
on	on	on
the	the	the
border	border	border
.	.	.
First	first	First
,	,	,
President	presid	President
Trump	trump	Trump
proposed	propos	proposed
building	build	building
a	a	a
wall	wall	wall
on	on	on
our	our	our
southern	southern	southern
border	border	border
and	and	and
having	have	having
Mexico	mexico	Mexico
pay	pay	pay
for	for	for
it	it	it
.	.	.
Now	now	Now
his	his	his
administration	administr	administration
is	is	is
planning	plan	planning
to	to	to
build	build	build
a	a	a
wall	wall	wall
in	in	in
Mexico	mexico	Mexico
and	and	and
have	have	have
Americans	american	Americans
pay	pay	pay
for	for	for
it	it	it
,	,	,
Austin	austin	Austin
Evers	ever	Evers
,	,	,
executive	execut	executive
director	director	director
of	of	of
watchdog	watchdog	watchdog
group	group	group
Americans	american	Americans
Oversight	oversight	Oversight
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
following	follow	following
the	the	the
remarks	remark	remark
.	.	.
Will	will	Will
Trump	trump	Trump
s	s	s
agenda	agenda	agenda
lead	lead	lead
us	us	u
to	to	to
war	war	war
with	with	with
one	one	one
of	of	of
our	our	our
allies	alli	ally
?	?	?
If	if	If
the	the	the
administration	administr	administration
has	has	ha
its	it	it
way	way	way
,	,	,
according	accord	according
to	to	to
Zinke	zink	Zinke
,	,	,
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
will	will	will
happen	happen	happen
.	.	.
featured	featur	featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab
