Zero	zero	Zero
Hedge	hedg	Hedge
In	in	In
a	a	a
shocking	shock	shocking
development	develop	development
,	,	,
late	late	late
on	on	on
Saturday	saturday	Saturday
the	the	the
Saudi	saudi	Saudi
press	press	press
reported	report	reported
that	that	that
prominent	promin	prominent
billionaire	billionair	billionaire
,	,	,
member	member	member
of	of	of
the	the	the
royal	royal	royal
Saudi	saudi	Saudi
family	famili	family
,	,	,
and	and	and
one	one	one
of	of	of
the	the	the
biggest	biggest	biggest
shareholders	sharehold	shareholder
of	of	of
Citi	citi	Citi
,	,	,
News	news	News
Corp	corp	Corp
.	.	.
and	and	and
Twitter	twitter	Twitter
not	not	not
to	to	to
mention	mention	mention
frequent	frequent	frequent
CNBC	cnbc	CNBC
guest	guest	guest
Al	al	Al
-Waleed	-wale	-Waleed
bin	bin	bin
Talal	talal	Talal
,	,	,
along	along	along
with	with	with
ten	ten	ten
senior	senior	senior
princes	princ	prince
,	,	,
and	and	and
some	some	some
38	38	38
ministers	minist	minister
,	,	,
has	has	ha
been	been	been
arrested	arrest	arrested
for	for	for
corruption	corrupt	corruption
and	and	and
money	money	money
laundering	launder	laundering
charges	charg	charge
on	on	on
orders	order	order
from	from	from
the	the	the
new	new	new
anti	anti	anti
-corruption	-corrupt	-corruption
committee	committe	committee
headed	head	headed
by	by	by
Crown	crown	Crown
Prince	princ	Prince
Mohammed	moham	Mohammed
bin	bin	bin
Salman	salman	Salman
,	,	,
while	while	while
Royal	royal	Royal
princes	princ	prince
private	privat	private
planes	plane	plane
have	have	have
been	been	been
grounded	ground	grounded
.	.	.
Among	among	Among
those	those	those
fired	fire	fired
and	and	and
or	or	or
arrested	arrest	arrested
are	are	are
the	the	the
head	head	head
of	of	of
National	nation	National
Royal	royal	Royal
Guards	guard	Guards
,	,	,
Miteb	miteb	Miteb
Bin	bin	Bin
Abdullah	abdullah	Abdullah
,	,	,
the	the	the
Minister	minist	Minister
of	of	of
Economy	economi	Economy
and	and	and
Planning	plan	Planning
,	,	,
Adel	adel	Adel
Fakeih	fakeih	Fakeih
,	,	,
and	and	and
Admiral	admir	Admiral
Abdullah	abdullah	Abdullah
bin	bin	bin
Sultan	sultan	Sultan
bin	bin	bin
Mohammed	moham	Mohammed
Al	al	Al
-Sultan	-sultan	-Sultan
,	,	,
the	the	the
Commander	command	Commander
of	of	of
the	the	the
Saudi	saudi	Saudi
Naval	naval	Naval
Forces	forc	Forces
.	.	.
As	as	As
the	the	the
local	local	local
press	press	press
further	further	further
adds	add	add
,	,	,
the	the	the
supreme	suprem	supreme
committee	committe	committee
chaired	chair	chaired
by	by	by
Crown	crown	Crown
Prince	princ	Prince
and	and	and
billionaire	billionair	billionaire
stops	stop	stop
on	on	on
charges	charg	charge
of	of	of
money	money	money
laundering	launder	laundering
.	.	.
al	al	al
-Waleed	-wale	-Waleed
bin	bin	bin
Talal	talal	Talal
is	is	is
perhaps	perhap	perhaps
best	best	best
known	known	known
not	not	not
only	onli	only
for	for	for
his	his	his
periodic	period	periodic
CNBC	cnbc	CNBC
appearances	appear	appearance
,	,	,
but	but	but
for	for	for
his	his	his
recurring	recur	recurring
on	on	on
and	and	and
off	off	off
spats	spat	spat
with	with	with
president	presid	president
Trump	trump	Trump
According	accord	According
to	to	to
al	al	al
Arabiya	arabiya	Arabiya
,	,	,
among	among	among
those	those	those
sacked	sack	sacked
and	and	and
or	or	or
arrested	arrest	arrested
are	are	are
Moteib	moteib	Moteib
Bin	bin	Bin
Abdullah	abdullah	Abdullah
,	,	,
Minister	minist	Minister
of	of	of
the	the	the
National	nation	National
Guard	guard	Guard
,	,	,
and	and	and
Prince	princ	Prince
Khalid	khalid	Khalid
bin	bin	bin
Ayyaf	ayyaf	Ayyaf
has	has	ha
been	been	been
appointed	appoint	appointed
as	as	a
his	his	his
replacement	replac	replacement
.	.	.
A	a	A
second	second	second
Royal	royal	Royal
Order	order	Order
was	was	wa
issued	issu	issued
to	to	to
relieve	reliev	relieve
Minister	minist	Minister
of	of	of
Economy	economi	Economy
and	and	and
Planning	plan	Planning
,	,	,
Adel	adel	Adel
al	al	al
-Faqieh	-faqieh	-Faqieh
,	,	,
from	from	from
his	his	his
duties	duti	duty
,	,	,
and	and	and
the	the	the
appointment	appoint	appointment
of	of	of
Mohammed	moham	Mohammed
Al	al	Al
Tuwaijri	tuwaijri	Tuwaijri
as	as	a
Minister	minist	Minister
of	of	of
Economy	economi	Economy
and	and	and
Planning	plan	Planning
.	.	.
According	accord	According
to	to	to
a	a	a
Royal	royal	Royal
Decree	decre	Decree
issued	issu	issued
by	by	by
King	king	King
Salman	salman	Salman
on	on	on
Saturday	saturday	Saturday
the	the	the
anti	anti	anti
-corruption	-corrupt	-corruption
committee	committe	committee
is	is	is
chaired	chair	chaired
by	by	by
the	the	the
Crown	crown	Crown
Prince	princ	Prince
with	with	with
the	the	the
membership	membership	membership
of	of	of
Chairman	chairman	Chairman
of	of	of
the	the	the
Monitoring	monitor	Monitoring
and	and	and
Investigation	investig	Investigation
Commission	commiss	Commission
,	,	,
Chairman	chairman	Chairman
of	of	of
the	the	the
National	nation	National
Anti	anti	Anti
-Corruption	-corrupt	-Corruption
Authority	author	Authority
,	,	,
Chief	chief	Chief
of	of	of
the	the	the
General	general	General
Audit	audit	Audit
Bureau	bureau	Bureau
,	,	,
Attorney	attorney	Attorney
General	general	General
and	and	and
Head	head	Head
of	of	of
State	state	State
Security	secur	Security
.	.	.
As	as	As
Saudi	saudi	Saudi
analysts	analyst	analyst
were	were	were
quick	quick	quick
to	to	to
point	point	point
out	out	out
,	,	,
the	the	the
purge	purg	purge
by	by	by
the	the	the
Saudi	saudi	Saudi
King	king	King
means	mean	mean
that	that	that
King	king	King
Abdallah	abdallah	Abdallah
s	s	s
last	last	last
remnants	remnant	remnant
Riyad	riyad	Riyad
firmer	firmer	firmer
gov	gov	gov
.	.	.
head	head	head
of	of	of
Nat	nat	Nat
.	.	.
Guard	guard	Guard
;	;	;
media	media	medium
moguls	mogul	mogul
;	;	;
SAGIA	sagia	SAGIA
financial	financi	financial
policy	polici	policy
officials	offici	official
have	have	have
been	been	been
purged	purg	purged
.	.	.
As	as	As
Bloomberg	bloomberg	Bloomberg
notes	note	note
,	,	,
changing	chang	changing
the	the	the
head	head	head
of	of	of
the	the	the
National	nation	National
Guard	guard	Guard
,	,	,
an	an	an
institution	institut	institution
that	that	that
s	s	s
been	been	been
controlled	control	controlled
by	by	by
the	the	the
clan	clan	clan
of	of	of
the	the	the
late	late	late
King	king	King
Abdullah	abdullah	Abdullah
,	,	,
is	is	is
not	not	not
like	like	like
changing	chang	changing
the	the	the
minister	minist	minister
of	of	of
oil	oil	oil
,	,	,
said	said	said
Kamran	kamran	Kamran
Bokhari	bokhari	Bokhari
,	,	,
a	a	a
senior	senior	senior
analyst	analyst	analyst
with	with	with
Geopolitical	geopolit	Geopolitical
Futures	futur	Futures
and	and	and
a	a	a
senior	senior	senior
fellow	fellow	fellow
with	with	with
the	the	the
Center	center	Center
for	for	for
Global	global	Global
Policy	polici	Policy
.	.	.
I	i	I
wouldn	wouldn	wouldn
t	t	t
be	be	be
surprised	surpris	surprised
if	if	if
this	this	this
leads	lead	lead
to	to	to
greater	greater	greater
fissures	fissur	fissure
within	within	within
the	the	the
royal	royal	royal
family	famili	family
.	.	.
Arabiya	arabiya	Arabiya
adds	add	add
that	that	that
King	king	King
Salman	salman	Salman
also	also	also
issued	issu	issued
sacking	sack	sacking
and	and	and
replacement	replac	replacement
orders	order	order
for	for	for
Admiral	admir	Admiral
Abdullah	abdullah	Abdullah
bin	bin	bin
Sultan	sultan	Sultan
bin	bin	bin
Mohammed	moham	Mohammed
Al	al	Al
-Sultan	-sultan	-Sultan
,	,	,
the	the	the
Commander	command	Commander
of	of	of
the	the	the
Naval	naval	Naval
Forces	forc	Forces
,	,	,
is	is	is
to	to	to
be	be	be
terminated	termin	terminated
and	and	and
be	be	be
retired	retir	retired
;	;	;
his	his	his
replacement	replac	replacement
is	is	is
Vice	vice	Vice
Admiral	admir	Admiral
Fahd	fahd	Fahd
bin	bin	bin
Abdullah	abdullah	Abdullah
Al	al	Al
-Ghifaili	-ghifaili	-Ghifaili
,	,	,
to	to	to
be	be	be
promoted	promot	promoted
to	to	to
the	the	the
rank	rank	rank
of	of	of
admiral	admir	admiral
and	and	and
be	be	be
appointed	appoint	appointed
as	as	a
Commander	command	Commander
of	of	of
the	the	the
Naval	naval	Naval
Forces	forc	Forces
.	.	.
Additionally	addit	Additionally
,	,	,
Minister	minist	Minister
of	of	of
Economy	economi	Economy
and	and	and
Planning	plan	Planning
Adel	adel	Adel
al	al	al
-Faqieh	-faqieh	-Faqieh
was	was	wa
replaced	replac	replaced
by	by	by
Mohammed	moham	Mohammed
al	al	al
-Tuwaijri	-tuwaijri	-Tuwaijri
,	,	,
SPA	spa	SPA
said	said	said
,	,	,
quoting	quot	quoting
a	a	a
royal	royal	royal
decree	decre	decree
.	.	.
Commander	command	Commander
of	of	of
the	the	the
Saudi	saudi	Saudi
Navy	navi	Navy
,	,	,
Abdullah	abdullah	Abdullah
al	al	al
-Sultan	-sultan	-Sultan
,	,	,
was	was	wa
replaced	replac	replaced
with	with	with
Fahad	fahad	Fahad
al	al	al
-Ghafli	-ghafli	-Ghafli
.	.	.
The	the	The
king	king	king
also	also	also
replaced	replac	replaced
Minister	minist	Minister
of	of	of
Economy	economi	Economy
and	and	and
Planning	plan	Planning
Adel	adel	Adel
Fakeih	fakeih	Fakeih
withMohammad	withmohammad	withMohammad
Al	al	Al
Tuwaijri	tuwaijri	Tuwaijri
,	,	,
his	his	his
deputy	deputi	deputy
.	.	.
Sky	sky	Sky
News	news	News
Arabia	arabia	Arabia
confirms	confirm	confirms
an	an	an
earlier	earlier	earlier
report	report	report
from	from	from
Al	al	Al
-Watan	-watan	-Watan
news	news	news
Newsletter	newslett	Newsletter
loss	loss	loss
of	of	of
a	a	a
helicopter	helicopt	helicopter
carrying	carri	carrying
a	a	a
number	number	number
of	of	of
officials	offici	official
in	in	in
the	the	the
southern	southern	southern
Asir	asir	Asir
,	,	,
Saudi	saudi	Saudi
Arabia	arabia	Arabia
Zero	zero	Zero
HedgeThis	hedgethi	HedgeThis
is	is	is
allegedly	alleg	allegedly
the	the	the
group	group	group
boarding	board	boarding
the	the	the
chopper	chopper	chopper
unverified	unverifi	unverified
pic.twitter.com/OQZ4vFypc5	pic.twitter.com/oqz4vfypc5	pic.twitter.com/OQZ4vFypc5
abo0o0dy	abo0o0di	abo0o0dy
.	.	.
.	.	.
@AbduAseeri	@abduaseeri	@AbduAseeri
November	novemb	November
5	5	5
,	,	,
2017Details	2017detail	2017Details
are	are	are
few	few	few
for	for	for
now	now	now
but	but	but
some	some	some
headlines	headlin	headline
report	report	report
that	that	that
the	the	the
high	high	high
-ranking	-rank	-ranking
officials	offici	official
aboard	aboard	aboard
included	includ	included
Crown	crown	Crown
Prince	princ	Prince
Mansour	mansour	Mansour
bin	bin	bin
-Muqrin	-muqrin	-Muqrin
,	,	,
deputy	deputi	deputy
Emir	emir	Emir
of	of	of
Asir	asir	Asir
province	provinc	province
.	.	.
_	_	_
_	_	_
_	_	_
.	.	.
.	.	.
pic.twitter.com/vXa6kSuBsO	pic.twitter.com/vxa6ksubso	pic.twitter.com/vXa6kSuBsO
@hrhpmmugrin	@hrhpmmugrin	@hrhpmmugrin
November	novemb	November
5	5	5
,	,	,
2017There	2017there	2017There
are	are	are
sources	sourc	source
saying	say	saying
all	all	all
aboard	aboard	aboard
have	have	have
died	die	died
_	_	_
_	_	_
.	.	.
.	.	.
_	_	_
_	_	_
_	_	_
pic.twitter.com/QvVkfItXTl	pic.twitter.com/qvvkfitxtl	pic.twitter.com/QvVkfItXTl
