Rep	rep	Rep
.	.	.
Markwayne	markwayn	Markwayne
Mullin	mullin	Mullin
R	r	R
-Okla	-okla	-Okla
.	.	.
held	held	held
a	a	a
town	town	town
hall	hall	hall
earlier	earlier	earlier
this	this	this
week	week	week
and	and	and
it	it	it
did	did	did
not	not	not
go	go	go
well	well	well
for	for	for
him	him	him
.	.	.
The	the	The
Republican	republican	Republican
congressman	congressman	congressman
told	told	told
his	his	his
constituents	constitu	constituent
that	that	that
taxpayers	taxpay	taxpayer
don	don	don
t	t	t
pay	pay	pay
his	his	his
salary	salari	salary
and	and	and
saying	say	saying
otherwise	otherwis	otherwise
is	is	is
bullcrap	bullcrap	bullcrap
.	.	.
You	you	You
say	say	say
you	you	you
pay	pay	pay
for	for	for
me	me	me
to	to	to
do	do	do
this	this	this
?	?	?
That	that	That
s	s	s
bullcrap	bullcrap	bullcrap
,	,	,
video	video	video
shows	show	show
Mullin	mullin	Mullin
saying	say	saying
.	.	.
I	i	I
pay	pay	pay
for	for	for
myself	myself	myself
.	.	.
I	i	I
paid	paid	paid
enough	enough	enough
taxes	tax	tax
before	befor	before
I	i	I
got	got	got
here	here	here
and	and	and
continue	continu	continue
to	to	to
through	through	through
my	my	my
company	compani	company
to	to	to
pay	pay	pay
my	my	my
own	own	own
salary	salari	salary
.	.	.
This	this	This
is	is	is
a	a	a
service	servic	service
.	.	.
No	no	No
one	one	one
here	here	here
pays	pay	pay
me	me	me
to	to	to
go	go	go
,	,	,
he	he	he
added	ad	added
.	.	.
Go	go	Go
figure	figur	figure
,	,	,
no	no	no
one	one	one
was	was	wa
impressed	impress	impressed
with	with	with
his	his	his
remarks	remark	remark
.	.	.
When	when	When
his	his	his
constituents	constitu	constituent
pushed	push	pushed
back	back	back
,	,	,
Mullin	mullin	Mullin
tried	tri	tried
to	to	to
spin	spin	spin
his	his	his
comments	comment	comment
,	,	,
saying	say	saying
,	,	,
this	this	this
is	is	is
a	a	a
service	servic	service
for	for	for
me	me	me
,	,	,
not	not	not
a	a	a
career	career	career
,	,	,
and	and	and
I	i	I
thank	thank	thank
God	god	God
this	this	this
is	is	is
not	not	not
how	how	how
I	i	I
make	make	make
my	my	my
living	live	living
.	.	.
Amy	ami	Amy
Lawrence	lawrenc	Lawrence
,	,	,
Mullin	mullin	Mullin
s	s	s
spokeswoman	spokeswoman	spokeswoman
,	,	,
told	told	told
the	the	the
press	press	press
that	that	that
he	he	he
was	was	wa
just	just	just
trying	tri	trying
to	to	to
say	say	say
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
be	be	be
a	a	a
career	career	career
politician	politician	politician
,	,	,
that	that	that
s	s	s
all	all	all
.	.	.
The	the	The
congressman	congressman	congressman
reiterates	reiter	reiterates
in	in	in
the	the	the
video	video	video
that	that	that
his	his	his
work	work	work
as	as	a
the	the	the
representative	repres	representative
of	of	of
the	the	the
Second	second	Second
District	district	District
of	of	of
Oklahoma	oklahoma	Oklahoma
is	is	is
a	a	a
service	servic	service
,	,	,
Lawrence	lawrenc	Lawrence
said	said	said
.	.	.
His	his	His
aspiration	aspir	aspiration
is	is	is
to	to	to
be	be	be
a	a	a
career	career	career
legislator	legisl	legislator
and	and	and
not	not	not
a	a	a
career	career	career
politician	politician	politician
.	.	.
He	he	He
is	is	is
not	not	not
,	,	,
nor	nor	nor
does	doe	doe
he	he	he
ever	ever	ever
aspire	aspir	aspire
to	to	to
be	be	be
,	,	,
a	a	a
career	career	career
politician	politician	politician
.	.	.
His	his	His
priority	prioriti	priority
will	will	will
always	alway	always
be	be	be
to	to	to
serve	serv	serve
his	his	his
constituents	constitu	constituent
to	to	to
the	the	the
best	best	best
of	of	of
his	his	his
ability	abil	ability
.	.	.
Mullins	mullin	Mullins
owns	own	owns
Mullin	mullin	Mullin
Plumbing	plumb	Plumbing
,	,	,
a	a	a
lucrative	lucrat	lucrative
company	compani	company
with	with	with
multiple	multipl	multiple
smaller	smaller	smaller
subsidiaries	subsidiari	subsidiary
.	.	.
But	but	But
comprehending	comprehend	comprehending
exactly	exact	exactly
how	how	how
this	this	this
negates	negat	negates
the	the	the
salary	salari	salary
he	he	he
earns	earn	earns
as	as	a
a	a	a
congressman	congressman	congressman
requires	requir	requires
a	a	a
special	special	special
type	type	type
of	of	of
mental	mental	mental
gymnastics	gymnast	gymnastics
.	.	.
For	for	For
the	the	the
record	record	record
,	,	,
base	base	base
pay	pay	pay
for	for	for
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
congressman	congressman	congressman
is	is	is
174	174	174
,	,	,
000	000	000
.	.	.
The	the	The
good	good	good
news	news	news
for	for	for
Mullin	mullin	Mullin
is	is	is
that	that	that
after	after	after
telling	tell	telling
his	his	his
constituents	constitu	constituent
that	that	that
they	they	they
don	don	don
t	t	t
pay	pay	pay
his	his	his
salary	salari	salary
,	,	,
he	he	he
probably	probabl	probably
won	won	won
t	t	t
have	have	have
to	to	to
worry	worri	worry
about	about	about
the	the	the
possibility	possibl	possibility
of	of	of
becoming	becom	becoming
a	a	a
career	career	career
politician	politician	politician
.	.	.
You	you	You
can	can	can
watch	watch	watch
Mullin	mullin	Mullin
sabotage	sabotag	sabotage
his	his	his
career	career	career
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
Wikipedia	wikipedia	Wikipedia
