HAPPY	happi	HAPPY
SUPER	super	SUPER
TUESDAY	tuesday	TUESDAY
!	!	!
Here	here	Here
are	are	are
the	the	the
results	result	result
so	so	so
far	far	far
,	,	,
courtesy	courtesi	courtesy
of	of	of
Weasel	weasel	Weasel
Zippers	zipper	Zippers
.	.	.
The	the	The
win	win	win
for	for	for
Donald	donald	Donald
Trump	trump	Trump
may	may	may
not	not	not
be	be	be
as	as	a
YUGE	yuge	YUGE
as	as	a
he	he	he
had	had	had
hoped	hope	hoped
,	,	,
but	but	but
he	he	he
and	and	and
Hillary	hillari	Hillary
come	come	come
out	out	out
of	of	of
Super	super	Super
Tuesday	tuesday	Tuesday
as	as	a
the	the	the
clear	clear	clear
winners	winner	winner
of	of	of
the	the	the
Super	super	Super
Tuesday	tuesday	Tuesday
states	state	state
.	.	.
Here	here	Here
s	s	s
a	a	a
link	link	link
to	to	to
the	the	the
results	result	result
.	.	.
In	in	In
some	some	some
of	of	of
the	the	the
states	state	state
you	you	you
have	have	have
to	to	to
get	get	get
at	at	at
least	least	least
20	20	20
to	to	to
get	get	get
any	ani	any
delegates	deleg	delegate
at	at	at
all	all	all
.	.	.
10	10	10
49	49	49
Here	here	Here
s	s	s
the	the	the
estimated	estim	estimated
delegate	deleg	delegate
count	count	count
at	at	at
this	this	this
point	point	point
by	by	by
the	the	the
NY	ny	NY
Times	time	Times
10	10	10
26	26	26
Rubio	rubio	Rubio
may	may	may
end	end	end
up	up	up
winning	win	winning
Minnesota	minnesota	Minnesota
,	,	,
he	he	he
s	s	s
ahead	ahead	ahead
by	by	by
10	10	10
points	point	point
at	at	at
this	this	this
point	point	point
.	.	.
10	10	10
15	15	15
Ted	ted	Ted
Cruz	cruz	Cruz
January	januari	January
20	20	20
,	,	,
2017	2017	2017
will	will	will
be	be	be
Barack	barack	Barack
Obama	obama	Obama
s	s	s
final	final	final
day	day	day
in	in	in
office	offic	office
.	.	.
Our	our	Our
campaign	campaign	campaign
is	is	is
the	the	the
only	onli	only
one	one	one
that	that	that
can	can	can
beat	beat	beat
,	,	,
has	has	ha
beaten	beaten	beaten
and	and	and
will	will	will
beat	beat	beat
Donald	donald	Donald
Trump	trump	Trump
.	.	.
I	i	I
congratulate	congratul	congratulate
Donald	donald	Donald
Trump	trump	Trump
on	on	on
his	his	his
victories	victori	victory
tonight	tonight	tonight
.	.	.
15	15	15
states	state	state
have	have	have
voted	vote	voted
and	and	and
every	everi	every
one	one	one
has	has	ha
been	been	been
won	won	won
by	by	by
me	me	me
or	or	or
Donald	donald	Donald
Trump	trump	Trump
.	.	.
For	for	For
the	the	the
candidates	candid	candidate
who	who	who
have	have	have
not	not	not
won	won	won
,	,	,
I	i	I
ask	ask	ask
for	for	for
you	you	you
to	to	to
come	come	come
together	togeth	together
and	and	and
uniting	unit	uniting
.	.	.
Head	head	Head
to	to	to
head	head	head
we	we	we
beat	beat	beat
Donald	donald	Donald
,	,	,
so	so	so
we	we	we
must	must	must
come	come	come
together	togeth	together
.	.	.
10	10	10
12	12	12
Ben	ben	Ben
Carson	carson	Carson
not	not	not
dropping	drop	dropping
out	out	out
.	.	.
Fox	fox	Fox
still	still	still
talking	talk	talking
about	about	about
maybe	mayb	maybe
,	,	,
maybe	mayb	maybe
Rubio	rubio	Rubio
can	can	can
get	get	get
some	some	some
delegates	deleg	delegate
.	.	.
10	10	10
05	05	05
Trump	trump	Trump
I	i	I
don	don	don
t	t	t
know	know	know
if	if	if
Hillary	hillari	Hillary
is	is	is
going	go	going
to	to	to
be	be	be
allowed	allow	allowed
to	to	to
run	run	run
,	,	,
what	what	what
she	she	she
did	did	did
was	was	wa
a	a	a
criminal	crimin	criminal
act	act	act
.	.	.
I	i	I
am	am	am
a	a	a
unifier	unifi	unifier
,	,	,
when	when	when
we	we	we
unify	unifi	unify
there	there	there
is	is	is
no	no	no
one	one	one
who	who	who
is	is	is
going	go	going
to	to	to
beat	beat	beat
us	us	u
.	.	.
Trump	trump	Trump
seems	seem	seems
to	to	to
be	be	be
taking	take	taking
a	a	a
conciliatory	conciliatori	conciliatory
attitude	attitud	attitude
toward	toward	toward
Ted	ted	Ted
Cruz	cruz	Cruz
,	,	,
not	not	not
so	so	so
Rubio	rubio	Rubio
.	.	.
9	9	9
49	49	49
Trump	trump	Trump
sounding	sound	sounding
presidential	presidenti	presidential
,	,	,
saying	say	saying
will	will	will
win	win	win
in	in	in
November	novemb	November
,	,	,
that	that	that
many	mani	many
polls	poll	poll
say	say	say
he	he	he
would	would	would
win	win	win
.	.	.
However	howev	However
,	,	,
most	most	most
polls	poll	poll
actually	actual	actually
show	show	show
he	he	he
would	would	would
lose	lose	lose
to	to	to
Hillary	hillari	Hillary
,	,	,
except	except	except
for	for	for
one	one	one
poll	poll	poll
,	,	,
the	the	the
USA	usa	USA
Today	today	Today
poll	poll	poll
.	.	.
Trump	trump	Trump
congratulates	congratul	congratulates
Cruz	cruz	Cruz
on	on	on
winning	win	winning
Texas	texa	Texas
,	,	,
and	and	and
says	say	say
Rubio	rubio	Rubio
did	did	did
badly	bad	badly
.	.	.
9	9	9
37	37	37
Trump	trump	Trump
press	press	press
conference	confer	conference
about	about	about
to	to	to
start	start	start
.	.	.
Word	word	Word
is	is	is
it	it	it
s	s	s
endorsement	endors	endorsement
of	of	of
Gov	gov	Gov
.	.	.
Rick	rick	Rick
Scott	scott	Scott
of	of	of
Florida	florida	Florida
.	.	.
That	that	That
might	might	might
have	have	have
some	some	some
effect	effect	effect
in	in	in
the	the	the
race	race	race
there	there	there
on	on	on
the	the	the
15th	15th	15th
.	.	.
Guess	guess	Guess
not	not	not
