Just	just	Just
when	when	when
we	we	we
thought	thought	thought
the	the	the
situation	situat	situation
with	with	with
the	the	the
Bundy	bundi	Bundy
militia	militia	militia
in	in	in
Oregon	oregon	Oregon
couldn	couldn	couldn
t	t	t
get	get	get
any	ani	any
worse	wors	worse
,	,	,
it	it	it
does	doe	doe
.	.	.

The	the	The
drama	drama	drama
is	is	is
heating	heat	heating
up	up	up
now	now	now
,	,	,
because	becaus	because
another	anoth	another
group	group	group
of	of	of
lawless	lawless	lawless
armed	arm	armed
militants	milit	militant
have	have	have
decided	decid	decided
to	to	to
come	come	come
be	be	be
the	the	the
security	secur	security
for	for	for
the	the	the
militia	militia	militia
.	.	.

There	there	There
s	s	s
just	just	just
one	one	one
problem	problem	problem
with	with	with
that	that	that
,	,	,
though	though	though
the	the	the
original	origin	original
militia	militia	militia
says	say	say
they	they	they
don	don	don
t	t	t
want	want	want
these	these	these
new	new	new
folks	folk	folk
there	there	there
.	.	.
The	the	The
new	new	new
group	group	group
calls	call	call
themselves	themselv	themselves
the	the	the
Pacific	pacif	Pacific
Patriot	patriot	Patriot
Network	network	Network
,	,	,
and	and	and
they	they	they
have	have	have
taken	taken	taken
it	it	it
upon	upon	upon
themselves	themselv	themselves
to	to	to
send	send	send
armed	arm	armed
guards	guard	guard
from	from	from
their	their	their
group	group	group
to	to	to
protect	protect	protect
the	the	the
original	origin	original
occupying	occupi	occupying
militia	militia	militia
.	.	.

However	howev	However
,	,	,
Todd	todd	Todd
MacFarlane	macfarlan	MacFarlane
,	,	,
who	who	who
is	is	is
a	a	a
lawyer	lawyer	lawyer
for	for	for
the	the	the
Bundy	bundi	Bundy
side	side	side
of	of	of
the	the	the
standoff	standoff	standoff
,	,	,
says	say	say
of	of	of
these	these	these
new	new	new
people	peopl	people
We	we	We
don	don	don
t	t	t
need	need	need
that	that	that
.	.	.

We	we	We
don	don	don
t	t	t
want	want	want
it	it	it
and	and	and
we	we	we
re	re	re
asking	ask	asking
you	you	you
to	to	to
leave	leav	leave
.	.	.

According	accord	According
to	to	to
the	the	the
Bundy	bundi	Bundy
group	group	group
,	,	,
they	they	they
really	realli	really
want	want	want
to	to	to
keep	keep	keep
the	the	the
situation	situat	situation
from	from	from
getting	get	getting
any	ani	any
worse	wors	worse
than	than	than
it	it	it
already	alreadi	already
has	has	ha
.	.	.

MacFarlane	macfarlan	MacFarlane
says	say	say
that	that	that
the	the	the
Bundy	bundi	Bundy
group	group	group
is	is	is
,	,	,
quote	quot	quote
,	,	,
alarmed	alarm	alarmed
by	by	by
the	the	the
Pacific	pacif	Pacific
Patriot	patriot	Patriot
Network	network	Network
guards	guard	guard
.	.	.

According	accord	According
the	the	the
Brandon	brandon	Brandon
Curtiss	curtiss	Curtiss
,	,	,
who	who	who
heads	head	head
the	the	the
Pacific	pacif	Pacific
Patriot	patriot	Patriot
Network	network	Network
up	up	up
,	,	,
the	the	the
guards	guard	guard
he	he	he
sent	sent	sent
will	will	will
only	onli	only
be	be	be
patrolling	patrol	patrolling
the	the	the
perimeter	perimet	perimeter
and	and	and
has	has	ha
no	no	no
plans	plan	plan
to	to	to
interfere	interfer	interfere
with	with	with
original	origin	original
occupants	occup	occupant
,	,	,
or	or	or
even	even	even
join	join	join
them	them	them
in	in	in
occupation	occup	occupation
.	.	.
However	howev	However
,	,	,
the	the	the
point	point	point
is	is	is
,	,	,
the	the	the
Bundys	bundi	Bundys
people	peopl	people
don	don	don
t	t	t
want	want	want
them	them	them
there	there	there
.	.	.

The	the	The
new	new	new
people	peopl	people
must	must	must
be	be	be
really	realli	really
scary	scari	scary
if	if	if
the	the	the
original	origin	original
terrorists	terrorist	terrorist
don	don	don
t	t	t
even	even	even
want	want	want
anything	anyth	anything
to	to	to
do	do	do
with	with	with
them	them	them
.	.	.

At	at	At
this	this	this
point	point	point
,	,	,
the	the	the
federal	feder	federal
government	govern	government
needs	need	need
to	to	to
simply	simpli	simply
step	step	step
in	in	in
and	and	and
do	do	do
something	someth	something
about	about	about
these	these	these
people	peopl	people
.	.	.

It	it	It
really	realli	really
has	has	ha
gotten	gotten	gotten
way	way	way
out	out	out
of	of	of
hand	hand	hand
.	.	.
Watch	watch	Watch
Bundy	bundi	Bundy
s	s	s
militia	militia	militia
people	peopl	people
talk	talk	talk
about	about	about
these	these	these
newbies	newbi	newbie
,	,	,
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
from	from	from
Raw	raw	Raw
Story	stori	Story

