Whiny	whini	Whiny
White	white	White
House	hous	House
advisor	advisor	advisor
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
does	doe	doe
not	not	not
like	like	like
how	how	how
the	the	the
media	media	medium
treats	treat	treat
her	her	her
illegitimate	illegitim	illegitimate
president	presid	president
,	,	,
Donald	donald	Donald
Trump	trump	Trump
.	.	.
She	she	She
s	s	s
continuing	continu	continuing
her	her	her
crusade	crusad	crusade
against	against	against
the	the	the
First	first	First
Amendment	amend	Amendment
.	.	.
Interestingly	interest	Interestingly
,	,	,
she	she	she
,	,	,
President	presid	President
Steve	steve	Steve
Bannon	bannon	Bannon
,	,	,
and	and	and
Trump	trump	Trump
,	,	,
have	have	have
treated	treat	treated
the	the	the
press	press	press
very	veri	very
badly	bad	badly
,	,	,
yet	yet	yet
they	they	they
feel	feel	feel
they	they	they
should	should	should
get	get	get
favorable	favor	favorable
coverage	coverag	coverage
anyway	anyway	anyway
.	.	.
Conway	conway	Conway
appeared	appear	appeared
on	on	on
Sean	sean	Sean
Hannity	hanniti	Hannity
s	s	s
radio	radio	radio
show	show	show
,	,	,
and	and	and
talked	talk	talked
about	about	about
how	how	how
mean	mean	mean
the	the	the
press	press	press
is	is	is
to	to	to
Donald	donald	Donald
.	.	.
Hannity	hanniti	Hannity
asked	ask	asked
Conway	conway	Conway
if	if	if
the	the	the
media	media	medium
at	at	at
large	larg	large
was	was	wa
being	be	being
beyond	beyond	beyond
disrespectful	disrespect	disrespectful
to	to	to
Trump	trump	Trump
and	and	and
his	his	his
staff	staff	staff
,	,	,
according	accord	according
to	to	to
Mediaite	mediait	Mediaite
.	.	.
Conway	conway	Conway
agreed	agre	agreed
then	then	then
said	said	said
that	that	that
the	the	the
coverage	coverag	coverage
was	was	wa
inciting	incit	inciting
mob	mob	mob
mentality	mental	mentality
if	if	if
not	not	not
mob	mob	mob
violence	violenc	violence
.	.	.
The	the	The
coverage	coverag	coverage
never	never	never
changed	chang	changed
of	of	of
Trump	trump	Trump
.	.	.
It	it	It
never	never	never
progressed	progress	progressed
,	,	,
it	it	it
never	never	never
matured	matur	matured
,	,	,
Conway	conway	Conway
said	said	said
.	.	.
Conway	conway	Conway
said	said	said
she	she	she
thought	thought	thought
protesters	protest	protester
had	had	had
a	a	a
very	veri	very
low	low	low
level	level	level
of	of	of
literacy	literaci	literacy
of	of	of
the	the	the
issues	issu	issue
against	against	against
which	which	which
they	they	they
demonstrated	demonstr	demonstrated
,	,	,
when	when	when
the	the	the
truth	truth	truth
is	is	is
that	that	that
her	her	her
boss	boss	bos
s	s	s
grammar	grammar	grammar
sits	sit	sits
at	at	at
just	just	just
below	below	below
a	a	a
6th	6th	6th
grade	grade	grade
level	level	level
.	.	.
It	it	It
never	never	never
took	took	took
on	on	on
the	the	the
aura	aura	aura
of	of	of
respect	respect	respect
that	that	that
it	it	it
deserved	deserv	deserved
,	,	,
and	and	and
if	if	if
you	you	you
are	are	are
not	not	not
showing	show	showing
the	the	the
President	presid	President
and	and	and
his	his	his
main	main	main
spokespeople	spokespeopl	spokespeople
respect	respect	respect
,	,	,
then	then	then
you	you	you
re	re	re
