Despite	despit	Despite
the	the	the
fact	fact	fact
that	that	that
many	mani	many
election	elect	election
experts	expert	expert
have	have	have
been	been	been
hoping	hope	hoping
that	that	that
the	the	the
2016	2016	2016
election	elect	election
results	result	result
would	would	would
be	be	be
examined	examin	examined
,	,	,
Democratic	democrat	Democratic
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
being	be	being
attacked	attack	attacked
by	by	by
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
for	for	for
supporting	support	supporting
the	the	the
efforts	effort	effort
of	of	of
Green	green	Green
Party	parti	Party
candidate	candid	candidate
Jill	jill	Jill
Stein	stein	Stein
to	to	to
recount	recount	recount
the	the	the
votes	vote	vote
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
Michigan	michigan	Michigan
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
.	.	.
Earlier	earlier	Earlier
today	today	today
,	,	,
Trump	trump	Trump
campaign	campaign	campaign
manager	manag	manager
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
unloaded	unload	unloaded
on	on	on
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
but	but	but
Trump	trump	Trump
couldn	couldn	couldn
t	t	t
just	just	just
leave	leav	leave
it	it	it
at	at	at
that	that	that
.	.	.
Shortly	short	Shortly
after	after	after
Conway	conway	Conway
criticized	critic	criticized
the	the	the
recount	recount	recount
effort	effort	effort
,	,	,
Trump	trump	Trump
chimed	chime	chimed
in	in	in
with	with	with
a	a	a
statement	statement	statement
of	of	of
his	his	his
own	own	own
.	.	.
In	in	In
Trump	trump	Trump
s	s	s
response	respons	response
,	,	,
he	he	he
blamed	blame	blamed
Stein	stein	Stein
and	and	and
the	the	the
Green	green	Green
Party	parti	Party
for	for	for
their	their	their
ridiculous	ridicul	ridiculous
recount	recount	recount
scam	scam	scam
and	and	and
accused	accus	accused
Stein	stein	Stein
of	of	of
trying	tri	trying
to	to	to
profit	profit	profit
from	from	from
it	it	it
.	.	.
Trump	trump	Trump
said	said	said
The	the	The
people	peopl	people
have	have	have
spoken	spoken	spoken
and	and	and
the	the	the
election	elect	election
is	is	is
over	over	over
,	,	,
and	and	and
as	as	a
Hillary	hillari	Hillary
Clinton	clinton	Clinton
herself	herself	herself
said	said	said
on	on	on
election	elect	election
night	night	night
,	,	,
in	in	in
addition	addit	addition
to	to	to
her	her	her
conceding	conced	conceding
by	by	by
congratulating	congratul	congratulating
me	me	me
,	,	,
We	we	We
must	must	must
accept	accept	accept
this	this	this
result	result	result
and	and	and
then	then	then
look	look	look
to	to	to
the	the	the
future	futur	future
.	.	.
It	it	It
is	is	is
important	import	important
to	to	to
point	point	point
out	out	out
that	that	that
with	with	with
the	the	the
help	help	help
of	of	of
millions	million	million
of	of	of
voters	voter	voter
across	across	across
the	the	the
country	countri	country
,	,	,
we	we	we
won	won	won
306	306	306
electoral	elector	electoral
votes	vote	vote
on	on	on
Election	elect	Election
Day	day	Day
the	the	the
most	most	most
of	of	of
any	ani	any
Republican	republican	Republican
since	sinc	since
1988	1988	1988
and	and	and
we	we	we
carried	carri	carried
nine	nine	nine
of	of	of
13	13	13
battleground	battleground	battleground
states	state	state
,	,	,
30	30	30
of	of	of
50	50	50
states	state	state
,	,	,
and	and	and
more	more	more
than	than	than
2	2	2
,	,	,
600	600	600
counties	counti	county
nationwide	nationwid	nationwide
the	the	the
most	most	most
since	sinc	since
President	presid	President
Ronald	ronald	Ronald
Reagan	reagan	Reagan
in	in	in
1984	1984	1984
.	.	.
This	this	This
recount	recount	recount
is	is	is
just	just	just
a	a	a
way	way	way
for	for	for
Jill	jill	Jill
Stein	stein	Stein
,	,	,
who	who	who
received	receiv	received
less	less	le
than	than	than
one	one	one
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
overall	overal	overall
and	and	and
wasn	wasn	wasn
t	t	t
even	even	even
on	on	on
the	the	the
ballot	ballot	ballot
in	in	in
many	mani	many
states	state	state
,	,	,
to	to	to
fill	fill	fill
her	her	her
coffers	coffer	coffer
with	with	with
money	money	money
,	,	,
most	most	most
of	of	of
which	which	which
she	she	she
will	will	will
never	never	never
even	even	even
spend	spend	spend
on	on	on
this	this	this
ridiculous	ridicul	ridiculous
recount	recount	recount
.	.	.
All	all	All
three	three	three
states	state	state
were	were	were
won	won	won
by	by	by
large	larg	large
numbers	number	number
of	of	of
voters	voter	voter
,	,	,
especially	especi	especially
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
which	which	which
was	was	wa
won	won	won
by	by	by
more	more	more
than	than	than
70	70	70
,	,	,
000	000	000
votes	vote	vote
.	.	.
This	this	This
is	is	is
a	a	a
scam	scam	scam
by	by	by
the	the	the
Green	green	Green
Party	parti	Party
for	for	for
an	an	an
election	elect	election
that	that	that
has	has	ha
already	alreadi	already
been	been	been
conceded	conced	conceded
,	,	,
and	and	and
the	the	the
results	result	result
of	of	of
this	this	this
election	elect	election
should	should	should
be	be	be
respected	respect	respected
instead	instead	instead
of	of	of
being	be	being
challenged	challeng	challenged
and	and	and
abused	abus	abused
,	,	,
which	which	which
is	is	is
exactly	exact	exactly
what	what	what
Jill	jill	Jill
Stein	stein	Stein
is	is	is
doing	do	doing
.	.	.
Trump	trump	Trump
is	is	is
right	right	right
that	that	that
Clinton	clinton	Clinton
conceded	conced	conceded
the	the	the
election	elect	election
,	,	,
but	but	but
she	she	she
s	s	s
not	not	not
legally	legal	legally
bound	bound	bound
to	to	to
that	that	that
and	and	and
it	it	it
s	s	s
especially	especi	especially
insane	insan	insane
that	that	that
Trump	trump	Trump
would	would	would
use	use	use
her	her	her
concession	concess	concession
as	as	a
part	part	part
of	of	of
his	his	his
argument	argument	argument
because	becaus	because
he	he	he
once	onc	once
said	said	said
he	he	he
wouldn	wouldn	wouldn
t	t	t
concede	conced	concede
.	.	.
Another	anoth	Another
glaring	glare	glaring
mistake	mistak	mistake
in	in	in
Trump	trump	Trump
s	s	s
argument	argument	argument
is	is	is
his	his	his
the	the	the
people	peopl	people
have	have	have
spoken	spoken	spoken
statement	statement	statement
,	,	,
which	which	which
is	is	is
hilarious	hilari	hilarious
considering	consid	considering
Clinton	clinton	Clinton
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
a	a	a
landslide	landslid	landslide
,	,	,
as	as	a
The	the	The
Atlantic	atlant	Atlantic
s	s	s
David	david	David
Frum	frum	Frum
pointed	point	pointed
out	out	out
TwitterIn	twitterin	TwitterIn
Wisconsin	wisconsin	Wisconsin
,	,	,
there	there	there
have	have	have
