Yet	yet	Yet
another	anoth	another
altercation	alterc	altercation
has	has	ha
erupted	erupt	erupted
on	on	on
board	board	board
an	an	an
airplane	airplan	airplane
.	.	.

This	this	This
time	time	time
it	it	it
was	was	wa
on	on	on
board	board	board
an	an	an
ANA	ana	ANA
flight	flight	flight
that	that	that
looks	look	look
to	to	to
be	be	be
returning	return	returning
from	from	from
Japan	japan	Japan
,	,	,
according	accord	according
to	to	to
the	the	the
Twitter	twitter	Twitter
timeline	timelin	timeline
of	of	of
the	the	the
man	man	man
who	who	who
took	took	took
the	the	the
video	video	video
.	.	.
In	in	In
the	the	the
video	video	video
you	you	you
can	can	can
see	see	see
two	two	two
men	men	men
in	in	in
an	an	an
all	all	all
-out	-out	-out
brawl	brawl	brawl
,	,	,
fully	fulli	fully
fist	fist	fist
fighting	fight	fighting
.	.	.

As	as	As
of	of	of
now	now	now
,	,	,
there	there	there
is	is	is
no	no	no
known	known	known
reason	reason	reason
why	whi	why
the	the	the
fight	fight	fight
took	took	took
place	place	place
,	,	,
but	but	but
the	the	the
instigator	instig	instigator
seems	seem	seems
to	to	to
shout	shout	shout
America	america	America
!	!	!

and	and	and
You	you	You
think	think	think
I	i	I
m	m	m
crazy	crazi	crazy
?	?	?

What	what	What
about	about	about
the	the	the
government	govern	government
!	!	!

The	the	The
man	man	man
who	who	who
took	took	took
the	the	the
video	video	video
,	,	,
Corey	corey	Corey
Hour	hour	Hour
,	,	,
described	describ	described
the	the	the
event	event	event
in	in	in
a	a	a
series	seri	series
of	of	of
tweets	tweet	tweet
So	so	So
,	,	,
10	10	10
minutes	minut	minute
before	befor	before
take	take	take
off	off	off
a	a	a
passenger	passeng	passenger
starts	start	start
a	a	a
huge	huge	huge
fight	fight	fight
in	in	in
his	his	his
row	row	row
.	.	.

I	i	I
get	get	get
in	in	in
between	between	between
him	him	him
and	and	and
flight	flight	flight
attendants	attend	attendant
,	,	,
but	but	but
he	he	he
won	won	won
t	t	t
1v1	1v1	1v1
me	me	me
.	.	.

Corey	corey	Corey
Hour	hour	Hour
@CoreyHour	@coreyhour	@CoreyHour
May	may	May
1	1	1
,	,	,
2017He	2017he	2017He
yells	yell	yell
,	,	,
You	you	You
think	think	think
I	i	I
m	m	m
crazy	crazi	crazy
?	?	?

What	what	What
about	about	about
the	the	the
government	govern	government
!	!	!

Then	then	Then
exits	exit	exit
the	the	the
plane	plane	plane
.	.	.

1	1	1
.	.	.
5	5	5
hours	hour	hour
later	later	later
and	and	and
we	we	we
finally	final	finally
take	take	take
off	off	off
.	.	.

?	?	?

jfc	jfc	jfc
Corey	corey	Corey
Hour	hour	Hour
@CoreyHour	@coreyhour	@CoreyHour
May	may	May
1	1	1
,	,	,
2017For	2017for	2017For
the	the	the
record	record	record
ANA	ana	ANA
staff	staff	staff
and	and	and
passengers	passeng	passenger
handled	handl	handled
the	the	the
situation	situat	situation
with	with	with
grace	grace	grace
and	and	and
respect	respect	respect
.	.	.

They	they	They
did	did	did
the	the	the
best	best	best
they	they	they
could	could	could
to	to	to
diffuse	diffus	diffuse
the	the	the
situation	situat	situation
.	.	.

Corey	corey	Corey
Hour	hour	Hour
@CoreyHour	@coreyhour	@CoreyHour
May	may	May
2	2	2
,	,	,
2017The	2017the	2017The
video	video	video
ended	end	ended
when	when	when
I	i	I
stepped	step	stepped
in	in	in
confronted	confront	confronted
the	the	the
man	man	man
in	in	in
the	the	the
red	red	red
shirt	shirt	shirt
.	.	.

I	i	I
told	told	told
him	him	him
to	to	to
leave	leav	leave
and	and	and
squared	squar	squared
up	up	up
with	with	with
him	him	him
,	,	,
he	he	he
backed	back	backed
down	down	down
n	n	n
left	left	left
.	.	.

Corey	corey	Corey
Hour	hour	Hour
@CoreyHour	@coreyhour	@CoreyHour
May	may	May
2	2	2
,	,	,
2017As	2017as	2017As
of	of	of
now	now	now
and	and	and
after	after	after
speaking	speak	speaking
with	with	with
the	the	the
other	other	other
passengers	passeng	passenger
the	the	the
motive	motiv	motive
for	for	for
why	whi	why
he	he	he
did	did	did
this	this	this
is	is	is
still	still	still
UNKNOWN	unknown	UNKNOWN
.	.	.

None	none	None
of	of	of
us	us	u
have	have	have
