Floundering	flounder	Floundering
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
went	went	went
off	off	off
on	on	on
an	an	an
unhinged	unhing	unhinged
Twitter	twitter	Twitter
rant	rant	rant
Sunday	sunday	Sunday
morning	morn	morning
,	,	,
where	where	where
he	he	he
blamed	blame	blamed
the	the	the
media	media	medium
for	for	for
his	his	his
plummeting	plummet	plummeting
polling	poll	polling
numbers	number	number
.	.	.
Trump	trump	Trump
began	began	began
his	his	his
rant	rant	rant
by	by	by
targeting	target	targeting
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.
The	the	The
paper	paper	paper
published	publish	published
an	an	an
article	articl	article
entitled	entitl	entitled
Inside	insid	Inside
the	the	the
Failing	fail	Failing
Mission	mission	Mission
to	to	to
Tame	tame	Tame
Trump	trump	Trump
s	s	s
Tongue	tongu	Tongue
on	on	on
Saturday	saturday	Saturday
.	.	.
Trump	trump	Trump
is	is	is
apparently	appar	apparently
furious	furious	furious
with	with	with
The	the	The
Gray	gray	Gray
Lady	ladi	Lady
for	for	for
publishing	publish	publishing
the	the	the
piece	piec	piece
.	.	.
The	the	The
failing	fail	failing
@nytimes	@nytim	@nytimes
has	has	ha
become	becom	become
a	a	a
newspaper	newspap	newspaper
of	of	of
fiction	fiction	fiction
,	,	,
writes	write	writes
Trump	trump	Trump
.	.	.
Their	their	Their
stories	stori	story
about	about	about
me	me	me
always	alway	always
quote	quot	quote
non	non	non
-existent	-exist	-existent
unnamed	unnam	unnamed
sources	sourc	source
.	.	.
Very	veri	Very
dishonest	dishonest	dishonest
!	!	!
The	the	The
failing	fail	failing
@nytimes	@nytim	@nytimes
has	has	ha
become	becom	become
a	a	a
newspaper	newspap	newspaper
of	of	of
fiction	fiction	fiction
.	.	.
Their	their	Their
stories	stori	story
about	about	about
me	me	me
always	alway	always
quote	quot	quote
non	non	non
-existent	-exist	-existent
unnamed	unnam	unnamed
sources	sourc	source
.	.	.
Very	veri	Very
dishonest	dishonest	dishonest
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
13	13	13
,	,	,
2016The	2016the	2016The
article	articl	article
that	that	that
has	has	ha
Trump	trump	Trump
throwing	throw	throwing
a	a	a
temper	temper	temper
tantrum	tantrum	tantrum
that	that	that
primarily	primarili	primarily
focuses	focus	focus
on	on	on
failed	fail	failed
attempts	attempt	attempt
to	to	to
pivot	pivot	pivot
Trump	trump	Trump
more	more	more
towards	toward	towards
the	the	the
middle	middl	middle
.	.	.
Allegedly	alleg	Allegedly
,	,	,
there	there	there
has	has	ha
been	been	been
a	a	a
concentrated	concentr	concentrated
effort	effort	effort
in	in	in
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
to	to	to
tone	tone	tone
down	down	down
his	his	his
rhetoric	rhetor	rhetoric
,	,	,
and	and	and
those	those	those
efforts	effort	effort
have	have	have
failed	fail	failed
.	.	.
A	a	A
strategy	strategi	strategy
like	like	like
this	this	this
is	is	is
fairly	fair	fairly
typical	typic	typical
in	in	in
a	a	a
switch	switch	switch
from	from	from
running	run	running
in	in	in
a	a	a
primary	primari	primary
campaign	campaign	campaign
to	to	to
running	run	running
in	in	in
a	a	a
general	general	general
election	elect	election
.	.	.
If	if	If
you	you	you
re	re	re
a	a	a
Republican	republican	Republican
,	,	,
you	you	you
need	need	need
to	to	to
position	posit	position
yourself	yourself	yourself
to	to	to
the	the	the
right	right	right
of	of	of
your	your	your
opponent	oppon	opponent
s	s	s
to	to	to
rally	ralli	rally
the	the	the
GOP	gop	GOP
s	s	s
conservative	conserv	conservative
base	base	base
.	.	.
Then	then	Then
,	,	,
in	in	in
the	the	the
general	general	general
,	,	,
you	you	you
move	move	move
towards	toward	towards
the	the	the
middle	middl	middle
to	to	to
appeal	appeal	appeal
to	to	to
swing	swing	swing
voters	voter	voter
.	.	.
However	howev	However
,	,	,
it	it	it
s	s	s
Trump	trump	Trump
,	,	,
so	so	so
he	he	he
took	took	took
umbrage	umbrag	umbrage
with	with	with
the	the	the
New	new	New
York	york	York
Times	time	Times
article	articl	article
s	s	s
reporting	report	reporting
on	on	on
the	the	the
matter	matter	matter
,	,	,
saying	say	saying
,	,	,
The	the	The
failing	fail	failing
@nytimes	@nytim	@nytimes
,	,	,
which	which	which
never	never	never
spoke	spoke	spoke
to	to	to
me	me	me
,	,	,
keeps	keep	keep
saying	say	saying
that	that	that
I	i	I
am	am	am
saying	say	saying
to	to	to
advisers	advis	adviser
that	that	that
I	i	I
will	will	will
change	chang	change
.	.	.
False	fals	False
,	,	,
I	i	I
am	am	am
who	who	who
I	i	I
am	am	am
-never	-never	-never
said	said	said
.	.	.
The	the	The
failing	fail	failing
@nytimes	@nytim	@nytimes
,	,	,
which	which	which
never	never	never
spoke	spoke	spoke
to	to	to
me	me	me
,	,	,
keeps	keep	keep
saying	say	saying
that	that	that
I	i	I
am	am	am
saying	say	saying
to	to	to
advisers	advis	adviser
that	that	that
I	i	I
will	will	will
change	chang	change
.	.	.
False	fals	False
,	,	,
I	i	I
am	am	am
who	who	who
I	i	I
am	am	am
-never	-never	-never
said	said	said
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
14	14	14
,	,	,
2016Trump	2016trump	2016Trump
is	is	is
who	who	who
he	he	he
says	say	say
he	he	he
is	is	is
.	.	.
That	that	That
s	s	s
why	whi	why
it	it	it
shouldn	shouldn	shouldn
t	t	t
be	be	be
too	too	too
surprising	surpris	surprising
that	that	that
he	he	he
had	had	had
to	to	to
resort	resort	resort
to	to	to
creating	creat	creating
a	a	a
conspiracy	conspiraci	conspiracy
theory	theori	theory
to	to	to
blame	blame	blame
for	for	for
his	his	his
lousy	lousi	lousy
polling	poll	polling
numbers	number	number
,	,	,
If	if	If
the	the	the
disgusting	disgust	disgusting
and	and	and
corrupt	corrupt	corrupt
media	media	medium
covered	cover	covered
me	me	me
honestly	honest	honestly
and	and	and
didn	didn	didn
t	t	t
put	put	put
false	fals	false
meaning	mean	meaning
into	into	into
the	the	the
words	word	word
I	i	I
say	say	say
,	,	,
I	i	I
would	would	would
be	be	be
beating	beat	beating
Hillary	hillari	Hillary
by	by	by
20	20	20
.	.	.
If	if	If
the	the	the
disgusting	disgust	disgusting
and	and	and
corrupt	corrupt	corrupt
media	media	medium
covered	cover	covered
me	me	me
honestly	honest	honestly
and	and	and
didn't	didn't	didn't
put	put	put
false	fals	false
meaning	mean	meaning
into	into	into
the	the	the
words	word	word
I	i	I
say	say	say
,	,	,
I	i	I
would	would	would
be	be	be
beating	beat	beating
Hillary	hillari	Hillary
by	by	by
20	20	20
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
14	14	14
,	,	,
2016Like	2016like	2016Like
most	most	most
Trump	trump	Trump
Twitter	twitter	Twitter
outbursts	outburst	outburst
,	,	,
it	it	it
can	can	can
be	be	be
hard	hard	hard
to	to	to
examine	examin	examine
such	such	such
obviously	obvious	obviously
flawed	flaw	flawed
logic	logic	logic
seriously	serious	seriously
.	.	.
Sure	sure	Sure
,	,	,
there	there	there
a	a	a
lot	lot	lot
of	of	of
problems	problem	problem
with	with	with
mainstream	mainstream	mainstream
media	media	medium
coverage	coverag	coverage
.	.	.
However	howev	However
,	,	,
those	those	those
problems	problem	problem
have	have	have
only	onli	only
worked	work	worked
to	to	to
help	help	help
Trump	trump	Trump
.	.	.
The	the	The
press	press	press
loves	love	love
a	a	a
gaffe	gaff	gaffe
,	,	,
and	and	and
Trump	trump	Trump
fires	fire	fire
them	them	them
off	off	off
like	like	like
a	a	a
right	right	right
-winger	-winger	-winger
who	who	who
just	just	just
got	got	got
his	his	his
hands	hand	hand
on	on	on
their	their	their
first	first	first
AR	ar	AR
-15	-15	-15
.	.	.
It	it	It
s	s	s
lead	lead	lead
to	to	to
him	him	him
receiving	receiv	receiving
an	an	an
incredible	incred	incredible
number	number	number
of	of	of
free	free	free
media	media	medium
play	play	play
.	.	.
It	it	It
s	s	s
what	what	what
made	made	made
his	his	his
campaign	campaign	campaign
what	what	what
it	it	it
is	is	is
today	today	today
.	.	.
However	howev	However
,	,	,
this	this	this
is	is	is
a	a	a
general	general	general
election	elect	election
and	and	and
that	that	that
strategy	strategi	strategy
just	just	just
does	doe	doe
not	not	not
cut	cut	cut
it	it	it
.	.	.
Now	now	Now
is	is	is
the	the	the
time	time	time
for	for	for
Trump	trump	Trump
to	to	to
act	act	act
like	like	like
a	a	a
real	real	real
politician	politician	politician
.	.	.
Since	sinc	Since
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
have	have	have
any	ani	any
experience	experi	experience
governing	govern	governing
or	or	or
running	run	running
for	for	for
office	offic	office
,	,	,
he	he	he
s	s	s
failing	fail	failing
.	.	.
Trump	trump	Trump
cannot	cannot	cannot
recover	recov	recover
,	,	,
so	so	so
all	all	all
he	he	he
has	has	ha
left	left	left
is	is	is
vague	vagu	vague
conspiracies	conspiraci	conspiracy
to	to	to
blame	blame	blame
.	.	.
Never	never	Never
mind	mind	mind
the	the	the
fact	fact	fact
that	that	that
