Millions	million	Millions
of	of	of
Americans	american	Americans
did	did	did
not	not	not
vote	vote	vote
for	for	for
Donald	donald	Donald
Trump	trump	Trump
on	on	on
Tuesday	tuesday	Tuesday
night	night	night
and	and	and
are	are	are
protesting	protest	protesting
his	his	his
election	elect	election
.	.	.
And	and	And
Trump	trump	Trump
can	can	can
only	onli	only
whine	whine	whine
about	about	about
it	it	it
.	.	.
It	it	It
didn	didn	didn
t	t	t
take	take	take
long	long	long
for	for	for
Trump	trump	Trump
to	to	to
act	act	act
unpresidential	unpresidenti	unpresidential
on	on	on
Twitter	twitter	Twitter
following	follow	following
his	his	his
election	elect	election
victory	victori	victory
.	.	.
Once	onc	Once
he	he	he
got	got	got
his	his	his
phone	phone	phone
back	back	back
from	from	from
his	his	his
aides	aid	aide
,	,	,
Trump	trump	Trump
took	took	took
to	to	to
his	his	his
Twitter	twitter	Twitter
account	account	account
to	to	to
whine	whine	whine
,	,	,
bitch	bitch	bitch
,	,	,
and	and	and
moan	moan	moan
about	about	about
the	the	the
anti	anti	anti
-Trump	-trump	-Trump
protest	protest	protest
movement	movement	movement
.	.	.
Trump	trump	Trump
called	call	called
the	the	the
protests	protest	protest
professional	profession	professional
as	as	a
if	if	if
they	they	they
are	are	are
getting	get	getting
paid	paid	paid
to	to	to
protest	protest	protest
and	and	and
then	then	then
accused	accus	accused
the	the	the
media	media	medium
of	of	of
inciting	incit	inciting
the	the	the
movement	movement	movement
.	.	.
Just	just	Just
had	had	had
a	a	a
very	veri	very
open	open	open
and	and	and
successful	success	successful
presidential	presidenti	presidential
election	elect	election
.	.	.
Now	now	Now
professional	profession	professional
protesters	protest	protester
,	,	,
incited	incit	incited
by	by	by
the	the	the
media	media	medium
,	,	,
are	are	are
protesting	protest	protesting
.	.	.
Very	veri	Very
unfair	unfair	unfair
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
November	novemb	November
11	11	11
,	,	,
2016Yeah	2016yeah	2016Yeah
,	,	,
Trump	trump	Trump
literally	liter	literally
has	has	ha
not	not	not
learned	learn	learned
to	to	to
keep	keep	keep
his	his	his
mouth	mouth	mouth
shut	shut	shut
and	and	and
you	you	you
can	can	can
see	see	see
the	the	the
hypocrisy	hypocrisi	hypocrisy
in	in	in
this	this	this
one	one	one
since	sinc	since
he	he	he
s	s	s
the	the	the
one	one	one
who	who	who
incited	incit	incited
his	his	his
supporters	support	supporter
to	to	to
threaten	threaten	threaten
bloody	bloodi	bloody
violence	violenc	violence
with	with	with
guns	gun	gun
if	if	if
he	he	he
had	had	had
lost	lost	lost
the	the	the
election	elect	election
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
He	he	He
definitely	definit	definitely
would	would	would
not	not	not
be	be	be
calling	call	calling
that	that	that
unfair	unfair	unfair
.	.	.
Needless	needless	Needless
to	to	to
say	say	say
,	,	,
Twitter	twitter	Twitter
users	user	user
found	found	found
Trump	trump	Trump
s	s	s
tweet	tweet	tweet
amusing	amus	amusing
and	and	and
proceeded	proceed	proceeded
to	to	to
humiliate	humili	humiliate
him	him	him
in	in	in
response	respons	response
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
how	how	how
is	is	is
this	this	this
hard	hard	hard
to	to	to
understand	understand	understand
when	when	when
you	you	you
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
?	?	?
many	mani	many
people	peopl	people
don	don	don
t	t	t
like	like	like
you	you	you
!	!	!
James	jame	James
Grebey	grebey	Grebey
@jgrebes	@jgrebe	@jgrebes
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
wait	wait	wait
we	we	we
can	can	can
get	get	get
paid	paid	paid
to	to	to
protest	protest	protest
you	you	you
?	?	?
Enrico	enrico	Enrico
@The700Level	@the700level	@The700Level
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@The700Level	@the700level	@The700Level
@KittyCRodriguez	@kittycrodriguez	@KittyCRodriguez
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
want	want	want
in	in	in
on	on	on
this	this	this
too	too	too
.	.	.
Need	need	Need
to	to	to
save	save	save
up	up	up
money	money	money
before	befor	before
Trump	trump	Trump
takes	take	take
my	my	my
health	health	health
care	care	care
away	away	away
.	.	.
Andrew	andrew	Andrew
Whatever	whatev	Whatever
@xvszero	@xvszero	@xvszero
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Try	tri	Try
listening	listen	listening
to	to	to
the	the	the
protesters	protest	protester
.	.	.
You	you	You
might	might	might
learn	learn	learn
a	a	a
lot	lot	lot
about	about	about
the	the	the
nation	nation	nation
you	you	you
are	are	are
about	about	about
to	to	to
lead	lead	lead
.	.	.
Dave	dave	Dave
Hogg	hogg	Hogg
?	?	?
@Stareagle	@stareagl	@Stareagle
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
was	was	wa
one	one	one
of	of	of
those	those	those
protestors	protestor	protestors
.	.	.
Not	not	Not
a	a	a
professional	profession	professional
.	.	.
Did	did	Did
it	it	it
because	becaus	because
I	i	I
believed	believ	believed
in	in	in
it	it	it
.	.	.
Heard	heard	Heard
about	about	about
it	it	it
through	through	through
friends	friend	friend
.	.	.
Tom	tom	Tom
Coates	coat	Coates
@tomcoates	@tomcoat	@tomcoates
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
that	that	that
s	s	s
democracy	democraci	democracy
,	,	,
dude	dude	dude
.	.	.
You	you	You
re	re	re
answerable	answer	answerable
to	to	to
the	the	the
people	peopl	people
now	now	now
.	.	.
They	they	They
re	re	re
allowed	allow	allowed
to	to	to
protest	protest	protest
.	.	.
Dan	dan	Dan
Hatch	hatch	Hatch
@Daniel_Hatch	@daniel_hatch	@Daniel_Hatch
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
will	will	will
finish	finish	finish
what	what	what
you	you	you
started	start	started
pic.twitter.com/xsEE7mwEat	pic.twitter.com/xsee7mweat	pic.twitter.com/xsEE7mwEat
Emo	emo	Emo
Kylo	kylo	Kylo
Ren	ren	Ren
@KyIoR3n	@kyior3n	@KyIoR3n
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
They	they	They
re	re	re
still	still	still
allowed	allow	allowed
to	to	to
dislike	dislik	dislike
you	you	you
,	,	,
Donald	donald	Donald
.	.	.
Tom	tom	Tom
Bonier	bonier	Bonier
@tbonier	@tbonier	@tbonier
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Your	your	Your
deplorables	deplor	deplorables
are	are	are
the	the	the
least	least	least
evolved	evolv	evolved
of	of	of
the	the	the
human	human	human
species	speci	specie
.	.	.
Big	big	Big
Lee	lee	Lee
?	?	?
?	?	?
@StopTrumpBigly	@stoptrumpbig	@StopTrumpBigly
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
We	we	We
are	are	are
Americans	american	Americans
.	.	.
We	we	We
are	are	are
allowed	allow	allowed
to	to	to
protest	protest	protest
.	.	.
It	it	It
s	s	s
not	not	not
unfair	unfair	unfair
,	,	,
it	it	it
s	s	s
in	in	in
the	the	the
Constitution	constitut	Constitution
.	.	.
billy	billi	billy
eichner	eichner	eichner
@billyeichner	@billyeichn	@billyeichner
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Protesting	protest	Protesting
is	is	is
a	a	a
constitutional	constitut	constitutional
right	right	right
.	.	.
Also	also	Also
,	,	,
now	now	now
that	that	that
you	you	you
are	are	are
President	presid	President
-elect	-elect	-elect
,	,	,
your	your	your
lies	lie	lie
