Civil	civil	Civil
political	polit	political
discourse	discours	discourse
took	took	took
a	a	a
beating	beat	beating
in	in	in
West	west	West
Virginia	virginia	Virginia
this	this	this
weekend	weekend	weekend
when	when	when
a	a	a
Democratic	democrat	Democratic
senator	senat	senator
profanely	profan	profanely
proclaimed	proclaim	proclaimed
that	that	that
he	he	he
was	was	wa
going	go	going
to	to	to
vote	vote	vote
the	the	the
way	way	way
he	he	he
wanted	want	wanted
and	and	and
didn	didn	didn
t	t	t
give	give	give
a	a	a
s	s	s
t	t	t
if	if	if
it	it	it
cost	cost	cost
him	him	him
his	his	his
seat	seat	seat
.	.	.

I	i	I
don	don	don
t	t	t
give	give	give
a	a	a
s	s	s
t	t	t
,	,	,
you	you	you
understand	understand	understand
?	?	?

I	i	I
just	just	just
don	don	don
t	t	t
give	give	give
a	a	a
s	s	s
t	t	t
,	,	,
Sen	sen	Sen
.	.	.

Joe	joe	Joe
Manchin	manchin	Manchin
told	told	told
the	the	the
Charleston	charleston	Charleston
Gazette	gazett	Gazette
-Mail	-mail	-Mail
on	on	on
Sunday	sunday	Sunday
,	,	,
saying	say	saying
he	he	he
wasn	wasn	wasn
t	t	t
going	go	going
to	to	to
toe	toe	toe
his	his	his
party	parti	party
s	s	s
line	line	line
on	on	on
every	everi	every
issue	issu	issue
.	.	.

Don	don	Don
t	t	t
care	care	care
if	if	if
I	i	I
get	get	get
elected	elect	elected
,	,	,
don	don	don
t	t	t
care	care	care
if	if	if
I	i	I
get	get	get
defeated	defeat	defeated
,	,	,
how	how	how
about	about	about
that	that	that
.	.	.

If	if	If
they	they	they
think	think	think
because	becaus	because
I	i	I
m	m	m
up	up	up
for	for	for
election	elect	election
,	,	,
that	that	that
I	i	I
can	can	can
be	be	be
wrangled	wrangl	wrangled
into	into	into
voting	vote	voting
for	for	for
s	s	s
t	t	t
that	that	that
I	i	I
don	don	don
t	t	t
like	like	like
and	and	and
can	can	can
t	t	t
explain	explain	explain
,	,	,
they	they	they
re	re	re
all	all	all
crazy	crazi	crazy
,	,	,
he	he	he
continued	continu	continued
.	.	.

I	i	I
m	m	m
not	not	not
scared	scare	scared
of	of	of
an	an	an
election	elect	election
,	,	,
let	let	let
s	s	s
put	put	put
it	it	it
that	that	that
way	way	way
.	.	.

Elections	elect	Elections
do	do	do
not	not	not
bother	bother	bother
me	me	me
or	or	or
scare	scare	scare
me	me	me
,	,	,
he	he	he
said	said	said
.	.	.

I	i	I
m	m	m
going	go	going
to	to	to
continue	continu	continue
to	to	to
do	do	do
the	the	the
same	same	same
thing	thing	thing
I	i	I
ve	ve	ve
always	alway	always
done	done	done
,	,	,
extremely	extrem	extremely
independent	independ	independent
.	.	.

President	presid	President
Trump	trump	Trump
won	won	won
West	west	West
Virginia	virginia	Virginia
by	by	by
a	a	a
mile	mile	mile
,	,	,
and	and	and
Democratic	democrat	Democratic
Gov	gov	Gov
.	.	.

Jim	jim	Jim
Justice	justic	Justice
pointedly	point	pointedly
switched	switch	switched
teams	team	team
and	and	and
joined	join	joined
the	the	the
GOP	gop	GOP
at	at	at
a	a	a
Trump	trump	Trump
campaign	campaign	campaign
rally	ralli	rally
in	in	in
the	the	the
state	state	state
last	last	last
week	week	week
.	.	.
Watch	watch	Watch
Governor	governor	Governor
Justice	justic	Justice
announce	announc	announce
that	that	that
he	he	he
s	s	s
switching	switch	switching
parties	parti	party
at	at	at
the	the	the
Trump	trump	Trump
rally	ralli	rally
last	last	last
week	week	week
West	west	West
Virginia	virginia	Virginia
Democratic	democrat	Democratic
Governor	governor	Governor
Jim	jim	Jim
Justice	justic	Justice
announces	announc	announces
that	that	that
he	he	he
is	is	is
switching	switch	switching
parties	parti	party
to	to	to
GOP	gop	GOP
https://t.co/io13ugk6KD	https://t.co/io13ugk6kd	https://t.co/io13ugk6KD
https://t.co/GZkqWBJ6z3	https://t.co/gzkqwbj6z3	https://t.co/GZkqWBJ6z3
NBC	nbc	NBC
News	news	News
@NBCNews	@nbcnew	@NBCNews
August	august	August
3	3	3
,	,	,
2017Manchin	2017manchin	2017Manchin
s	s	s
angry	angri	angry
comments	comment	comment
followed	follow	followed
a	a	a
slam	slam	slam
from	from	from
GOP	gop	GOP
senatorial	senatori	senatorial
candidate	candid	candidate
Patrick	patrick	Patrick
Morrisey	morrisey	Morrisey
,	,	,
who	who	who
called	call	called
for	for	for
the	the	the
incumbent	incumb	incumbent
to	to	to
resign	resign	resign
from	from	from
the	the	the
Democratic	democrat	Democratic
leadership	leadership	leadership
.	.	.
Morrisey	morrisey	Morrisey
cited	cite	cited
Manchin	manchin	Manchin
s	s	s
refusal	refus	refusal
to	to	to
sign	sign	sign
onto	onto	onto
a	a	a
letter	letter	letter
establishing	establish	establishing
Democrats	democrat	Democrats
three	three	three
main	main	main
policy	polici	policy
points	point	point
on	on	on
tax	tax	tax
reform	reform	reform
,	,	,
The	the	The
Hill	hill	Hill
reported	report	reported
.	.	.
Manchin	manchin	Manchin
was	was	wa
one	one	one
of	of	of
three	three	three
Democrats	democrat	Democrats
in	in	in
the	the	the
Senate	senat	Senate
who	who	who
didn	didn	didn
t	t	t
sign	sign	sign
the	the	the
letter	letter	letter
.	.	.
He	he	He
explained	explain	explained
that	that	that
he	he	he
agreed	agre	agreed
with	with	with
the	the	the
party	parti	party
platform	platform	platform
but	but	but
wanted	want	wanted
party	parti	party
leaders	leader	leader
to	to	to
get	get	get
Republicans	republican	Republicans
on	on	on
board	board	board
.	.	.

NYP	nyp	NYP

