Alleged	alleg	Alleged
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
announced	announc	announced
on	on	on
his	his	his
Twitter	twitter	Twitter
timeline	timelin	timeline
that	that	that
he	he	he
and	and	and
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
discussed	discuss	discussed
forming	form	forming
a	a	a
cybersecurity	cybersecur	cybersecurity
unit	unit	unit
and	and	and
that	that	that
s	s	s
like	like	like
joining	join	joining
forces	forc	force
with	with	with
a	a	a
pedophile	pedophil	pedophile
to	to	to
combat	combat	combat
child	child	child
abuse	abus	abuse
.	.	.
Russia	russia	Russia
not	not	not
only	onli	only
interfered	interf	interfered
with	with	with
our	our	our
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
but	but	but
they	they	they
also	also	also
breached	breach	breached
more	more	more
than	than	than
a	a	a
dozen	dozen	dozen
power	power	power
plants	plant	plant
,	,	,
including	includ	including
a	a	a
nuclear	nuclear	nuclear
facility	facil	facility
in	in	in
Kansas	kansa	Kansas
.	.	.
Even	even	Even
spineless	spineless	spineless
Sen	sen	Sen
.	.	.
Marco	marco	Marco
Rubio	rubio	Rubio
R	r	R
-Fla	-fla	-Fla
.	.	.
has	has	ha
had	had	had
it	it	it
with	with	with
Trump	trump	Trump
s	s	s
newest	newest	newest
idea	idea	idea
.	.	.
On	on	On
Sunday	sunday	Sunday
,	,	,
Rubio	rubio	Rubio
took	took	took
to	to	to
his	his	his
Twitter	twitter	Twitter
account	account	account
to	to	to
unleash	unleash	unleash
a	a	a
series	seri	series
of	of	of
tweets	tweet	tweet
to	to	to
blast	blast	blast
Trump	trump	Trump
s	s	s
insane	insan	insane
announcement	announc	announcement
.	.	.
The	the	The
Florida	florida	Florida
senator	senat	senator
said	said	said
Putin	putin	Putin
can	can	can
never	never	never
be	be	be
a	a	a
trusted	trust	trusted
ally	alli	ally
or	or	or
a	a	a
reliable	reliabl	reliable
partner	partner	partner
.	.	.
While	while	While
reality	realiti	reality
pragmatism	pragmat	pragmatism
requires	requir	requires
that	that	that
we	we	we
engage	engag	engage
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
he	he	he
will	will	will
never	never	never
be	be	be
a	a	a
trusted	trust	trusted
ally	alli	ally
or	or	or
a	a	a
reliable	reliabl	reliable
constructive	construct	constructive
partner	partner	partner
,	,	,
Rubio	rubio	Rubio
tweeted	tweet	tweeted
.	.	.
While	while	While
reality	realiti	reality
pragmatism	pragmat	pragmatism
requires	requir	requires
that	that	that
we	we	we
engage	engag	engage
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
he	he	he
will	will	will
never	never	never
be	be	be
a	a	a
trusted	trust	trusted
ally	alli	ally
or	or	or
a	a	a
reliable	reliabl	reliable
constructive	construct	constructive
partner	partner	partner
.	.	.
1	1	1
3	3	3
Marco	marco	Marco
Rubio	rubio	Rubio
@marcorubio	@marcorubio	@marcorubio
July	juli	July
9	9	9
,	,	,
2017	2017	2017
Partnering	partner	Partnering
with	with	with
Putin	putin	Putin
on	on	on
a	a	a
Cyber	cyber	Cyber
Security	secur	Security
Unit	unit	Unit
is	is	is
akin	akin	akin
to	to	to
partnering	partner	partnering
with	with	with
Assad	assad	Assad
on	on	on
a	a	a
Chemical	chemic	Chemical
Weapons	weapon	Weapons
Unit	unit	Unit
.	.	.
We	we	We
have	have	have
no	no	no
quarrel	quarrel	quarrel
with	with	with
Russia	russia	Russia
or	or	or
the	the	the
Russian	russian	Russian
people	peopl	people
.	.	.
Problem	problem	Problem
is	is	is
with	with	with
Putin	putin	Putin
his	his	his
oppression	oppress	oppression
,	,	,
war	war	war
crimes	crime	crime
interference	interfer	interference
in	in	in
our	our	our
elections	elect	election
,	,	,
he	he	he
continued	continu	continued
.	.	.
Partnering	partner	Partnering
with	with	with
Putin	putin	Putin
on	on	on
a	a	a
Cyber	cyber	Cyber
Security	secur	Security
Unit	unit	Unit
is	is	is
akin	akin	akin
to	to	to
partnering	partner	partnering
with	with	with
Assad	assad	Assad
on	on	on
a	a	a
Chemical	chemic	Chemical
Weapons	weapon	Weapons
Unit	unit	Unit
.	.	.
2	2	2
3	3	3
Marco	marco	Marco
Rubio	rubio	Rubio
@marcorubio	@marcorubio	@marcorubio
July	juli	July
9	9	9
,	,	,
