Rumors	rumor	Rumors
continue	continu	continue
to	to	to
swirl	swirl	swirl
around	around	around
West	west	West
Virginia	virginia	Virginia
Senator	senat	Senator
Joe	joe	Joe
Manchin	manchin	Manchin
who	who	who
told	told	told
voters	voter	voter
during	dure	during
a	a	a
Facebook	facebook	Facebook
live	live	live
Q	q	Q
A	a	A
that	that	that
he	he	he
thinks	think	think
NFL	nfl	NFL
owners	owner	owner
should	should	should
step	step	step
in	in	in
and	and	and
tell	tell	tell
players	player	player
protesting	protest	protesting
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
they	they	they
won	won	won
t	t	t
tolerate	toler	tolerate
it	it	it
.	.	.
The	the	The
Democrat	democrat	Democrat
Senator	senat	Senator
has	has	ha
been	been	been
brushing	brush	brushing
off	off	off
talk	talk	talk
that	that	that
he	he	he
s	s	s
switching	switch	switching
parties	parti	party
to	to	to
become	becom	become
a	a	a
Republican	republican	Republican
.	.	.
He	he	He
often	often	often
agrees	agre	agrees
with	with	with
the	the	the
Republican	republican	Republican
party	parti	party
and	and	and
has	has	ha
recently	recent	recently
commented	comment	commented
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
give	give	give
a	a	a
sh	sh	sh
t	t	t
if	if	if
he	he	he
s	s	s
reelected	reelect	reelected
.	.	.
Manchin	manchin	Manchin
came	came	came
down	down	down
on	on	on
the	the	the
side	side	side
of	of	of
the	the	the
president	presid	president
in	in	in
the	the	the
NFL	nfl	NFL
controversy	controversi	controversy
and	and	and
had	had	had
some	some	some
heartfelt	heartfelt	heartfelt
comments	comment	comment
about	about	about
why	whi	why
he	he	he
stands	stand	stand
for	for	for
our	our	our
anthem	anthem	anthem
.	.	.
He	he	He
called	call	called
on	on	on
the	the	the
NFL	nfl	NFL
owners	owner	owner
to	to	to
address	address	address
the	the	the
disrespect	disrespect	disrespect
in	in	in
kneeling	kneel	kneeling
during	dure	during
the	the	the
anthem	anthem	anthem
SENATOR	senat	SENATOR
JOE	joe	JOE
MANCHIN	manchin	MANCHIN
This	this	This
is	is	is
something	someth	something
the	the	the
owners	owner	owner
have	have	have
to	to	to
address	address	address
.	.	.
The	the	The
owners	owner	owner
of	of	of
these	these	these
football	footbal	football
teams	team	team
,	,	,
that	that	that
have	have	have
these	these	these
contracts	contract	contract
with	with	with
these	these	these
players	player	player
and	and	and
the	the	the
conditions	condit	condition
these	these	these
players	player	player
are	are	are
going	go	going
to	to	to
be	be	be
playing	play	playing
under	under	under
,	,	,
has	has	ha
to	to	to
step	step	step
in	in	in
here	here	here
and	and	and
say	say	say
,	,	,
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
tolerate	toler	tolerate
it	it	it
.	.	.
The	the	The
only	onli	only
thing	thing	thing
that	that	that
you	you	you
and	and	and
I	i	I
can	can	can
do	do	do
right	right	right
now	now	now
is	is	is
turn	turn	turn
off	off	off
the	the	the
TV	tv	TV
if	if	if
you	you	you
don	don	don
t	t	t
want	want	want
to	to	to
watch	watch	watch
,	,	,
don	don	don
t	t	t
go	go	go
to	to	to
the	the	the
game	game	game
if	if	if
that	that	that
s	s	s
a	a	a
team	team	team
you	you	you
don	don	don
t	t	t
respect	respect	respect
for	for	for
whatever	whatev	whatever
reason	reason	reason
.	.	.
I	i	I
think	think	think
everyone	everyon	everyone
should	should	should
stand	stand	stand
and	and	and
show	show	show
respect	respect	respect
for	for	for
the	the	the
flag	flag	flag
that	that	that
represents	repres	represents
the	the	the
greatest	greatest	greatest
nation	nation	nation
on	on	on
earth	earth	earth
that	that	that
s	s	s
shed	shed	shed
more	more	more
blood	blood	blood
and	and	and
lost	lost	lost
more	more	more
lives	live	life
for	for	for
the	the	the
cause	caus	cause
of	of	of
freedom	freedom	freedom
that	that	that
you	you	you
and	and	and
I	i	I
enjoy	enjoy	enjoy
.	.	.
HEARTFELT	heartfelt	HEARTFELT
COMMENTS	comment	COMMENTS
ON	on	ON
THE	the	THE
RIGHT	right	RIGHT
THING	thing	THING
TO	to	TO
DO	do	DO
Senator	senat	Senator
Manchin	manchin	Manchin
spoke	spoke	spoke
about	about	about
why	whi	why
he	he	he
believes	believ	belief
this	this	this
is	is	is
the	the	the
right	right	right
thing	thing	thing
to	to	to
do	do	do
When	when	When
I	i	I
was	was	wa
a	a	a
young	young	young
person	person	person
it	it	it
was	was	wa
just	just	just
taught	taught	taught
to	to	to
me	me	me
that	that	that
was	was	wa
the	the	the
right	right	right
thing	thing	thing
to	to	to
do	do	do
.	.	.
When	when	When
I	i	I
got	got	got
older	older	older
and	and	and
I	i	I
realized	realiz	realized
all	all	all
the	the	the
sacrifices	sacrific	sacrifice
that	that	that
were	were	were
made	made	made
for	for	for
me	me	me
people	peopl	people
that	that	that
went	went	went
to	to	to
war	war	war
,	,	,
people	peopl	people
that	that	that
didn	didn	didn
t	t	t
return	return	return
when	when	when
I	i	I
realized	realiz	realized
all	all	all
of	of	of
that	that	that
,	,	,
I	i	I
said	said	said
that	that	that
s	s	s
my	my	my
patriotic	patriot	patriotic
duty	duti	duty
that	that	that
I	i	I
can	can	can
say	say	say
thank	thank	thank
you	you	you
for	for	for
the	the	the
flag	flag	flag
that	that	that
represents	repres	represents
the	the	the
greatest	greatest	greatest
country	countri	country
on	on	on
earth	earth	earth
.	.	.
Well	well	Well
said	said	said
!	!	!
