LOL	lol	LOL
!	!	!
This	this	This
group	group	group
gets	get	get
raided	raid	raided
for	for	for
suspicion	suspicion	suspicion
of	of	of
massive	massiv	massive
voter	voter	voter
fraud	fraud	fraud
,	,	,
and	and	and
their	their	their
defense	defens	defense
is	is	is
that	that	that
the	the	the
Republican	republican	Republican
Secretary	secretari	Secretary
of	of	of
State	state	State
and	and	and
of	of	of
course	cours	course
the	the	the
police	polic	police
,	,	,
are	are	are
responsible	respons	responsible
for	for	for
preventing	prevent	preventing
45	45	45
,	,	,
000	000	000
African	african	African
Americans	american	Americans
from	from	from
voting	vote	voting
?	?	?
And	and	And
you	you	you
know	know	know
what	what	what
s	s	s
even	even	even
scarier	scarier	scarier
?	?	?
Indiana	indiana	Indiana
s	s	s
not	not	not
even	even	even
a	a	a
state	state	state
that	that	that
should	should	should
be	be	be
in	in	in
play	play	play
for	for	for
the	the	the
Democrats	democrat	Democrats
.	.	.
Just	just	Just
imagine	imagin	imagine
how	how	how
they	they	they
ve	ve	ve
been	been	been
organizing	organ	organizing
in	in	in
the	the	the
swing	swing	swing
states	state	state
where	where	where
the	the	the
vote	vote	vote
is	is	is
expected	expect	expected
to	to	to
be	be	be
close	close	close
.	.	.
Pretty	pretti	Pretty
scary	scari	scary
stuff	stuff	stuff
Indiana	indiana	Indiana
police	polic	police
raided	raid	raided
the	the	the
offices	offic	office
of	of	of
the	the	the
Indiana	indiana	Indiana
Voter	voter	Voter
Registration	registr	Registration
Project	project	Project
in	in	in
north	north	north
Indianapolis	indianapoli	Indianapolis
on	on	on
Tuesday	tuesday	Tuesday
in	in	in
a	a	a
growing	grow	growing
voter	voter	voter
fraud	fraud	fraud
case	case	case
.	.	.
It	it	It
is	is	is
not	not	not
clear	clear	clear
who	who	who
established	establish	established
or	or	or
funded	fund	funded
the	the	the
Indiana	indiana	Indiana
Voter	voter	Voter
Registration	registr	Registration
Project	project	Project
.	.	.
However	howev	However
,	,	,
the	the	the
group	group	group
released	releas	released
a	a	a
statement	statement	statement
through	through	through
spokeswoman	spokeswoman	spokeswoman
Christy	christi	Christy
Setzer	setzer	Setzer
,	,	,
whose	whose	whose
PR	pr	PR
firm	firm	firm
s	s	s
website	websit	website
says	say	say
she	she	she
has	has	ha
worked	work	worked
as	as	a
a	a	a
Democratic	democrat	Democratic
strategist	strategist	strategist
for	for	for
the	the	the
presidential	presidenti	presidential
campaigns	campaign	campaign
of	of	of
Al	al	Al
Gore	gore	Gore
,	,	,
Howard	howard	Howard
Dean	dean	Dean
and	and	and
Chris	chris	Chris
Dodd	dodd	Dodd
.	.	.
Indiana	indiana	Indiana
State	state	State
Police	polic	Police
investigators	investig	investigator
on	on	on
Tuesday	tuesday	Tuesday
searched	search	searched
a	a	a
voter	voter	voter
registration	registr	registration
agency	agenc	agency
on	on	on
Indianapolis	indianapoli	Indianapolis
north	north	north
side	side	side
as	as	a
they	they	they
look	look	look
into	into	into
a	a	a
voter	voter	voter
fraud	fraud	fraud
case	case	case
that	that	that
spans	span	span
nine	nine	nine
counties	counti	county
.	.	.
The	the	The
investigation	investig	investigation
began	began	began
in	in	in
late	late	late
August	august	August
when	when	when
police	polic	police
learned	learn	learned
of	of	of
the	the	the
filing	file	filing
of	of	of
fraudulent	fraudul	fraudulent
voter	voter	voter
registration	registr	registration
forms	form	form
in	in	in
Marion	marion	Marion
