Democratic	democrat	Democratic
Senator	senat	Senator
Al	al	Al
Franken	franken	Franken
who	who	who
has	has	ha
been	been	been
accused	accus	accused
of	of	of
kissing	kiss	kissing
a	a	a
woman	woman	woman
without	without	without
her	her	her
consent	consent	consent
and	and	and
pretending	pretend	pretending
to	to	to
grope	grope	grope
her	her	her
in	in	in
a	a	a
photo	photo	photo
once	onc	once
pitched	pitch	pitched
an	an	an
SNL	snl	SNL
sketch	sketch	sketch
about	about	about
raping	rape	raping
a	a	a
journalist	journalist	journalist
,	,	,
it	it	it
has	has	ha
emerged	emerg	emerged
.	.	.
The	the	The
remarks	remark	remark
were	were	were
made	made	made
in	in	in
1995	1995	1995
,	,	,
when	when	when
Franken	franken	Franken
and	and	and
other	other	other
writers	writer	writer
on	on	on
the	the	the
show	show	show
were	were	were
working	work	working
up	up	up
a	a	a
sketch	sketch	sketch
about	about	about
then	then	then
-60	-60	-60
Minutes	minut	Minutes
host	host	host
Andy	andi	Andy
Rooney	rooney	Rooney
finding	find	finding
a	a	a
bottle	bottl	bottle
of	of	of
pills	pill	pill
in	in	in
his	his	his
desk	desk	desk
,	,	,
New	new	New
York	york	York
Magazine	magazin	Magazine
reported	report	reported
at	at	at
the	the	the
time	time	time
.	.	.
As	as	As
the	the	the
team	team	team
batted	bat	batted
ideas	idea	idea
around	around	around
,	,	,
Franken	franken	Franken
suggested	suggest	suggested
that	that	that
the	the	the
pills	pill	pill
might	might	might
be	be	be
used	use	used
by	by	by
Rooney	rooney	Rooney
to	to	to
drug	drug	drug
Lesley	lesley	Lesley
Stahl	stahl	Stahl
at	at	at
which	which	which
point	point	point
he	he	he
would	would	would
take	take	take
her	her	her
to	to	to
the	the	the
closet	closet	closet
and	and	and
rape	rape	rape
her	her	her
.	.	.
The	the	The
sketch	sketch	sketch
was	was	wa
part	part	part
of	of	of
an	an	an
ongoing	ongo	ongoing
series	seri	series
in	in	in
which	which	which
Norm	norm	Norm
Macdonald	macdonald	Macdonald
portrayed	portray	portrayed
Rooney	rooney	Rooney
as	as	a
an	an	an
out	out	out
-of-touch	-of-touch	-of-touch
misanthrope	misanthrop	misanthrope
with	with	with
a	a	a
tenuous	tenuous	tenuous
grasp	grasp	grasp
on	on	on
reality	realiti	reality
.	.	.
Macdonald	macdonald	Macdonald
had	had	had
suggested	suggest	suggested
that	that	that
Rooney	rooney	Rooney
could	could	could
say	say	say
I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
the	the	the
pills	pill	pill
are	are	are
for	for	for
what	what	what
I	i	I
do	do	do
know	know	know
is	is	is
,	,	,
the	the	the
bottle	bottl	bottle
is	is	is
mostly	most	mostly
filled	fill	filled
with	with	with
cotton	cotton	cotton
.	.	.
Franken	franken	Franken
then	then	then
chipped	chip	chipped
in	in	in
with	with	with
And	and	And
,	,	,
I	i	I
give	give	give
the	the	the
pills	pill	pill
to	to	to
Lesley	lesley	Lesley
Stahl	stahl	Stahl
.	.	.
Then	then	Then
,	,	,
when	when	when
Lesley	lesley	Lesley
s	s	s
passed	pass	passed
out	out	out
,	,	,
I	i	I
take	take	take
her	her	her
to	to	to
the	the	the
closet	closet	closet
and	and	and
rape	rape	rape
her	her	her
.	.	.
Or	or	Or
,	,	,
That	that	That
s	s	s
why	whi	why
you	you	you
never	never	never
see	see	see
Lesley	lesley	Lesley
until	until	until
February	februari	February
.	.	.
Or	or	Or
,	,	,
When	when	When
she	she	she
passes	pass	pass
out	out	out
,	,	,
I	i	I
put	put	put
her	her	her
in	in	in
various	various	various
positions	posit	position
and	and	and
take	take	take
pictures	pictur	picture
of	of	of
her	her	her
.	.	.
Stahl	stahl	Stahl
was	was	wa
a	a	a
contributor	contributor	contributor
to	to	to
60	60	60
Minutes	minut	Minutes
at	at	at
the	the	the
time	time	time
.	.	.
Macdonald	macdonald	Macdonald
then	then	then
asked	ask	asked
,	,	,
