Although	although	Although
most	most	most
of	of	of
America	america	America
did	did	did
not	not	not
want	want	want
Donald	donald	Donald
Trump	trump	Trump
to	to	to
be	be	be
the	the	the
country	countri	country
s	s	s
next	next	next
President	presid	President
,	,	,
many	mani	many
of	of	of
us	us	u
were	were	were
holding	hold	holding
on	on	on
to	to	to
hope	hope	hope
that	that	that
we	we	we
might	might	might
see	see	see
an	an	an
improved	improv	improved
version	version	version
of	of	of
what	what	what
we	we	we
witnessed	wit	witnessed
during	dure	during
the	the	the
former	former	former
reality	realiti	reality
TV	tv	TV
star	star	star
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
Trump	trump	Trump
and	and	and
his	his	his
team	team	team
are	are	are
proving	prove	proving
to	to	to
be	be	be
worse	wors	worse
than	than	than
we	we	we
thought	thought	thought
,	,	,
and	and	and
they	they	they
re	re	re
only	onli	only
churning	churn	churning
out	out	out
more	more	more
fear	fear	fear
mongering	monger	mongering
and	and	and
lies	lie	lie
during	dure	during
his	his	his
first	first	first
week	week	week
in	in	in
office	offic	office
.	.	.
New	new	New
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
has	has	ha
continuously	continu	continuously
been	been	been
backing	back	backing
up	up	up
Trump	trump	Trump
s	s	s
voter	voter	voter
fraud	fraud	fraud
claims	claim	claim
since	sinc	since
starting	start	starting
his	his	his
new	new	new
position	posit	position
.	.	.

Trump	trump	Trump
has	has	ha
been	been	been
trying	tri	trying
to	to	to
convince	convinc	convince
America	america	America
that	that	that
millions	million	million
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
voted	vote	voted
in	in	in
the	the	the
2016	2016	2016
election	elect	election
,	,	,
and	and	and
Spicer	spicer	Spicer
has	has	ha
doubled	doubl	doubled
down	down	down
on	on	on
those	those	those
comments	comment	comment
recently	recent	recently
.	.	.

Fortunately	fortun	Fortunately
,	,	,
the	the	the
media	media	medium
has	has	ha
been	been	been
on	on	on
top	top	top
of	of	of
it	it	it
,	,	,
obviously	obvious	obviously
frustrated	frustrat	frustrated
at	at	at
the	the	the
lack	lack	lack
of	of	of
transparency	transpar	transparency
from	from	from
the	the	the
new	new	new
President	presid	President
.	.	.

As	as	As
Spicer	spicer	Spicer
lied	lie	lied
his	his	his
ass	ass	as
off	off	off
on	on	on
national	nation	national
television	televis	television
,	,	,
MSNBC	msnbc	MSNBC
s	s	s
Katy	kati	Katy
Tur	tur	Tur
fact	fact	fact
-checked	-check	-checked
him	him	him
in	in	in
real	real	real
time	time	time
,	,	,
and	and	and
it	it	it
was	was	wa
pretty	pretti	pretty
amazing	amaz	amazing
.	.	.

Despite	despit	Despite
having	have	having
zero	zero	zero
actual	actual	actual
evidence	evid	evidence
that	that	that
voter	voter	voter
fraud	fraud	fraud
occurred	occur	occurred
,	,	,
Spicer	spicer	Spicer
said	said	said
I	i	I
think	think	think
there	there	there
s	s	s
been	been	been
studies	studi	study
that	that	that
came	came	came
from	from	from
Pew	pew	Pew
in	in	in
2008	2008	2008
that	that	that
showed	show	showed
fourteen	fourteen	fourteen
percent	percent	percent
of	of	of
people	peopl	people
who	who	who
voted	vote	voted
were	were	were
not	not	not
citizens	citizen	citizen
.	.	.

There	there	There
are	are	are
other	other	other
studies	studi	study
that	that	that
have	have	have
been	been	been
presented	present	presented
to	to	to
him	him	him
.	.	.

It	it	It
s	s	s
a	a	a
belief	belief	belief
he	he	he
maintains	maintain	maintains
The	the	The
President	presid	President
does	doe	doe
believe	believ	believe
that	that	that
,	,	,
I	i	I
think	think	think
he	he	he
s	s	s
stated	state	stated
that	that	that
before	befor	before
,	,	,
and	and	and
stated	state	stated
his	his	his
concern	concern	concern
of	of	of
voter	voter	voter
fraud	fraud	fraud
and	and	and
people	peopl	people
voting	vote	voting
illegally	illeg	illegally
during	dure	during
the	the	the
campaign	campaign	campaign
and	and	and
continues	continu	continues
to	to	to
maintain	maintain	maintain
that	that	that
belief	belief	belief
based	base	based
on	on	on
studies	studi	study
and	and	and
evidence	evid	evidence
people	peopl	people
have	have	have
brought	brought	brought
to	to	to
him	him	him
.	.	.

Here	here	Here
s	s	s
what	what	what
Tur	tur	Tur
said	said	said
as	as	a
she	she	she
fact	fact	fact
-checked	-check	-checked
Spicer	spicer	Spicer
on	on	on
air	air	air
We	we	We
want	want	want
to	to	to
do	do	do
a	a	a
little	littl	little
bit	bit	bit
of	of	of
fact	fact	fact
checking	check	checking
on	on	on
that	that	that
statement	statement	statement
because	becaus	because
the	the	the
White	white	White
House	hous	House
now	now	now
