Rachel	rachel	Rachel
Maddow	maddow	Maddow
decided	decid	decided
to	to	to
scrap	scrap	scrap
a	a	a
segment	segment	segment
and	and	and
go	go	go
off	off	off
-script	-script	-script
to	to	to
warn	warn	warn
her	her	her
viewers	viewer	viewer
about	about	about
Lieutenant	lieuten	Lieutenant
General	general	General
Michael	michael	Michael
Flynn	flynn	Flynn
.	.	.

Donald	donald	Donald
Trump	trump	Trump
has	has	ha
offered	offer	offered
Flynn	flynn	Flynn
the	the	the
position	posit	position
of	of	of
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
and	and	and
the	the	the
MSNBC	msnbc	MSNBC
host	host	host
finds	find	find
this	this	this
revelation	revel	revelation
too	too	too
worrying	worri	worrying
to	to	to
put	put	put
off	off	off
discussing	discuss	discussing
.	.	.

At	at	At
this	this	this
point	point	point
in	in	in
the	the	the
show	show	show
,	,	,
I	i	I
had	had	had
something	someth	something
else	els	else
we	we	we
were	were	were
going	go	going
to	to	to
cover	cover	cover
,	,	,
but	but	but
I	i	I
scrapped	scrap	scrapped
it	it	it
because	becaus	because
there	there	there
s	s	s
a	a	a
thing	thing	thing
I	i	I
feel	feel	feel
like	like	like
I	i	I
need	need	need
to	to	to
say	say	say
about	about	about
the	the	the
Mike	mike	Mike
Flynn	flynn	Flynn
security	secur	security
announcement	announc	announcement
,	,	,
Maddow	maddow	Maddow
said	said	said
.	.	.
Maddow	maddow	Maddow
explained	explain	explained
that	that	that
no	no	no
one	one	one
,	,	,
such	such	such
as	as	a
Congress	congress	Congress
,	,	,
has	has	ha
to	to	to
approve	approv	approve
this	this	this
appointment	appoint	appointment
in	in	in
any	ani	any
way	way	way
.	.	.

Trump	trump	Trump
makes	make	make
the	the	the
offer	offer	offer
and	and	and
if	if	if
Flynn	flynn	Flynn
accepts	accept	accepts
,	,	,
then	then	then
boom	boom	boom
,	,	,
it	it	it
s	s	s
a	a	a
done	done	done
deal	deal	deal
.	.	.

She	she	She
then	then	then
told	told	told
America	america	America
just	just	just
why	whi	why
it	it	it
is	is	is
that	that	that
this	this	this
is	is	is
such	such	such
concerning	concern	concerning
news	news	news
.	.	.

So	so	So
,	,	,
this	this	this
Mike	mike	Mike
Flynn	flynn	Flynn
thing	thing	thing
is	is	is
done	done	done
,	,	,
Maddow	maddow	Maddow
explained	explain	explained
.	.	.

But	but	But
the	the	the
choice	choic	choice
of	of	of
Mike	mike	Mike
Flynn	flynn	Flynn
is	is	is
a	a	a
different	differ	different
kettle	kettl	kettle
of	of	of
fish	fish	fish
than	than	than
anything	anyth	anything
we	we	we
might	might	might
have	have	have
expected	expect	expected
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
.	.	.

Mike	mike	Mike
Flynn	flynn	Flynn
calls	call	call
Islam	islam	Islam
a	a	a
political	polit	political
ideology	ideolog	ideology
hiding	hide	hiding
behind	behind	behind
a	a	a
religion	religion	religion
.	.	.

He	he	He
calls	call	call
Islam	islam	Islam
a	a	a
malignant	malign	malignant
cancer	cancer	cancer
.	.	.

He	he	He
really	realli	really
did	did	did
sit	sit	sit
next	next	next
to	to	to
President	presid	President
Putin	putin	Putin
and	and	and
take	take	take
money	money	money
to	to	to
go	go	go
to	to	to
a	a	a
gala	gala	gala
.	.	.

He	he	He
s	s	s
been	been	been
a	a	a
frequent	frequent	frequent
guest	guest	guest
on	on	on
Russian	russian	Russian
state	state	state
television	televis	television
,	,	,
and	and	and
says	say	say
he	he	he
sees	see	see
no	no	no
difference	differ	difference
between	between	between
Russian	russian	Russian
state	state	state
television	televis	television
,	,	,
and	and	and
for	for	for
example	exampl	example
,	,	,
MSNBC	msnbc	MSNBC
.	.	.

After	after	After
laying	lay	laying
out	out	out
her	her	her
list	list	list
of	of	of
reasons	reason	reason
why	whi	why
Flynn	flynn	Flynn
shouldn	shouldn	shouldn
t	t	t
be	be	be
considered	consid	considered
for	for	for
any	ani	any
government	govern	government
position	posit	position
,	,	,
let	let	let
alone	alon	alone
at	at	at
the	the	the
top	top	top
of	of	of
national	nation	national
security	secur	security
,	,	,
Maddow	maddow	Maddow
explained	explain	explained
to	to	to
viewers	viewer	viewer
what	what	what
he	he	he
will	will	will
be	be	be
doing	do	doing
in	in	in
this	this	this
position	posit	position
if	if	if
he	he	he
accepts	accept	accepts
it	it	it
.	.	.

He	he	He
will	will	will
now	now	now
be	be	be
the	the	the
closest	closest	closest
person	person	person
to	to	to
the	the	the
president	presid	president
on	on	on
a	a	a
day	day	day
-to-day	-to-day	-to-day
basis	basi	basis
on	on	on
all	all	all
foreign	foreign	foreign
policy	polici	policy
issues	issu	issue
,	,	,
on	on	on
all	all	all
military	militari	military
issues	issu	issue
,	,	,
on	on	on
all	all	all
national	nation	national
security	secur	security
issues	issu	issue
,	,	,
and	and	and
he	he	he
is	is	is
way	way	way
outside	outsid	outside
anything	anyth	anything
that	that	that
anybody	anybodi	anybody
on	on	on
the	the	the
left	left	left
,	,	,
right	right	right
or	or	or
center	center	center
might	might	might
consider	consid	consider
to	to	to
be	be	be
the	the	the
mainstream	mainstream	mainstream
,	,	,
either	either	either
in	in	in
thought	thought	thought
or	or	or
temperament	tempera	temperament
in	in	in
terms	term	term
of	of	of
national	nation	national
security	secur	security
issues	issu	issue
,	,	,
and	and	and
it	it	it
s	s	s
done	done	done
,	,	,
Maddow	maddow	Maddow
said	said	said
.	.	.
Maddow	maddow	Maddow
laid	laid	laid
out	out	out
Flynn	flynn	Flynn
s	s	s
shady	shadi	shady
business	busi	business
dealings	deal	dealing
with	with	with
Turkey	turkey	Turkey
.	.	.

She	she	She
also	also	also
slammed	slam	slammed
his	his	his
habit	habit	habit
of	of	of
handing	hand	handing
out	out	out
classified	classifi	classified
information	inform	information
that	that	that
he	he	he
wasn	wasn	wasn
t	t	t
even	even	even
supposed	suppos	supposed
to	to	to
have	have	have
in	in	in
the	the	the
first	first	first
place	place	place
,	,	,
which	which	which
has	has	ha
happened	happen	happened
at	at	at
least	least	least
twice	twice	twice
.	.	.

Two	two	Two
former	former	former
government	govern	government
officials	offici	official
with	with	with
direct	direct	direct
knowledge	knowledg	knowledge
of	of	of
the	the	the
issue	issu	issue
tell	tell	tell
CNN	cnn	CNN
that	that	that
while	while	while
Flynn	flynn	Flynn
oversaw	oversaw	oversaw
intelligence	intellig	intelligence
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
he	he	he
shared	share	shared
classified	classifi	classified
information	inform	information
with	with	with
Pakistan	pakistan	Pakistan
on	on	on
terror	terror	terror
networks	network	network
responsible	respons	responsible
for	for	for
killing	kill	killing
American	american	American
troops	troop	troop
,	,	,
CNN	cnn	CNN
recalled	recal	recalled
this	this	this
week	week	week
when	when	when
Flynn	flynn	Flynn
s	s	s
name	name	name
was	was	wa
floated	float	floated
.	.	.

The	the	The
intelligence	intellig	intelligence
,	,	,
the	the	the
sources	sourc	source
say	say	say
,	,	,
came	came	came
from	from	from
another	anoth	another
agency	agenc	agency
.	.	.

Flynn	flynn	Flynn
wasn	wasn	wasn
t	t	t
supposed	suppos	supposed
to	to	to
share	share	share
it	it	it
.	.	.

They	they	They
say	say	say
he	he	he
was	was	wa
trying	tri	trying
to	to	to
convince	convinc	convince
Pakistan	pakistan	Pakistan
to	to	to
stop	stop	stop
sheltering	shelter	sheltering
terrorists	terrorist	terrorist
.	.	.

Maddow	maddow	Maddow
concluded	conclud	concluded
I	i	I
know	know	know
he	he	he
s	s	s
not	not	not
going	go	going
to	to	to
get	get	get
as	as	a
much	much	much
coverage	coverag	coverage
as	as	a
the	the	the
other	other	other
people	peopl	people
who	who	who
have	have	have
to	to	to
get	get	get
confirmed	confirm	confirmed
over	over	over
the	the	the
next	next	next
few	few	few
days	day	day
but	but	but
stick	stick	stick
a	a	a
pin	pin	pin
in	in	in
that	that	that
.	.	.

It	it	It
s	s	s
really	realli	really
,	,	,
really	realli	really
important	import	important
.	.	.

Watch	watch	Watch
Rachel	rachel	Rachel
Maddow	maddow	Maddow
issue	issu	issue
her	her	her
dire	dire	dire
warning	warn	warning
about	about	about
Lt	lt	Lt
.	.	.
Gen	gen	Gen
.	.	.

Michael	michael	Michael
Flynn	flynn	Flynn
,	,	,
here	here	here
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

