Man	man	Man
,	,	,
it	it	it
has	has	ha
got	got	got
to	to	to
suck	suck	suck
to	to	to
be	be	be
Mitt	mitt	Mitt
Romney	romney	Romney
.	.	.
We	we	We
all	all	all
fail	fail	fail
,	,	,
life	life	life
is	is	is
full	full	full
of	of	of
ups	up	ups
and	and	and
downs	down	down
,	,	,
wins	win	win
and	and	and
losses	loss	loss
,	,	,
but	but	but
nobody	nobodi	nobody
fails	fail	fails
as	as	a
hard	hard	hard
and	and	and
as	as	a
publicly	public	publicly
as	as	a
Romney	romney	Romney
has	has	ha
in	in	in
recent	recent	recent
years	year	year
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Yahoo	yahoo	Yahoo
News	news	News
reported	report	reported
that	that	that
Mitt	mitt	Mitt
Romney	romney	Romney
has	has	ha
ended	end	ended
his	his	his
attempts	attempt	attempt
to	to	to
recruit	recruit	recruit
a	a	a
Republican	republican	Republican
to	to	to
run	run	run
as	as	a
an	an	an
Independent	independ	Independent
against	against	against
Donald	donald	Donald
Trump	trump	Trump
in	in	in
November	novemb	November
There	there	There
are	are	are
signs	sign	sign
of	of	of
concern	concern	concern
with	with	with
Romney	romney	Romney
s	s	s
inner	inner	inner
circle	circl	circle
that	that	that
his	his	his
role	role	role
in	in	in
the	the	the
stop	stop	stop
Trump	trump	Trump
effort	effort	effort
is	is	is
being	be	being
exaggerated	exagger	exaggerated
or	or	or
overplayed	overplay	overplayed
.	.	.
Several	sever	Several
key	key	key
Romney	romney	Romney
confidantes	confidant	confidante
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
for	for	for
this	this	this
article	articl	article
,	,	,
funneling	funnel	funneling
requests	request	request
to	to	to
one	one	one
source	sourc	source
close	close	close
to	to	to
Romney	romney	Romney
who	who	who
said	said	said
in	in	in
an	an	an
email	email	email
that	that	that
Romney	romney	Romney
is	is	is
not	not	not
now	now	now
engaged	engag	engaged
in	in	in
an	an	an
effort	effort	effort
to	to	to
recruit	recruit	recruit
a	a	a
third	third	third
-party	-parti	-party
candidate	candid	candidate
.	.	.
And	and	And
while	while	while
Romney	romney	Romney
remains	remain	remains
motivated	motiv	motivated
to	to	to
help	help	help
the	the	the
stop	stop	stop
Trump	trump	Trump
cause	caus	cause
,	,	,
a	a	a
person	person	person
involved	involv	involved
in	in	in
the	the	the
stop	stop	stop
-Trump	-trump	-Trump
discussions	discuss	discussion
said	said	said
that	that	that
Romney	romney	Romney
is	is	is
not	not	not
calling	call	calling
or	or	or
emailing	email	emailing
any	ani	any
of	of	of
the	the	the
people	peopl	people
who	who	who
are	are	are
still	still	still
considering	consid	considering
a	a	a
run	run	run
.	.	.
A	a	A
few	few	few
potential	potenti	potential
candidates	candid	candidate
remain	remain	remain
,	,	,
the	the	the
source	sourc	source
said	said	said
,	,	,
although	although	although
none	none	none
at	at	at
the	the	the
moment	moment	moment
are	are	are
live	live	live
prospects	prospect	prospect
.	.	.
Apparently	appar	Apparently
,	,	,
Romney	romney	Romney
gave	gave	gave
up	up	up
on	on	on
his	his	his
efforts	effort	effort
to	to	to
recruit	recruit	recruit
a	a	a
GOPer	goper	GOPer
to	to	to
run	run	run
against	against	against
the	the	the
presumptive	presumpt	presumptive
Republican	republican	Republican
nominee	nomine	nominee
when	when	when
prospective	prospect	prospective
candidates	candid	candidate
like	like	like
Nebraska	nebraska	Nebraska
Senator	senat	Senator
Ben	ben	Ben
Sasse	sass	Sasse
said	said	said
no	no	no
.	.	.
Although	although	Although
the	the	the
#NeverTrump	#nevertrump	#NeverTrump
movement	movement	movement
is	is	is
still	still	still
a	a	a
thing	thing	thing
,	,	,
fewer	fewer	fewer
right	right	right
-wingers	-winger	-wingers
are	are	are
speaking	speak	speaking
out	out	out
against	against	against
him	him	him
.	.	.
It	it	It
is	is	is
entirely	entir	entirely
possible	possibl	possible
that	that	that
Trump	trump	Trump
s	s	s
threats	threat	threat
against	against	against
people	peopl	people
who	who	who
were	were	were
against	against	against
him	him	him
are	are	are
working	work	working
.	.	.
Last	last	Last
week	week	week
one	one	one
of	of	of
his	his	his
campaign	campaign	campaign
officials	offici	official
threatened	threaten	threatened
to	to	to
blacklist	blacklist	blacklist
vendors	vendor	vendor
and	and	and
supporters	support	supporter
of	of	of
the	the	the
anti	anti	anti
-loudmouth	-loudmouth	-loudmouth
billionaire	billionair	billionaire
movement	movement	movement
.	.	.
Mitt	mitt	Mitt
Romney	romney	Romney
entered	enter	entered
the	the	the
presidential	presidenti	presidential
primary	primari	primary
earlier	earlier	earlier
this	this	this
year	year	year
by	by	by
blasting	blast	blasting
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Some	some	Some
people	peopl	people
within	within	within
the	the	the
party	parti	party
looked	look	looked
at	at	at
him	him	him
like	like	like
he	he	he
was	was	wa
a	a	a
superhero	superhero	superhero
.	.	.
Here	here	Here
was	was	wa
the	the	the
2012	2012	2012
Republican	republican	Republican
nominee	nomine	nominee
trying	tri	trying
to	to	to
save	save	save
the	the	the
party	parti	party
,	,	,
All	all	All
hail	hail	hail
,	,	,
Mitt	mitt	Mitt
Romney	romney	Romney
!	!	!
Trump	trump	Trump
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
swatted	swat	swatted
Romney	romney	Romney
s	s	s
attacks	attack	attack
away	away	away
like	like	like
he	he	he
was	was	wa
a	a	a
little	littl	little
,	,	,
annoying	annoy	annoying
gnat	gnat	gnat
.	.	.
It	it	It
was	was	wa
actually	actual	actually
interesting	interest	interesting
to	to	to
watch	watch	watch
as	as	a
a	a	a
Democrat	democrat	Democrat
.	.	.
How	how	How
was	was	wa
the	the	the
guy	guy	guy
who	who	who
the	the	the
GOP	gop	GOP
settled	settl	settled
for	for	for
in	in	in
2012	2012	2012
,	,	,
really	realli	really
going	go	going
to	to	to
save	save	save
the	the	the
day	day	day
?	?	?
Well	well	Well
,	,	,
he	he	he
didn	didn	didn
t	t	t
and	and	and
now	now	now
he	he	he
has	has	ha
failed	fail	failed
again	again	again
.	.	.
He	he	He
wasn	wasn	wasn
t	t	t
able	abl	able
to	to	to
beat	beat	beat
Trump	trump	Trump
anymore	anymor	anymore
than	than	than
he	he	he
was	was	wa
able	abl	able
to	to	to
beat	beat	beat
Obama	obama	Obama
.	.	.
Poor	poor	Poor
Mittens	mitten	Mittens
.	.	.
Featured	featur	Featured
image	imag	image
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images
