Start	start	Start
Counting	count	Counting
.	.	.
Keep	keep	Keep
Counting	count	Counting
.	.	.
Stop	stop	Stop
Counting	count	Counting
?	?	?
Michigan's	michigan	Michigan's
election	elect	election
recount	recount	recount
hearing	hear	hearing
set	set	set
to	to	to
start	start	start
in	in	in
Detroit	detroit	Detroit
.	.	.
Will	will	Will
judge	judg	judge
change	chang	change
course	cours	course
?	?	?
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Hallroom	2016hallroom	2016Hallroom
chatter	chatter	chatter
in	in	in
Michigan	michigan	Michigan
recount	recount	recount
Some	some	Some
think	think	think
the	the	the
judge	judg	judge
has	has	ha
been	been	been
cornered	corner	cornered
he	he	he
ll	ll	ll
have	have	have
to	to	to
end	end	end
the	the	the
recount	recount	recount
;	;	;
some	some	some
say	say	say
he	he	he
ll	ll	ll
keep	keep	keep
pushing	push	pushing
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Judge	judg	Judge
Mark	mark	Mark
Goldsmith	goldsmith	Goldsmith
is	is	is
ready	readi	ready
to	to	to
take	take	take
the	the	the
bench	bench	bench
in	in	in
#Michiganrecount.	#michiganrecount.	#Michiganrecount.
And	and	And
we	we	we
are	are	are
OFF	off	OFF
!	!	!
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Michigan	2016michigan	2016Michigan
recount	recount	recount
Schuette	schuett	Schuette
s	s	s
lawyer	lawyer	lawyer
John	john	John
Bursch	bursch	Bursch
up	up	up
first	first	first
6th	6th	6th
circuit	circuit	circuit
couldn	couldn	couldn
t	t	t
have	have	have
been	been	been
more	more	more
clear	clear	clear
,	,	,
this	this	this
is	is	is
case	case	case
about	about	about
michigan	michigan	michigan
election	elect	election
lawSchuette	lawschuett	lawSchuette
lawyer	lawyer	lawyer
talking	talk	talking
about	about	about
Bush	bush	Bush
v	v	v
Gore	gore	Gore
case	case	case
;	;	;
says	say	say
US	us	US
Supreme	suprem	Supreme
Ct	ct	Ct
.	.	.
clear	clear	clear
on	on	on
this	this	this
federal	feder	federal
courts	court	court
must	must	must
defer	defer	defer
to	to	to
state	state	state
in	in	in
election	elect	election
matters	matter	matter
.	.	.
Judge	judg	Judge
just	just	just
asked	ask	asked
AG	ag	AG
atty	atti	atty
John	john	John
Bursch	bursch	Bursch
has	has	ha
the	the	the
Mich	mich	Mich
.	.	.
Supreme	suprem	Supreme
Court	court	Court
ruled	rule	ruled
on	on	on
this	this	this
?	?	?
his	his	his
answer	answer	answer
not	not	not
yet	yet	yet
.	.	.
state	state	state
high	high	high
court	court	court
hasn	hasn	hasn
t	t	t
heard	heard	heard
case	case	case
.	.	.
AG	ag	AG
atty	atti	atty
Bursch	bursch	Bursch
This	this	This
is	is	is
the	the	the
law	law	law
of	of	of
Michigan	michigan	Michigan
,	,	,
there	there	there
is	is	is
no	no	no
dispute	disput	dispute
about	about	about
that	that	that
.	.	.
Unless	unless	Unless
,	,	,
of	of	of
course	cours	course
,	,	,
Stein	stein	Stein
appeals	appeal	appeal
to	to	to
MI	mi	MI
Supreme	suprem	Supreme
Ct	ct	Ct
.	.	.
AG	ag	AG
atty	atti	atty
Bursch	bursch	Bursch
shifts	shift	shift
to	to	to
Jill	jill	Jill
Stein	stein	Stein
,	,	,
and	and	and
whether	whether	whether
she	she	she
s	s	s
an	an	an
aggrieved	aggriev	aggrieved
party	parti	party
.	.	.
Appeals	appeal	Appeals
ct	ct	ct
.	.	.
says	say	say
no	no	no
,	,	,
so	so	so
do	do	do
Republicans	republican	Republicans
Trump	trump	Trump
.	.	.
AG	ag	AG
atty	atti	atty
Bursch	bursch	Bursch
purpose	purpos	purpose
of	of	of
recount	recount	recount
law	law	law
is	is	is
to	to	to
change	chang	change
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
election	elect	election
.	.	.
Judge	judg	Judge
how	how	how
do	do	do
we	we	we
know	know	know
that	that	that
?	?	?
AG	ag	AG
atty	atti	atty
Bursch	bursch	Bursch
state's	state	state's
top	top	top
election	elect	election
official	offici	official
says	say	say
goal	goal	goal
of	of	of
recount	recount	recount
law	law	law
is	is	is
to	to	to
change	chang	change
outcome	outcom	outcome
,	,	,
not	not	not
to	to	to
see	see	see
if	if	if
there's	there	there's
a	a	a
problem	problem	problem
;	;	;
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016AG	2016ag	2016AG
atty	atti	atty
Bursch	bursch	Bursch
court	court	court
has	has	ha
already	alreadi	already
held	held	held
that	that	that
it's	it	it's
not	not	not
right	right	right
to	to	to
make	make	make
taxpayers	taxpay	taxpayer
pay	pay	pay
millions	million	million
for	for	for
a	a	a
recount	recount	recount
that's	that	that's
not	not	not
justified	justifi	justified
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016AG	2016ag	2016AG
atty	atti	atty
Bursch	bursch	Bursch
Stein	stein	Stein
s	s	s
entire	entir	entire
purpose	purpos	purpose
is	is	is
to	to	to
audit	audit	audit
the	the	the
Michigan	michigan	Michigan
system	system	system
.	.	.
That	that	That
s	s	s
not	not	not
what	what	what
our	our	our
recount	recount	recount
law	law	law
is	is	is
for	for	for
.	.	.
Michigan	michigan	Michigan
recount	recount	recount
hearing	hear	hearing
Judge	judg	Judge
how	how	how
do	do	do
we	we	we
know	know	know
that	that	that
Stein	stein	Stein
only	onli	only
got	got	got
1	1	1
;	;	;
what	what	what
if	if	if
she	she	she
got	got	got
more	more	more
but	but	but
fraud	fraud	fraud
took	took	took
place	place	place
?	?	?
Judge	judg	Judge
to	to	to
AG	ag	AG
atty	atti	atty
what	what	what
if	if	if
Stein	stein	Stein
got	got	got
20	20	20
of	of	of
the	the	the
vote	vote	vote
;	;	;
is	is	is
that	that	that
enough	enough	enough
for	for	for
her	her	her
to	to	to
say	say	say
she	she	she
was	was	wa
aggrieved	aggriev	aggrieved
?	?	?
MI	mi	MI
Rep	rep	Rep
Party	parti	Party
atty	atti	atty
now	now	now
up	up	up
the	the	the
michigan	michigan	michigan
courts	court	court
have	have	have
ruled	rule	ruled
,	,	,
he	he	he
says	say	say
,	,	,
urges	urg	urge
judge	judg	judge
to	to	to
end	end	end
the	the	the
recount	recount	recount
.	.	.
MI	mi	MI
