WARNING	warn	WARNING
Disturbing	disturb	Disturbing
image	imag	image
of	of	of
a	a	a
man	man	man
being	be	being
shot	shot	shot
.	.	.
The	the	The
FBI	fbi	FBI
released	releas	released
the	the	the
official	offici	official
helicopter	helicopt	helicopter
-based	-base	-based
video	video	video
footage	footag	footage
of	of	of
Oregon	oregon	Oregon
militiaman	militiaman	militiaman
LaVoy	lavoy	LaVoy
Tarp	tarp	Tarp
Man	man	Man
Finicum	finicum	Finicum
being	be	being
fatally	fatal	fatally
shot	shot	shot
by	by	by
police	polic	police
while	while	while
trying	tri	trying
to	to	to
break	break	break
through	through	through
a	a	a
law	law	law
enforcement	enforc	enforcement
road	road	road
block	block	block
in	in	in
a	a	a
white	white	white
SUV	suv	SUV
.	.	.
From	from	From
the	the	the
vantage	vantag	vantage
point	point	point
of	of	of
the	the	the
surveillance	surveil	surveillance
plane	plane	plane
beginning	begin	beginning
at	at	at
timecode	timecod	timecode
9	9	9
00	00	00
,	,	,
a	a	a
truck	truck	truck
driven	driven	driven
by	by	by
Finicum	finicum	Finicum
can	can	can
be	be	be
observed	observ	observed
traveling	travel	traveling
at	at	at
high	high	high
speed	speed	speed
on	on	on
the	the	the
abandoned	abandon	abandoned
Highway	highway	Highway
395	395	395
toward	toward	toward
the	the	the
police	polic	police
barricade	barricad	barricade
.	.	.
Before	befor	Before
colliding	collid	colliding
with	with	with
vehicles	vehicl	vehicle
arranged	arrang	arranged
by	by	by
FBI	fbi	FBI
and	and	and
Oregon	oregon	Oregon
State	state	State
Police	polic	Police
troopers	trooper	trooper
,	,	,
the	the	the
SUV	suv	SUV
swerves	swerv	swerve
to	to	to
the	the	the
left	left	left
to	to	to
go	go	go
around	around	around
the	the	the
road	road	road
block	block	block
but	but	but
is	is	is
quickly	quick	quickly
thwarted	thwart	thwarted
by	by	by
the	the	the
accumulated	accumul	accumulated
snow	snow	snow
.	.	.
A	a	A
man	man	man
,	,	,
presumably	presum	presumably
Finicum	finicum	Finicum
,	,	,
emerges	emerg	emerges
from	from	from
the	the	the
car	car	car
with	with	with
his	his	his
arms	arm	arm
outstretched	outstretch	outstretched
.	.	.
Officials	offici	Officials
begin	begin	begin
to	to	to
approach	approach	approach
the	the	the
man	man	man
when	when	when
he	he	he
appears	appear	appears
to	to	to
reach	reach	reach
into	into	into
his	his	his
coat	coat	coat
and	and	and
pulls	pull	pull
out	out	out
an	an	an
object	object	object
resembling	resembl	resembling
a	a	a
handgun	handgun	handgun
.	.	.
The	the	The
FBI	fbi	FBI
reported	report	reported
that	that	that
the	the	the
handgun	handgun	handgun
was	was	wa
a	a	a
9mm	9mm	9mm
semi	semi	semi
-automatic	-automat	-automatic
firearm	firearm	firearm
,	,	,
carried	carri	carried
in	in	in
Finicum	finicum	Finicum
s	s	s
left	left	left
jacket	jacket	jacket
pocket	pocket	pocket
.	.	.
It	it	It
s	s	s
at	at	at
this	this	this
point	point	point
when	when	when
we	we	we
see	see	see
the	the	the
man	man	man
fall	fall	fall
limply	limpli	limply
into	into	into
the	the	the
snow	snow	snow
,	,	,
fatally	fatal	fatally
wounded	wound	wounded
by	by	by
one	one	one
or	or	or
more	more	more
Oregon	oregon	Oregon
State	state	State
Police	polic	Police
officers	offic	officer
.	.	.
The	the	The
official	offici	official
description	descript	description
of	of	of
the	the	the
incident	incid	incident
from	from	from
the	the	the
FBI	fbi	FBI
s	s	s
Greg	greg	Greg
Bretzing	bretz	Bretzing
As	as	As
the	the	the
white	white	white
truck	truck	truck
approaches	approach	approach
the	the	the
roadblock	roadblock	roadblock
,	,	,
there	there	there
is	is	is
a	a	a
spike	spike	spike
strip	strip	strip
across	across	across
the	the	the
road	road	road
but	but	but
