People	peopl	People
believe	believ	believe
what	what	what
they	they	they
want	want	want
to	to	to
believe	believ	believe
.	.	.
When	when	When
someone	someon	someone
tells	tell	tell
you	you	you
they	they	they
can	can	can
solve	solv	solve
your	your	your
financial	financi	financial
woes	woe	woe
with	with	with
a	a	a
simple	simpl	simple
plan	plan	plan
,	,	,
you	you	you
want	want	want
to	to	to
believe	believ	believe
them	them	them
.	.	.
Donald	donald	Donald
Trump	trump	Trump
knew	knew	knew
this	this	this
and	and	and
took	took	took
advantage	advantag	advantage
of	of	of
people	peopl	people
when	when	when
they	they	they
were	were	were
at	at	at
their	their	their
most	most	most
vulnerable	vulner	vulnerable
.	.	.
He	he	He
promised	promis	promised
a	a	a
way	way	way
to	to	to
be	be	be
successful	success	successful
,	,	,
all	all	all
while	while	while
just	just	just
simply	simpli	simply
making	make	making
himself	himself	himself
wealthy	wealthi	wealthy
in	in	in
the	the	the
mean	mean	mean
time	time	time
.	.	.
Well	well	Well
,	,	,
guess	guess	guess
what	what	what
?	?	?
He	he	He
s	s	s
finally	final	finally
being	be	being
called	call	called
out	out	out
on	on	on
his	his	his
fraudulent	fraudul	fraudulent
scheme	scheme	scheme
of	of	of
Trump	trump	Trump
University	univers	University
and	and	and
is	is	is
even	even	even
going	go	going
to	to	to
court	court	court
over	over	over
it	it	it
.	.	.
Also	also	Also
calling	call	calling
Donald	donald	Donald
Trump	trump	Trump
out	out	out
for	for	for
the	the	the
scam	scam	scam
artist	artist	artist
that	that	that
he	he	he
is	is	is
,	,	,
is	is	is
Democratic	democrat	Democratic
presidential	presidenti	presidential
front	front	front
-runner	-runner	-runner
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Hillary	hillari	Hillary
went	went	went
for	for	for
the	the	the
jugular	jugular	jugular
and	and	and
with	with	with
good	good	good
merit	merit	merit
,	,	,
stating	state	stating
Well	well	Well
today	today	today
we	we	we
are	are	are
learning	learn	learning
about	about	about
another	anoth	another
scam	scam	scam
,	,	,
the	the	the
so	so	so
-called	-call	-called
Trump	trump	Trump
University	univers	University
.	.	.
The	the	The
New	new	New
York	york	York
Attorney	attorney	Attorney
General	general	General
is	is	is
suing	su	suing
Donald	donald	Donald
Trump	trump	Trump
for	for	for
