Chuck	chuck	Chuck
Todd	todd	Todd
took	took	took
Ted	ted	Ted
Cruz	cruz	Cruz
to	to	to
the	the	the
woodshed	woodsh	woodshed
on	on	on
Sunday	sunday	Sunday
after	after	after
the	the	the
Texas	texa	Texas
Senator	senat	Senator
claimed	claim	claimed
that	that	that
there	there	there
s	s	s
a	a	a
media	media	medium
conspiracy	conspiraci	conspiracy
against	against	against
him	him	him
.	.	.
Cruz	cruz	Cruz
is	is	is
currently	current	currently
in	in	in
second	second	second
place	place	place
far	far	far
behind	behind	behind
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
is	is	is
close	close	close
to	to	to
capturing	captur	capturing
the	the	the
GOP	gop	GOP
nomination	nomin	nomination
.	.	.
Throughout	throughout	Throughout
the	the	the
interview	interview	interview
on	on	on
Meet	meet	Meet
The	the	The
Press	press	Press
,	,	,
Todd	todd	Todd
repeatedly	repeat	repeatedly
tried	tri	tried
to	to	to
get	get	get
Cruz	cruz	Cruz
to	to	to
answer	answer	answer
whether	whether	whether
he	he	he
will	will	will
support	support	support
Trump	trump	Trump
or	or	or
not	not	not
should	should	should
he	he	he
become	becom	become
the	the	the
nominee	nomine	nominee
.	.	.

But	but	But
Cruz	cruz	Cruz
only	onli	only
embarrassed	embarrass	embarrassed
himself	himself	himself
by	by	by
avoiding	avoid	avoiding
the	the	the
question	question	question
with	with	with
nonsensical	nonsens	nonsensical
claims	claim	claim
about	about	about
the	the	the
media	media	medium
and	and	and
NBC	nbc	NBC
that	that	that
Todd	todd	Todd
called	call	called
him	him	him
out	out	out
on	on	on
.	.	.

If	if	If
he	he	he
s	s	s
the	the	the
nominee	nomine	nominee
,	,	,
I	i	I
take	take	take
it	it	it
you	you	you
can	can	can
t	t	t
support	support	support
him	him	him
anymore	anymor	anymore
,	,	,
can	can	can
you	you	you
?	?	?

Todd	todd	Todd
asked	ask	asked
.	.	.

I	i	I
recognize	recogn	recognize
that	that	that
many	mani	many
in	in	in
the	the	the
media	media	medium
would	would	would
love	love	love
for	for	for
me	me	me
to	to	to
surrender	surrend	surrender
to	to	to
Donald	donald	Donald
Trump	trump	Trump
,	,	,
Cruz	cruz	Cruz
accused	accus	accused
.	.	.

It	it	It
s	s	s
not	not	not
about	about	about
the	the	the
media	media	medium
,	,	,
Todd	todd	Todd
replied	repli	replied
before	befor	before
stabbing	stab	stabbing
Cruz	cruz	Cruz
with	with	with
reality	realiti	reality
.	.	.

Senator	senat	Senator
,	,	,
it	it	it
s	s	s
about	about	about
the	the	the
numbers	number	number
.	.	.

He	he	He
may	may	may
win	win	win
.	.	.

Republican	republican	Republican
voters	voter	voter
are	are	are
the	the	the
ones	one	one
rejecting	reject	rejecting
you	you	you
.	.	.

This	this	This
is	is	is
not	not	not
a	a	a
media	media	medium
conspiracy	conspiraci	conspiracy
,	,	,
Senator	senat	Senator
.	.	.

Todd	todd	Todd
continued	continu	continued
to	to	to
grill	grill	grill
Cruz	cruz	Cruz
into	into	into
answering	answer	answering
the	the	the
original	origin	original
question	question	question
.	.	.

Why	whi	Why
can	can	can
t	t	t
you	you	you
answer	answer	answer
the	the	the
question	question	question
of	of	of
whether	whether	whether
you	you	you
can	can	can
support	support	support
Donald	donald	Donald
Trump	trump	Trump
or	or	or
not	not	not
?	?	?

Todd	todd	Todd
asked	ask	asked
.	.	.

You	you	You
can	can	can
t	t	t
answer	answer	answer
that	that	that
question	question	question
.	.	.

Why	whi	Why
won	won	won
t	t	t
you	you	you
answer	answer	answer
that	that	that
question	question	question
,	,	,
straight	straight	straight
forward	forward	forward
,	,	,
black	black	black
and	and	and
white	white	white
?	?	?

Cruz	cruz	Cruz
then	then	then
accused	accus	accused
NBC	nbc	NBC
executives	execut	executive
of	of	of
being	be	being
partisan	partisan	partisan
Democrats	democrat	Democrats
,	,	,
which	which	which
Todd	todd	Todd
immediately	immedi	immediately
called	call	called
out	out	out
as	as	a
a	a	a
lie	lie	lie
.	.	.

You	you	You
don	don	don
t	t	t
get	get	get
to	to	to
just	just	just
say	say	say
that	that	that
.	.	.

It	it	It
s	s	s
just	just	just
not	not	not
true	true	true
.	.	.

Go	go	Go
ahead	ahead	ahead
.	.	.

You	you	You
re	re	re
broad	broad	broad
brushing	brush	brushing
here	here	here
,	,	,
and	and	and
this	this	this
is	is	is
exactly	exact	exactly
what	what	what
people	peopl	people
hate	hate	hate
about	about	about
the	the	the
media	media	medium
and	and	and
politics	polit	politics
.	.	.

Broad	broad	Broad
brushes	brush	brush
,	,	,
right	right	right
?	?	?

Cruz	cruz	Cruz
then	then	then
launched	launch	launched
into	into	into
a	a	a
rant	rant	rant
about	about	about
how	how	how
if	if	if
voters	voter	voter
reject	reject	reject
him	him	him
the	the	the
country	countri	country
will	will	will
be	be	be
lost	lost	lost
as	as	a
if	if	if
he	he	he
s	s	s
the	the	the
only	onli	only
person	person	person
in	in	in
the	the	the
nation	nation	nation
who	who	who
can	can	can
save	save	save
it	it	it
.	.	.

I	i	I
m	m	m
not	not	not
willing	will	willing
to	to	to
concede	conced	concede
this	this	this
country	countri	country
,	,	,
Cruz	cruz	Cruz
said	said	said
.	.	.

If	if	If
we	we	we
lose	lose	lose
this	this	this
,	,	,
we	we	we
lose	lose	lose
our	our	our
country	countri	country
.	.	.

At	at	At
that	that	that
point	point	point
,	,	,
Todd	todd	Todd
dared	dare	dared
Cruz	cruz	Cruz
to	to	to
take	take	take
a	a	a
stand	stand	stand
if	if	if
he	he	he
really	realli	really
feels	feel	feel
that	that	that
way	way	way
and	and	and
answer	answer	answer
the	the	the
question	question	question
of	of	of
whether	whether	whether
he	he	he
will	will	will
support	support	support
Trump	trump	Trump
or	or	or
not	not	not
if	if	if
he	he	he
becomes	becom	becomes
the	the	the
nominee	nomine	nominee
.	.	.

All	all	All
Cruz	cruz	Cruz
has	has	ha
to	to	to
say	say	say
is	is	is
that	that	that
he	he	he
won	won	won
t	t	t
support	support	support
Trump	trump	Trump
,	,	,
especially	especi	especially
if	if	if
he	he	he
really	realli	really
believes	believ	belief
that	that	that
by	by	by
losing	lose	losing
to	to	to
Trump	trump	Trump
the	the	the
country	countri	country
will	will	will
be	be	be
lost	lost	lost
.	.	.

Don	don	Don
t	t	t
you	you	you
think	think	think
it	it	it
s	s	s
important	import	important
to	to	to
