Americans	american	Americans
watch	watch	watch
in	in	in
horror	horror	horror
,	,	,
as	as	a
ISIS	isi	ISIS
systematically	systemat	systematically
destroys	destroy	destroys
any	ani	any
signs	sign	sign
of	of	of
Christianity	christian	Christianity
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.

Meanwhile	meanwhil	Meanwhile
in	in	in
America	america	America
,	,	,
the	the	the
Left	left	Left
is	is	is
doing	do	doing
the	the	the
very	veri	very
same	same	same
thing	thing	thing
but	but	but
in	in	in
a	a	a
much	much	much
more	more	more
inconspicuous	inconspicu	inconspicuous
way	way	way
.	.	.

They	they	They
ve	ve	ve
made	made	made
every	everi	every
effort	effort	effort
to	to	to
remove	remov	remove
Christianity	christian	Christianity
from	from	from
the	the	the
public	public	public
s	s	s
view	view	view
.	.	.

They	they	They
ve	ve	ve
removed	remov	removed
Christianity	christian	Christianity
from	from	from
school	school	school
organizations	organ	organization
,	,	,
public	public	public
places	place	place
,	,	,
and	and	and
now	now	now
,	,	,
in	in	in
the	the	the
marketing	market	marketing
of	of	of
products	product	product
specifically	specif	specifically
related	relat	related
to	to	to
religious	religi	religious
holidays	holiday	holiday
for	for	for
the	the	the
Christian	christian	Christian
consumer	consum	consumer
Cadbury	cadburi	Cadbury
was	was	wa
inundated	inund	inundated
with	with	with
furious	furious	furious
comments	comment	comment
from	from	from
customers	custom	customer
on	on	on
Twitter	twitter	Twitter
,	,	,
questioning	question	questioning
why	whi	why
the	the	the
Easter	easter	Easter
treats	treat	treat
simply	simpli	simply
said	said	said
milk	milk	milk
chocolate	chocol	chocolate
egg	egg	egg
with	with	with
no	no	no
mention	mention	mention
of	of	of
the	the	the
Christian	christian	Christian
festival	festiv	festival
.	.	.

One	one	One
said	said	said
Some	some	Some
of	of	of
us	us	u
want	want	want
to	to	to
know	know	know
why	whi	why
Easter	easter	Easter
is	is	is
hidden	hidden	hidden
on	on	on
the	the	the
back	back	back
now	now	now
?	?	?

Why	whi	Why
change	chang	change
a	a	a
good	good	good
thing	thing	thing
?	?	?
?	?	?

while	while	while
another	anoth	another
commented	comment	commented
Disgusting	disgust	Disgusting
you	you	you
ve	ve	ve
dropped	drop	dropped
the	the	the
word	word	word
EASTER	easter	EASTER
.	.	.
Cadbury	cadburi	Cadbury
sent	sent	sent
endless	endless	endless
replies	repli	reply
to	to	to
irate	irat	irate
shoppers	shopper	shopper
denying	deni	denying
claims	claim	claim
that	that	that
they	they	they
have	have	have
a	a	a
policy	polici	policy
to	to	to
remove	remov	remove
the	the	the
Easter	easter	Easter
slogan	slogan	slogan
on	on	on
packaging	packag	packaging
.	.	.
They	they	They
wrote	wrote	wrote
on	on	on
their	their	their
Twitter	twitter	Twitter
Easter	easter	Easter
s	s	s
on	on	on
the	the	the
back	back	back
of	of	of
our	our	our
packaging	packag	packaging
with	with	with
the	the	the
other	other	other
product	product	product
details	detail	detail
.	.	.
Both	both	Both
Cadbury	cadburi	Cadbury
and	and	and
Nestle	nestl	Nestle
denied	deni	denied
that	that	that
they	they	they
were	were	were
getting	get	getting
rid	rid	rid
of	of	of
the	the	the
word	word	word
Easter	easter	Easter
from	from	from
their	their	their
products	product	product
.	.	.

The	the	The
word	word	word
Easter	easter	Easter
is	is	is
not	not	not
included	includ	included
on	on	on
the	the	the
front	front	front
of	of	of
the	the	the
packaging	packag	packaging
for	for	for
their	their	their
Mini	mini	Mini
Eggs	egg	Eggs
Giant	giant	Giant
Egg	egg	Egg
or	or	or
their	their	their
Dairy	dairi	Dairy
Milk	milk	Milk
Buttons	button	Buttons
Egg	egg	Egg
,	,	,
but	but	but
Happy	happi	Happy
Easter	easter	Easter
is	is	is
branded	brand	branded
on	on	on
a	a	a
special	special	special
edition	edit	edition
of	of	of
the	the	the
Dairy	dairi	Dairy
Milk	milk	Milk
chocolate	chocol	chocolate
bar	bar	bar
.	.	.

It	it	It
s	s	s
not	not	not
on	on	on
the	the	the
front	front	front
as	as	a
the	the	the
seasonal	season	seasonal
design	design	design
shows	show	show
what	what	what
it	it	it
is	is	is
.	.	.

As	as	As
a	a	a
seasonal	season	seasonal
treat	treat	treat
the	the	the
eggs	egg	egg
will	will	will
always	alway	always
be	be	be
linked	link	linked
with	with	with
Easter	easter	Easter
.	.	.

However	howev	However
customers	custom	customer
remained	remain	remained
unconvinced	unconvinc	unconvinced
,	,	,
accusing	accus	accusing
the	the	the
company	compani	company
of	of	of
hiding	hide	hiding
any	ani	any
mention	mention	mention
of	of	of
Easter	easter	Easter
on	on	on
the	the	the
back	back	back
.	.	.
Both	both	Both
Cadbury	cadburi	Cadbury
and	and	and
Nestle	nestl	Nestle
denied	deni	denied
that	that	that
they	they	they
were	were	were
getting	get	getting
rid	rid	rid
of	of	of
the	the	the
word	word	word
Easter	easter	Easter
from	from	from
their	their	their
products	product	product
.	.	.

Via	via	Via
Daily	daili	Daily
Mail	mail	Mail

